<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4376.N,D,20030316,000000,10,10,10,10,0,0
4376.N,D,20030317,000000,10,10,10,10,0,0
4376.N,D,20030318,000000,10,10,10,10,0,0
4376.N,D,20030319,000000,10.0008,10.0008,10.0008,10.0008,0,0
4376.N,D,20030320,000000,10.0003,10.0003,10.0003,10.0003,0,0
4376.N,D,20030321,000000,10.0194,10.0194,10.0194,10.0194,0,0
4376.N,D,20030322,000000,10.0194,10.0194,10.0194,10.0194,0,0
4376.N,D,20030323,000000,10.0194,10.0194,10.0194,10.0194,0,0
4376.N,D,20030324,000000,10.0719,10.0719,10.0719,10.0719,0,0
4376.N,D,20030325,000000,10.0631,10.0631,10.0631,10.0631,0,0
4376.N,D,20030326,000000,10.0414,10.0414,10.0414,10.0414,0,0
4376.N,D,20030327,000000,10.0443,10.0443,10.0443,10.0443,0,0
4376.N,D,20030328,000000,10.0393,10.0393,10.0393,10.0393,0,0
4376.N,D,20030329,000000,10.0393,10.0393,10.0393,10.0393,0,0
4376.N,D,20030330,000000,10.0393,10.0393,10.0393,10.0393,0,0
4376.N,D,20030331,000000,10.0389,10.0389,10.0389,10.0389,0,0
4376.N,D,20030401,000000,9.9837,9.9837,9.9837,9.9837,0,0
4376.N,D,20030402,000000,10.0103,10.0103,10.0103,10.0103,0,0
4376.N,D,20030403,000000,10.0356,10.0356,10.0356,10.0356,0,0
4376.N,D,20030404,000000,10.091,10.091,10.091,10.091,0,0
4376.N,D,20030405,000000,10.091,10.091,10.091,10.091,0,0
4376.N,D,20030406,000000,10.091,10.091,10.091,10.091,0,0
4376.N,D,20030407,000000,10.0976,10.0976,10.0976,10.0976,0,0
4376.N,D,20030408,000000,10.1754,10.1754,10.1754,10.1754,0,0
4376.N,D,20030409,000000,10.1265,10.1265,10.1265,10.1265,0,0
4376.N,D,20030410,000000,10.1378,10.1378,10.1378,10.1378,0,0
4376.N,D,20030411,000000,10.1173,10.1173,10.1173,10.1173,0,0
4376.N,D,20030412,000000,10.1173,10.1173,10.1173,10.1173,0,0
4376.N,D,20030413,000000,10.1173,10.1173,10.1173,10.1173,0,0
4376.N,D,20030414,000000,10.1148,10.1148,10.1148,10.1148,0,0
4376.N,D,20030415,000000,10.0775,10.0775,10.0775,10.0775,0,0
