<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4721.N,D,20151215,000000,99.68,99.68,99.68,99.68,0,0
4721.N,D,20151216,000000,99.53,99.53,99.53,99.53,0,0
4721.N,D,20151217,000000,99.5,99.5,99.5,99.5,0,0
4721.N,D,20151218,000000,100.01,100.01,100.01,100.01,0,0
4721.N,D,20151221,000000,100.18,100.18,100.18,100.18,0,0
4721.N,D,20151222,000000,99.94,99.94,99.94,99.94,0,0
4721.N,D,20151223,000000,99.77,99.77,99.77,99.77,0,0
4721.N,D,20151228,000000,99.8,99.8,99.8,99.8,0,0
4721.N,D,20151229,000000,99.8,99.8,99.8,99.8,0,0
4721.N,D,20151230,000000,100.04,100.04,100.04,100.04,0,0
4721.N,D,20160104,000000,100.14,100.14,100.14,100.14,0,0
4721.N,D,20160105,000000,100.24,100.24,100.24,100.24,0,0
4721.N,D,20160107,000000,100.39,100.39,100.39,100.39,0,0
4721.N,D,20160108,000000,100.01,100.01,100.01,100.01,0,0
4721.N,D,20160111,000000,99.72,99.72,99.72,99.72,0,0
4721.N,D,20160112,000000,99.79,99.79,99.79,99.79,0,0
4721.N,D,20160113,000000,99.78,99.78,99.78,99.78,0,0
4721.N,D,20160114,000000,99.68,99.68,99.68,99.68,0,0
4721.N,D,20160115,000000,99.63,99.63,99.63,99.63,0,0
4721.N,D,20160118,000000,99.29,99.29,99.29,99.29,0,0
4721.N,D,20160119,000000,99.34,99.34,99.34,99.34,0,0
4721.N,D,20160120,000000,99.29,99.29,99.29,99.29,0,0
4721.N,D,20160121,000000,99.27,99.27,99.27,99.27,0,0
4721.N,D,20160122,000000,99.27,99.27,99.27,99.27,0,0
4721.N,D,20160125,000000,99.26,99.26,99.26,99.26,0,0
4721.N,D,20160126,000000,99.27,99.27,99.27,99.27,0,0
4721.N,D,20160127,000000,99.27,99.27,99.27,99.27,0,0
4721.N,D,20160128,000000,99.3,99.3,99.3,99.3,0,0
4721.N,D,20160129,000000,99.25,99.25,99.25,99.25,0,0
4721.N,D,20160201,000000,99.47,99.47,99.47,99.47,0,0
4721.N,D,20160202,000000,99.57,99.57,99.57,99.57,0,0
4721.N,D,20160203,000000,99.68,99.68,99.68,99.68,0,0
4721.N,D,20160204,000000,99.76,99.76,99.76,99.76,0,0
4721.N,D,20160205,000000,99.63,99.63,99.63,99.63,0,0
4721.N,D,20160208,000000,99.63,99.63,99.63,99.63,0,0
4721.N,D,20160209,000000,99.79,99.79,99.79,99.79,0,0
4721.N,D,20160210,000000,99.8,99.8,99.8,99.8,0,0
4721.N,D,20160211,000000,99.91,99.91,99.91,99.91,0,0
4721.N,D,20160212,000000,100.03,100.03,100.03,100.03,0,0
4721.N,D,20160215,000000,99.92,99.92,99.92,99.92,0,0
4721.N,D,20160216,000000,99.77,99.77,99.77,99.77,0,0
