<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3413.N,D,20100407,000000,100,100,100,100,0,0
3413.N,D,20100408,000000,100,100,100,100,0,0
3413.N,D,20100409,000000,99.99,99.99,99.99,99.99,0,0
3413.N,D,20100412,000000,99.98,99.98,99.98,99.98,0,0
3413.N,D,20100413,000000,99.98,99.98,99.98,99.98,0,0
3413.N,D,20100414,000000,99.98,99.98,99.98,99.98,0,0
3413.N,D,20100415,000000,101.6,101.6,101.6,101.6,0,0
3413.N,D,20100416,000000,101.73,101.73,101.73,101.73,0,0
3413.N,D,20100419,000000,101.46,101.46,101.46,101.46,0,0
3413.N,D,20100420,000000,101.57,101.57,101.57,101.57,0,0
3413.N,D,20100421,000000,101.56,101.56,101.56,101.56,0,0
3413.N,D,20100422,000000,101.66,101.66,101.66,101.66,0,0
3413.N,D,20100423,000000,101.85,101.85,101.85,101.85,0,0
3413.N,D,20100426,000000,101.87,101.87,101.87,101.87,0,0
3413.N,D,20100427,000000,101.99,101.99,101.99,101.99,0,0
3413.N,D,20100428,000000,101.75,101.75,101.75,101.75,0,0
3413.N,D,20100429,000000,101.93,101.93,101.93,101.93,0,0
3413.N,D,20100430,000000,101.74,101.74,101.74,101.74,0,0
3413.N,D,20100504,000000,101.49,101.49,101.49,101.49,0,0
3413.N,D,20100505,000000,101.21,101.21,101.21,101.21,0,0
3413.N,D,20100506,000000,100.7,100.7,100.7,100.7,0,0
3413.N,D,20100507,000000,100.44,100.44,100.44,100.44,0,0
3413.N,D,20100510,000000,101.51,101.51,101.51,101.51,0,0
3413.N,D,20100511,000000,101.55,101.55,101.55,101.55,0,0
3413.N,D,20100512,000000,102.47,102.47,102.47,102.47,0,0
3413.N,D,20100513,000000,102.08,102.08,102.08,102.08,0,0
3413.N,D,20100514,000000,101.07,101.07,101.07,101.07,0,0
3413.N,D,20100517,000000,100.44,100.44,100.44,100.44,0,0
3413.N,D,20100518,000000,100.3,100.3,100.3,100.3,0,0
3413.N,D,20100519,000000,99.89,99.89,99.89,99.89,0,0
3413.N,D,20100520,000000,96.67,96.67,96.67,96.67,0,0
3413.N,D,20100521,000000,98.11,98.11,98.11,98.11,0,0
3413.N,D,20100524,000000,97.02,97.02,97.02,97.02,0,0
3413.N,D,20100525,000000,96.44,96.44,96.44,96.44,0,0
3413.N,D,20100526,000000,96.6,96.6,96.6,96.6,0,0
3413.N,D,20100527,000000,99.18,99.18,99.18,99.18,0,0
3413.N,D,20100528,000000,98.88,98.88,98.88,98.88,0,0
3413.N,D,20100531,000000,98.98,98.98,98.98,98.98,0,0
3413.N,D,20100601,000000,98.46,98.46,98.46,98.46,0,0
3413.N,D,20100602,000000,99.15,99.15,99.15,99.15,0,0
3413.N,D,20100604,000000,97.87,97.87,97.87,97.87,0,0
3413.N,D,20100607,000000,96.94,96.94,96.94,96.94,0,0
3413.N,D,20100608,000000,96.83,96.83,96.83,96.83,0,0
3413.N,D,20100609,000000,96.66,96.66,96.66,96.66,0,0
3413.N,D,20100610,000000,98.3,98.3,98.3,98.3,0,0
3413.N,D,20100611,000000,97.93,97.93,97.93,97.93,0,0
3413.N,D,20100614,000000,98.27,98.27,98.27,98.27,0,0
3413.N,D,20100615,000000,99.28,99.28,99.28,99.28,0,0
3413.N,D,20100616,000000,98.84,98.84,98.84,98.84,0,0
3413.N,D,20100617,000000,98.28,98.28,98.28,98.28,0,0
3413.N,D,20100618,000000,97.95,97.95,97.95,97.95,0,0
3413.N,D,20100621,000000,98.74,98.74,98.74,98.74,0,0
3413.N,D,20100622,000000,98.24,98.24,98.24,98.24,0,0
3413.N,D,20100623,000000,98.23,98.23,98.23,98.23,0,0
3413.N,D,20100624,000000,97.46,97.46,97.46,97.46,0,0
3413.N,D,20100625,000000,97.47,97.47,97.47,97.47,0,0
3413.N,D,20100628,000000,97.47,97.47,97.47,97.47,0,0
3413.N,D,20100629,000000,95.82,95.82,95.82,95.82,0,0
3413.N,D,20100630,000000,95.26,95.26,95.26,95.26,0,0
3413.N,D,20100701,000000,94.38,94.38,94.38,94.38,0,0
3413.N,D,20100702,000000,94.8,94.8,94.8,94.8,0,0
3413.N,D,20100705,000000,94.99,94.99,94.99,94.99,0,0
3413.N,D,20100706,000000,95.76,95.76,95.76,95.76,0,0
3413.N,D,20100707,000000,96.58,96.58,96.58,96.58,0,0
3413.N,D,20100708,000000,96.65,96.65,96.65,96.65,0,0
3413.N,D,20100709,000000,97.16,97.16,97.16,97.16,0,0
3413.N,D,20100712,000000,97.31,97.31,97.31,97.31,0,0
3413.N,D,20100713,000000,98.3,98.3,98.3,98.3,0,0
3413.N,D,20100714,000000,98.07,98.07,98.07,98.07,0,0
3413.N,D,20100715,000000,99.49,99.49,99.49,99.49,0,0
3413.N,D,20100716,000000,98.32,98.32,98.32,98.32,0,0
3413.N,D,20100719,000000,98.3,98.3,98.3,98.3,0,0
3413.N,D,20100720,000000,98.53,98.53,98.53,98.53,0,0
3413.N,D,20100721,000000,99.5,99.5,99.5,99.5,0,0
3413.N,D,20100722,000000,102.06,102.06,102.06,102.06,0,0
3413.N,D,20100723,000000,102.58,102.58,102.58,102.58,0,0
3413.N,D,20100726,000000,104.38,104.38,104.38,104.38,0,0
3413.N,D,20100727,000000,104.18,104.18,104.18,104.18,0,0
3413.N,D,20100728,000000,103.31,103.31,103.31,103.31,0,0
3413.N,D,20100729,000000,103.96,103.96,103.96,103.96,0,0
3413.N,D,20100730,000000,103.2,103.2,103.2,103.2,0,0
3413.N,D,20100802,000000,105.67,105.67,105.67,105.67,0,0
3413.N,D,20100803,000000,104.95,104.95,104.95,104.95,0,0
3413.N,D,20100804,000000,105.87,105.87,105.87,105.87,0,0
3413.N,D,20100805,000000,105.71,105.71,105.71,105.71,0,0
3413.N,D,20100806,000000,105.21,105.21,105.21,105.21,0,0
3413.N,D,20100809,000000,105.11,105.11,105.11,105.11,0,0
3413.N,D,20100810,000000,104.27,104.27,104.27,104.27,0,0
3413.N,D,20100811,000000,102.62,102.62,102.62,102.62,0,0
3413.N,D,20100812,000000,103.03,103.03,103.03,103.03,0,0
3413.N,D,20100813,000000,103.21,103.21,103.21,103.21,0,0
3413.N,D,20100816,000000,103.75,103.75,103.75,103.75,0,0
3413.N,D,20100817,000000,104.64,104.64,104.64,104.64,0,0
3413.N,D,20100818,000000,104.66,104.66,104.66,104.66,0,0
3413.N,D,20100819,000000,104.33,104.33,104.33,104.33,0,0
3413.N,D,20100820,000000,103.97,103.97,103.97,103.97,0,0
3413.N,D,20100823,000000,103.58,103.58,103.58,103.58,0,0
3413.N,D,20100824,000000,102.86,102.86,102.86,102.86,0,0
3413.N,D,20100825,000000,102.31,102.31,102.31,102.31,0,0
3413.N,D,20100826,000000,103.01,103.01,103.01,103.01,0,0
3413.N,D,20100827,000000,103.65,103.65,103.65,103.65,0,0
3413.N,D,20100830,000000,103.09,103.09,103.09,103.09,0,0
3413.N,D,20100831,000000,103.24,103.24,103.24,103.24,0,0
3413.N,D,20100901,000000,104.29,104.29,104.29,104.29,0,0
3413.N,D,20100902,000000,104.34,104.34,104.34,104.34,0,0
3413.N,D,20100903,000000,104.5,104.5,104.5,104.5,0,0
3413.N,D,20100906,000000,104.55,104.55,104.55,104.55,0,0
3413.N,D,20100907,000000,104.16,104.16,104.16,104.16,0,0
3413.N,D,20100908,000000,105.08,105.08,105.08,105.08,0,0
3413.N,D,20100909,000000,105.29,105.29,105.29,105.29,0,0
3413.N,D,20100910,000000,105.28,105.28,105.28,105.28,0,0
3413.N,D,20100913,000000,105.88,105.88,105.88,105.88,0,0
3413.N,D,20100914,000000,105.73,105.73,105.73,105.73,0,0
3413.N,D,20100915,000000,106.68,106.68,106.68,106.68,0,0
3413.N,D,20100916,000000,106.45,106.45,106.45,106.45,0,0
3413.N,D,20100917,000000,106.28,106.28,106.28,106.28,0,0
3413.N,D,20100920,000000,106.99,106.99,106.99,106.99,0,0
3413.N,D,20100921,000000,107.37,107.37,107.37,107.37,0,0
3413.N,D,20100922,000000,107.29,107.29,107.29,107.29,0,0
3413.N,D,20100923,000000,106.94,106.94,106.94,106.94,0,0
3413.N,D,20100924,000000,107.74,107.74,107.74,107.74,0,0
3413.N,D,20100927,000000,107.31,107.31,107.31,107.31,0,0
3413.N,D,20100928,000000,106.89,106.89,106.89,106.89,0,0
3413.N,D,20100929,000000,106.95,106.95,106.95,106.95,0,0
3413.N,D,20100930,000000,107.1,107.1,107.1,107.1,0,0
3413.N,D,20101001,000000,107.52,107.52,107.52,107.52,0,0
3413.N,D,20101004,000000,107.26,107.26,107.26,107.26,0,0
3413.N,D,20101005,000000,107.76,107.76,107.76,107.76,0,0
3413.N,D,20101006,000000,107.97,107.97,107.97,107.97,0,0
3413.N,D,20101007,000000,107.64,107.64,107.64,107.64,0,0
3413.N,D,20101008,000000,107.5,107.5,107.5,107.5,0,0
3413.N,D,20101011,000000,108.04,108.04,108.04,108.04,0,0
3413.N,D,20101012,000000,108.06,108.06,108.06,108.06,0,0
3413.N,D,20101013,000000,108.84,108.84,108.84,108.84,0,0
3413.N,D,20101014,000000,107.75,107.75,107.75,107.75,0,0
3413.N,D,20101015,000000,107.38,107.38,107.38,107.38,0,0
3413.N,D,20101018,000000,107.71,107.71,107.71,107.71,0,0
3413.N,D,20101019,000000,106.65,106.65,106.65,106.65,0,0
3413.N,D,20101020,000000,107.1,107.1,107.1,107.1,0,0
3413.N,D,20101021,000000,107.19,107.19,107.19,107.19,0,0
3413.N,D,20101022,000000,107.52,107.52,107.52,107.52,0,0
3413.N,D,20101025,000000,107.54,107.54,107.54,107.54,0,0
3413.N,D,20101026,000000,107.7,107.7,107.7,107.7,0,0
3413.N,D,20101027,000000,107.7,107.7,107.7,107.7,0,0
3413.N,D,20101028,000000,107.9,107.9,107.9,107.9,0,0
