<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3777.N,D,20150910,000000,599.26,599.26,599.26,599.26,0,0
3777.N,D,20150911,000000,599.7,599.7,599.7,599.7,0,0
3777.N,D,20150914,000000,606.01,606.01,606.01,606.01,0,0
3777.N,D,20150915,000000,601.68,601.68,601.68,601.68,0,0
3777.N,D,20150916,000000,604.01,604.01,604.01,604.01,0,0
3777.N,D,20150918,000000,615.18,615.18,615.18,615.18,0,0
3777.N,D,20150921,000000,619.59,619.59,619.59,619.59,0,0
3777.N,D,20150922,000000,607.75,607.75,607.75,607.75,0,0
3777.N,D,20150923,000000,610.45,610.45,610.45,610.45,0,0
3777.N,D,20150924,000000,610.42,610.42,610.42,610.42,0,0
3777.N,D,20150928,000000,606.43,606.43,606.43,606.43,0,0
3777.N,D,20150929,000000,609.67,609.67,609.67,609.67,0,0
3777.N,D,20150930,000000,622.64,622.64,622.64,622.64,0,0
3777.N,D,20151001,000000,624.06,624.06,624.06,624.06,0,0
3777.N,D,20151005,000000,639.1,639.1,639.1,639.1,0,0
3777.N,D,20151006,000000,639.3,639.3,639.3,639.3,0,0
3777.N,D,20151007,000000,643.77,643.77,643.77,643.77,0,0
3777.N,D,20151008,000000,637.99,637.99,637.99,637.99,0,0
3777.N,D,20151009,000000,644.05,644.05,644.05,644.05,0,0
3777.N,D,20151012,000000,641.16,641.16,641.16,641.16,0,0
3777.N,D,20151013,000000,634.89,634.89,634.89,634.89,0,0
3777.N,D,20151014,000000,634.17,634.17,634.17,634.17,0,0
3777.N,D,20151015,000000,640.3,640.3,640.3,640.3,0,0
3777.N,D,20151016,000000,643.1,643.1,643.1,643.1,0,0
3777.N,D,20151019,000000,648.19,648.19,648.19,648.19,0,0
3777.N,D,20151020,000000,647.09,647.09,647.09,647.09,0,0
3777.N,D,20151021,000000,645.75,645.75,645.75,645.75,0,0
3777.N,D,20151023,000000,648.72,648.72,648.72,648.72,0,0
3777.N,D,20151026,000000,644.25,644.25,644.25,644.25,0,0
3777.N,D,20151027,000000,645.11,645.11,645.11,645.11,0,0
3777.N,D,20151028,000000,643.78,643.78,643.78,643.78,0,0
3777.N,D,20151029,000000,635.71,635.71,635.71,635.71,0,0
3777.N,D,20151030,000000,630.55,630.55,630.55,630.55,0,0
3777.N,D,20151102,000000,625.99,625.99,625.99,625.99,0,0
3777.N,D,20151103,000000,626.35,626.35,626.35,626.35,0,0
3777.N,D,20151104,000000,628.51,628.51,628.51,628.51,0,0
3777.N,D,20151105,000000,617.15,617.15,617.15,617.15,0,0
3777.N,D,20151106,000000,617.57,617.57,617.57,617.57,0,0
3777.N,D,20151109,000000,614.06,614.06,614.06,614.06,0,0
3777.N,D,20151110,000000,607.59,607.59,607.59,607.59,0,0
3777.N,D,20151113,000000,608.38,608.38,608.38,608.38,0,0
3777.N,D,20151116,000000,610.92,610.92,610.92,610.92,0,0
3777.N,D,20151117,000000,611.81,611.81,611.81,611.81,0,0
3777.N,D,20151118,000000,605.12,605.12,605.12,605.12,0,0
3777.N,D,20151119,000000,613.64,613.64,613.64,613.64,0,0
3777.N,D,20151120,000000,616.51,616.51,616.51,616.51,0,0
3777.N,D,20151123,000000,614.2,614.2,614.2,614.2,0,0
3777.N,D,20151124,000000,612.27,612.27,612.27,612.27,0,0
3777.N,D,20151126,000000,614.99,614.99,614.99,614.99,0,0
3777.N,D,20151127,000000,616.64,616.64,616.64,616.64,0,0
3777.N,D,20151130,000000,618.14,618.14,618.14,618.14,0,0
3777.N,D,20151201,000000,618.59,618.59,618.59,618.59,0,0
3777.N,D,20151202,000000,616.53,616.53,616.53,616.53,0,0
3777.N,D,20151203,000000,611.66,611.66,611.66,611.66,0,0
3777.N,D,20151204,000000,604.21,604.21,604.21,604.21,0,0
3777.N,D,20151207,000000,603.25,603.25,603.25,603.25,0,0
3777.N,D,20151208,000000,598.08,598.08,598.08,598.08,0,0
3777.N,D,20151209,000000,590.42,590.42,590.42,590.42,0,0
3777.N,D,20151210,000000,597,597,597,597,0,0
3777.N,D,20151211,000000,590.42,590.42,590.42,590.42,0,0
3777.N,D,20151214,000000,589.57,589.57,589.57,589.57,0,0
3777.N,D,20151215,000000,596.86,596.86,596.86,596.86,0,0
3777.N,D,20151216,000000,602.22,602.22,602.22,602.22,0,0
3777.N,D,20151217,000000,612.71,612.71,612.71,612.71,0,0
3777.N,D,20151218,000000,608.48,608.48,608.48,608.48,0,0
3777.N,D,20151221,000000,612.84,612.84,612.84,612.84,0,0
3777.N,D,20151222,000000,611.39,611.39,611.39,611.39,0,0
3777.N,D,20151223,000000,617.54,617.54,617.54,617.54,0,0
3777.N,D,20151228,000000,621.05,621.05,621.05,621.05,0,0
3777.N,D,20151229,000000,621.74,621.74,621.74,621.74,0,0
3777.N,D,20151230,000000,620.18,620.18,620.18,620.18,0,0
3777.N,D,20151231,000000,629.11,629.11,629.11,629.11,0,0
3777.N,D,20160104,000000,615.94,615.94,615.94,615.94,0,0
3777.N,D,20160105,000000,618.44,618.44,618.44,618.44,0,0
3777.N,D,20160106,000000,614.63,614.63,614.63,614.63,0,0
3777.N,D,20160107,000000,601.15,601.15,601.15,601.15,0,0
3777.N,D,20160108,000000,606.88,606.88,606.88,606.88,0,0
3777.N,D,20160111,000000,603.32,603.32,603.32,603.32,0,0
3777.N,D,20160112,000000,598.06,598.06,598.06,598.06,0,0
3777.N,D,20160113,000000,600.71,600.71,600.71,600.71,0,0
3777.N,D,20160114,000000,589.8,589.8,589.8,589.8,0,0
3777.N,D,20160115,000000,580.65,580.65,580.65,580.65,0,0
3777.N,D,20160118,000000,563.31,563.31,563.31,563.31,0,0
3777.N,D,20160119,000000,574.54,574.54,574.54,574.54,0,0
3777.N,D,20160120,000000,562.5,562.5,562.5,562.5,0,0
3777.N,D,20160121,000000,558.48,558.48,558.48,558.48,0,0
3777.N,D,20160122,000000,571.17,571.17,571.17,571.17,0,0
3777.N,D,20160125,000000,570.15,570.15,570.15,570.15,0,0
3777.N,D,20160127,000000,570.49,570.49,570.49,570.49,0,0
