<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1366.N,D,20190508,000000,100,100,100,100,0,0
1366.N,D,20190509,000000,100,100,100,100,0,0
1366.N,D,20190510,000000,100,100,100,100,0,0
1366.N,D,20190513,000000,99.99,99.99,99.99,99.99,0,0
1366.N,D,20190514,000000,99.99,99.99,99.99,99.99,0,0
1366.N,D,20190515,000000,99.98,99.98,99.98,99.98,0,0
1366.N,D,20190516,000000,99.98,99.98,99.98,99.98,0,0
1366.N,D,20190517,000000,99.98,99.98,99.98,99.98,0,0
1366.N,D,20190520,000000,99.98,99.98,99.98,99.98,0,0
1366.N,D,20190521,000000,99.97,99.97,99.97,99.97,0,0
1366.N,D,20190522,000000,99.97,99.97,99.97,99.97,0,0
1366.N,D,20190523,000000,99.97,99.97,99.97,99.97,0,0
1366.N,D,20190524,000000,99.97,99.97,99.97,99.97,0,0
1366.N,D,20190527,000000,99.96,99.96,99.96,99.96,0,0
1366.N,D,20190528,000000,99.96,99.96,99.96,99.96,0,0
1366.N,D,20190529,000000,99.96,99.96,99.96,99.96,0,0
1366.N,D,20190530,000000,99.95,99.95,99.95,99.95,0,0
1366.N,D,20190531,000000,99.95,99.95,99.95,99.95,0,0
1366.N,D,20190603,000000,99.94,99.94,99.94,99.94,0,0
1366.N,D,20190604,000000,99.94,99.94,99.94,99.94,0,0
1366.N,D,20190605,000000,99.94,99.94,99.94,99.94,0,0
1366.N,D,20190606,000000,99.94,99.94,99.94,99.94,0,0
1366.N,D,20190607,000000,99.93,99.93,99.93,99.93,0,0
1366.N,D,20190610,000000,99.93,99.93,99.93,99.93,0,0
1366.N,D,20190611,000000,99.92,99.92,99.92,99.92,0,0
1366.N,D,20190612,000000,99.92,99.92,99.92,99.92,0,0
1366.N,D,20190613,000000,99.92,99.92,99.92,99.92,0,0
1366.N,D,20190614,000000,99.92,99.92,99.92,99.92,0,0
1366.N,D,20190617,000000,99.9,99.9,99.9,99.9,0,0
1366.N,D,20190618,000000,99.9,99.9,99.9,99.9,0,0
1366.N,D,20190619,000000,99.9,99.9,99.9,99.9,0,0
1366.N,D,20190621,000000,99.89,99.89,99.89,99.89,0,0
1366.N,D,20190624,000000,99.88,99.88,99.88,99.88,0,0
1366.N,D,20190625,000000,99.88,99.88,99.88,99.88,0,0
1366.N,D,20190626,000000,99.88,99.88,99.88,99.88,0,0
1366.N,D,20190627,000000,99.88,99.88,99.88,99.88,0,0
1366.N,D,20190628,000000,99.87,99.87,99.87,99.87,0,0
1366.N,D,20190701,000000,99.86,99.86,99.86,99.86,0,0
1366.N,D,20190702,000000,99.86,99.86,99.86,99.86,0,0
1366.N,D,20190703,000000,99.85,99.85,99.85,99.85,0,0
1366.N,D,20190704,000000,99.84,99.84,99.84,99.84,0,0
1366.N,D,20190705,000000,99.84,99.84,99.84,99.84,0,0
1366.N,D,20190708,000000,99.82,99.82,99.82,99.82,0,0
1366.N,D,20190709,000000,99.81,99.81,99.81,99.81,0,0
1366.N,D,20190710,000000,101.46,101.46,101.46,101.46,0,0
1366.N,D,20190711,000000,101.46,101.46,101.46,101.46,0,0
1366.N,D,20190712,000000,101.45,101.45,101.45,101.45,0,0
1366.N,D,20190715,000000,101.59,101.59,101.59,101.59,0,0
1366.N,D,20190716,000000,101.63,101.63,101.63,101.63,0,0
1366.N,D,20190717,000000,101.4,101.4,101.4,101.4,0,0
1366.N,D,20190718,000000,101.46,101.46,101.46,101.46,0,0
1366.N,D,20190719,000000,101.76,101.76,101.76,101.76,0,0
1366.N,D,20190722,000000,101.79,101.79,101.79,101.79,0,0
1366.N,D,20190723,000000,102.14,102.14,102.14,102.14,0,0
1366.N,D,20190724,000000,102.34,102.34,102.34,102.34,0,0
1366.N,D,20190725,000000,102.01,102.01,102.01,102.01,0,0
1366.N,D,20190726,000000,102.07,102.07,102.07,102.07,0,0
1366.N,D,20190729,000000,101.87,101.87,101.87,101.87,0,0
1366.N,D,20190730,000000,101.59,101.59,101.59,101.59,0,0
1366.N,D,20190731,000000,101.57,101.57,101.57,101.57,0,0
1366.N,D,20190801,000000,101.23,101.23,101.23,101.23,0,0
1366.N,D,20190802,000000,100.58,100.58,100.58,100.58,0,0
1366.N,D,20190805,000000,99.32,99.32,99.32,99.32,0,0
1366.N,D,20190806,000000,99.31,99.31,99.31,99.31,0,0
1366.N,D,20190807,000000,99.15,99.15,99.15,99.15,0,0
1366.N,D,20190808,000000,99.8,99.8,99.8,99.8,0,0
1366.N,D,20190809,000000,99.37,99.37,99.37,99.37,0,0
1366.N,D,20190812,000000,98.98,98.98,98.98,98.98,0,0
1366.N,D,20190813,000000,99.52,99.52,99.52,99.52,0,0
1366.N,D,20190814,000000,98.78,98.78,98.78,98.78,0,0
1366.N,D,20190816,000000,98.98,98.98,98.98,98.98,0,0
1366.N,D,20190819,000000,99.37,99.37,99.37,99.37,0,0
1366.N,D,20190820,000000,99.4,99.4,99.4,99.4,0,0
1366.N,D,20190821,000000,99.41,99.41,99.41,99.41,0,0
1366.N,D,20190822,000000,99.34,99.34,99.34,99.34,0,0
1366.N,D,20190823,000000,98.87,98.87,98.87,98.87,0,0
1366.N,D,20190826,000000,98.95,98.95,98.95,98.95,0,0
1366.N,D,20190827,000000,99.05,99.05,99.05,99.05,0,0
1366.N,D,20190828,000000,98.91,98.91,98.91,98.91,0,0
1366.N,D,20190829,000000,99.2,99.2,99.2,99.2,0,0
1366.N,D,20190830,000000,99.94,99.94,99.94,99.94,0,0
1366.N,D,20190902,000000,100.11,100.11,100.11,100.11,0,0
1366.N,D,20190903,000000,99.85,99.85,99.85,99.85,0,0
