<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2252.N,D,20060421,000000,129.71,129.71,129.71,129.71,0,0
2252.N,D,20060424,000000,129.74,129.74,129.74,129.74,0,0
2252.N,D,20060425,000000,129.73,129.73,129.73,129.73,0,0
2252.N,D,20060426,000000,129.74,129.74,129.74,129.74,0,0
2252.N,D,20060427,000000,129.74,129.74,129.74,129.74,0,0
2252.N,D,20060428,000000,129.76,129.76,129.76,129.76,0,0
2252.N,D,20060502,000000,129.8,129.8,129.8,129.8,0,0
2252.N,D,20060504,000000,129.8,129.8,129.8,129.8,0,0
2252.N,D,20060505,000000,129.81,129.81,129.81,129.81,0,0
2252.N,D,20060508,000000,129.86,129.86,129.86,129.86,0,0
2252.N,D,20060509,000000,129.88,129.88,129.88,129.88,0,0
2252.N,D,20060510,000000,129.88,129.88,129.88,129.88,0,0
2252.N,D,20060511,000000,129.9,129.9,129.9,129.9,0,0
2252.N,D,20060512,000000,129.91,129.91,129.91,129.91,0,0
2252.N,D,20060515,000000,129.92,129.92,129.92,129.92,0,0
2252.N,D,20060516,000000,129.9,129.9,129.9,129.9,0,0
2252.N,D,20060517,000000,129.93,129.93,129.93,129.93,0,0
2252.N,D,20060518,000000,129.92,129.92,129.92,129.92,0,0
2252.N,D,20060519,000000,129.94,129.94,129.94,129.94,0,0
2252.N,D,20060522,000000,129.97,129.97,129.97,129.97,0,0
2252.N,D,20060523,000000,129.97,129.97,129.97,129.97,0,0
2252.N,D,20060524,000000,129.99,129.99,129.99,129.99,0,0
2252.N,D,20060525,000000,130.11,130.11,130.11,130.11,0,0
2252.N,D,20060526,000000,130.13,130.13,130.13,130.13,0,0
2252.N,D,20060529,000000,130.19,130.19,130.19,130.19,0,0
2252.N,D,20060530,000000,130.2,130.2,130.2,130.2,0,0
2252.N,D,20060531,000000,130.21,130.21,130.21,130.21,0,0
2252.N,D,20060601,000000,130.22,130.22,130.22,130.22,0,0
2252.N,D,20060602,000000,130.22,130.22,130.22,130.22,0,0
2252.N,D,20060605,000000,130.27,130.27,130.27,130.27,0,0
2252.N,D,20060606,000000,130.27,130.27,130.27,130.27,0,0
2252.N,D,20060607,000000,130.28,130.28,130.28,130.28,0,0
2252.N,D,20060608,000000,130.3,130.3,130.3,130.3,0,0
2252.N,D,20060609,000000,130.3,130.3,130.3,130.3,0,0
2252.N,D,20060612,000000,130.33,130.33,130.33,130.33,0,0
2252.N,D,20060613,000000,130.33,130.33,130.33,130.33,0,0
2252.N,D,20060614,000000,130.34,130.34,130.34,130.34,0,0
2252.N,D,20060616,000000,130.36,130.36,130.36,130.36,0,0
2252.N,D,20060619,000000,130.38,130.38,130.38,130.38,0,0
2252.N,D,20060620,000000,130.4,130.4,130.4,130.4,0,0
2252.N,D,20060621,000000,130.36,130.36,130.36,130.36,0,0
2252.N,D,20060622,000000,130.34,130.34,130.34,130.34,0,0
2252.N,D,20060623,000000,130.34,130.34,130.34,130.34,0,0
2252.N,D,20060626,000000,130.33,130.33,130.33,130.33,0,0
2252.N,D,20060627,000000,130.34,130.34,130.34,130.34,0,0
2252.N,D,20060628,000000,130.39,130.39,130.39,130.39,0,0
2252.N,D,20060629,000000,130.42,130.42,130.42,130.42,0,0
2252.N,D,20060630,000000,130.43,130.43,130.43,130.43,0,0
2252.N,D,20060703,000000,130.46,130.46,130.46,130.46,0,0
2252.N,D,20060704,000000,130.51,130.51,130.51,130.51,0,0
2252.N,D,20060705,000000,130.53,130.53,130.53,130.53,0,0
2252.N,D,20060706,000000,130.5,130.5,130.5,130.5,0,0
2252.N,D,20060707,000000,130.51,130.51,130.51,130.51,0,0
2252.N,D,20060710,000000,130.54,130.54,130.54,130.54,0,0
2252.N,D,20060711,000000,130.51,130.51,130.51,130.51,0,0
2252.N,D,20060712,000000,130.57,130.57,130.57,130.57,0,0
2252.N,D,20060713,000000,130.6,130.6,130.6,130.6,0,0
2252.N,D,20060714,000000,130.6,130.6,130.6,130.6,0,0
2252.N,D,20060717,000000,130.67,130.67,130.67,130.67,0,0
2252.N,D,20060718,000000,130.67,130.67,130.67,130.67,0,0
2252.N,D,20060719,000000,130.71,130.71,130.71,130.71,0,0
2252.N,D,20060720,000000,130.74,130.74,130.74,130.74,0,0
2252.N,D,20060721,000000,130.77,130.77,130.77,130.77,0,0
2252.N,D,20060724,000000,130.79,130.79,130.79,130.79,0,0
2252.N,D,20060725,000000,130.81,130.81,130.81,130.81,0,0
2252.N,D,20060726,000000,130.81,130.81,130.81,130.81,0,0
2252.N,D,20060727,000000,130.82,130.82,130.82,130.82,0,0
2252.N,D,20060728,000000,130.83,130.83,130.83,130.83,0,0
2252.N,D,20060731,000000,130.86,130.86,130.86,130.86,0,0
2252.N,D,20060801,000000,130.85,130.85,130.85,130.85,0,0
2252.N,D,20060802,000000,130.86,130.86,130.86,130.86,0,0
2252.N,D,20060803,000000,130.88,130.88,130.88,130.88,0,0
2252.N,D,20060804,000000,130.9,130.9,130.9,130.9,0,0
2252.N,D,20060807,000000,130.97,130.97,130.97,130.97,0,0
2252.N,D,20060808,000000,130.98,130.98,130.98,130.98,0,0
2252.N,D,20060809,000000,130.98,130.98,130.98,130.98,0,0
2252.N,D,20060810,000000,131.01,131.01,131.01,131.01,0,0
2252.N,D,20060811,000000,131.01,131.01,131.01,131.01,0,0
