<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3860.N,D,20071214,000000,100,100,100,100,0,0
3860.N,D,20071217,000000,98.79,98.79,98.79,98.79,0,0
3860.N,D,20071218,000000,97.48,97.48,97.48,97.48,0,0
3860.N,D,20071219,000000,98.31,98.31,98.31,98.31,0,0
3860.N,D,20071220,000000,98.66,98.66,98.66,98.66,0,0
3860.N,D,20071221,000000,99.64,99.64,99.64,99.64,0,0
3860.N,D,20071227,000000,101.51,101.51,101.51,101.51,0,0
3860.N,D,20071228,000000,100.11,100.11,100.11,100.11,0,0
3860.N,D,20071231,000000,100.25,100.25,100.25,100.25,0,0
3860.N,D,20080102,000000,99.83,99.83,99.83,99.83,0,0
3860.N,D,20080103,000000,98.69,98.69,98.69,98.69,0,0
3860.N,D,20080104,000000,98.29,98.29,98.29,98.29,0,0
3860.N,D,20080107,000000,95.75,95.75,95.75,95.75,0,0
3860.N,D,20080108,000000,95.15,95.15,95.15,95.15,0,0
3860.N,D,20080109,000000,93.3,93.3,93.3,93.3,0,0
3860.N,D,20080110,000000,93.61,93.61,93.61,93.61,0,0
3860.N,D,20080111,000000,95.01,95.01,95.01,95.01,0,0
3860.N,D,20080114,000000,93.86,93.86,93.86,93.86,0,0
3860.N,D,20080115,000000,94.83,94.83,94.83,94.83,0,0
3860.N,D,20080116,000000,92.88,92.88,92.88,92.88,0,0
3860.N,D,20080117,000000,91.55,91.55,91.55,91.55,0,0
3860.N,D,20080118,000000,89.24,89.24,89.24,89.24,0,0
3860.N,D,20080121,000000,88.89,88.89,88.89,88.89,0,0
3860.N,D,20080122,000000,88.78,88.78,88.78,88.78,0,0
3860.N,D,20080123,000000,88.06,88.06,88.06,88.06,0,0
3860.N,D,20080124,000000,89.37,89.37,89.37,89.37,0,0
3860.N,D,20080125,000000,91.14,91.14,91.14,91.14,0,0
3860.N,D,20080128,000000,90.42,90.42,90.42,90.42,0,0
3860.N,D,20080129,000000,92.03,92.03,92.03,92.03,0,0
3860.N,D,20080130,000000,92.25,92.25,92.25,92.25,0,0
3860.N,D,20080131,000000,92.06,92.06,92.06,92.06,0,0
3860.N,D,20080201,000000,93.47,93.47,93.47,93.47,0,0
3860.N,D,20080204,000000,95.26,95.26,95.26,95.26,0,0
3860.N,D,20080205,000000,94.73,94.73,94.73,94.73,0,0
3860.N,D,20080206,000000,92.1,92.1,92.1,92.1,0,0
3860.N,D,20080207,000000,91.17,91.17,91.17,91.17,0,0
3860.N,D,20080208,000000,91.98,91.98,91.98,91.98,0,0
3860.N,D,20080211,000000,92.23,92.23,92.23,92.23,0,0
3860.N,D,20080212,000000,92.57,92.57,92.57,92.57,0,0
3860.N,D,20080213,000000,93.02,93.02,93.02,93.02,0,0
3860.N,D,20080214,000000,94.41,94.41,94.41,94.41,0,0
3860.N,D,20080215,000000,93.04,93.04,93.04,93.04,0,0
3860.N,D,20080218,000000,93.05,93.05,93.05,93.05,0,0
3860.N,D,20080219,000000,93.04,93.04,93.04,93.04,0,0
3860.N,D,20080220,000000,92.82,92.82,92.82,92.82,0,0
3860.N,D,20080221,000000,93.47,93.47,93.47,93.47,0,0
3860.N,D,20080222,000000,92.55,92.55,92.55,92.55,0,0
3860.N,D,20080225,000000,93.03,93.03,93.03,93.03,0,0
3860.N,D,20080226,000000,94.41,94.41,94.41,94.41,0,0
3860.N,D,20080227,000000,94.89,94.89,94.89,94.89,0,0
3860.N,D,20080228,000000,94.68,94.68,94.68,94.68,0,0
3860.N,D,20080229,000000,93.55,93.55,93.55,93.55,0,0
3860.N,D,20080303,000000,91.54,91.54,91.54,91.54,0,0
3860.N,D,20080304,000000,91.12,91.12,91.12,91.12,0,0
3860.N,D,20080305,000000,90.7,90.7,90.7,90.7,0,0
