<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3304.N,D,19991025,000000,50,50,50,50,0,0
3304.N,D,19991026,000000,50,50,50,50,0,0
3304.N,D,19991027,000000,50.01,50.01,50.01,50.01,0,0
3304.N,D,19991028,000000,50.02,50.02,50.02,50.02,0,0
3304.N,D,19991029,000000,50.04,50.04,50.04,50.04,0,0
3304.N,D,19991102,000000,50.08,50.08,50.08,50.08,0,0
3304.N,D,19991103,000000,50.07,50.07,50.07,50.07,0,0
3304.N,D,19991104,000000,50.07,50.07,50.07,50.07,0,0
3304.N,D,19991105,000000,49.85,49.85,49.85,49.85,0,0
3304.N,D,19991108,000000,49.84,49.84,49.84,49.84,0,0
3304.N,D,19991109,000000,49.84,49.84,49.84,49.84,0,0
3304.N,D,19991110,000000,49.87,49.87,49.87,49.87,0,0
3304.N,D,19991115,000000,49.98,49.98,49.98,49.98,0,0
3304.N,D,19991116,000000,50.07,50.07,50.07,50.07,0,0
3304.N,D,19991117,000000,50.23,50.23,50.23,50.23,0,0
3304.N,D,19991118,000000,50.26,50.26,50.26,50.26,0,0
3304.N,D,19991119,000000,50.61,50.61,50.61,50.61,0,0
3304.N,D,19991122,000000,50.83,50.83,50.83,50.83,0,0
3304.N,D,19991123,000000,50.74,50.74,50.74,50.74,0,0
3304.N,D,19991124,000000,50.66,50.66,50.66,50.66,0,0
3304.N,D,19991125,000000,51,51,51,51,0,0
3304.N,D,19991126,000000,51.12,51.12,51.12,51.12,0,0
3304.N,D,19991129,000000,50.84,50.84,50.84,50.84,0,0
3304.N,D,19991130,000000,50.84,50.84,50.84,50.84,0,0
3304.N,D,19991201,000000,51.21,51.21,51.21,51.21,0,0
3304.N,D,19991202,000000,51.29,51.29,51.29,51.29,0,0
3304.N,D,19991203,000000,51.14,51.14,51.14,51.14,0,0
3304.N,D,19991206,000000,51.26,51.26,51.26,51.26,0,0
3304.N,D,19991207,000000,51.24,51.24,51.24,51.24,0,0
3304.N,D,19991208,000000,51.5,51.5,51.5,51.5,0,0
3304.N,D,19991209,000000,51.73,51.73,51.73,51.73,0,0
3304.N,D,19991210,000000,51.92,51.92,51.92,51.92,0,0
3304.N,D,19991213,000000,51.95,51.95,51.95,51.95,0,0
3304.N,D,19991214,000000,51.73,51.73,51.73,51.73,0,0
3304.N,D,19991215,000000,51.71,51.71,51.71,51.71,0,0
3304.N,D,19991216,000000,51.54,51.54,51.54,51.54,0,0
3304.N,D,19991217,000000,51.81,51.81,51.81,51.81,0,0
3304.N,D,19991220,000000,52.14,52.14,52.14,52.14,0,0
3304.N,D,19991221,000000,52.16,52.16,52.16,52.16,0,0
3304.N,D,19991222,000000,52.53,52.53,52.53,52.53,0,0
3304.N,D,19991223,000000,52.9,52.9,52.9,52.9,0,0
3304.N,D,19991227,000000,53.56,53.56,53.56,53.56,0,0
3304.N,D,19991228,000000,53.36,53.36,53.36,53.36,0,0
3304.N,D,19991229,000000,53.42,53.42,53.42,53.42,0,0
3304.N,D,20000103,000000,54.55,54.55,54.55,54.55,0,0
3304.N,D,20000104,000000,54.1,54.1,54.1,54.1,0,0
3304.N,D,20000105,000000,53.28,53.28,53.28,53.28,0,0
3304.N,D,20000106,000000,53.82,53.82,53.82,53.82,0,0
3304.N,D,20000107,000000,55.02,55.02,55.02,55.02,0,0
3304.N,D,20000110,000000,56.3,56.3,56.3,56.3,0,0
3304.N,D,20000111,000000,56.62,56.62,56.62,56.62,0,0
3304.N,D,20000112,000000,56.28,56.28,56.28,56.28,0,0
3304.N,D,20000113,000000,56.79,56.79,56.79,56.79,0,0
3304.N,D,20000114,000000,57.2,57.2,57.2,57.2,0,0
3304.N,D,20000117,000000,56.78,56.78,56.78,56.78,0,0
3304.N,D,20000118,000000,56.91,56.91,56.91,56.91,0,0
3304.N,D,20000119,000000,56.16,56.16,56.16,56.16,0,0
3304.N,D,20000120,000000,56.38,56.38,56.38,56.38,0,0
3304.N,D,20000121,000000,56.21,56.21,56.21,56.21,0,0
3304.N,D,20000124,000000,56.2,56.2,56.2,56.2,0,0
3304.N,D,20000125,000000,55.37,55.37,55.37,55.37,0,0
3304.N,D,20000126,000000,55.4,55.4,55.4,55.4,0,0
3304.N,D,20000127,000000,55.7,55.7,55.7,55.7,0,0
3304.N,D,20000128,000000,55.95,55.95,55.95,55.95,0,0
3304.N,D,20000131,000000,55.7,55.7,55.7,55.7,0,0
3304.N,D,20000201,000000,56.31,56.31,56.31,56.31,0,0
3304.N,D,20000202,000000,56.72,56.72,56.72,56.72,0,0
3304.N,D,20000203,000000,58.24,58.24,58.24,58.24,0,0
3304.N,D,20000204,000000,58.97,58.97,58.97,58.97,0,0
3304.N,D,20000207,000000,59.1,59.1,59.1,59.1,0,0
3304.N,D,20000208,000000,59.98,59.98,59.98,59.98,0,0
3304.N,D,20000209,000000,60.47,60.47,60.47,60.47,0,0
3304.N,D,20000210,000000,59.52,59.52,59.52,59.52,0,0
3304.N,D,20000211,000000,59.64,59.64,59.64,59.64,0,0
3304.N,D,20000214,000000,59.14,59.14,59.14,59.14,0,0
3304.N,D,20000215,000000,59.59,59.59,59.59,59.59,0,0
3304.N,D,20000216,000000,59.78,59.78,59.78,59.78,0,0
3304.N,D,20000217,000000,60.11,60.11,60.11,60.11,0,0
3304.N,D,20000218,000000,60.86,60.86,60.86,60.86,0,0
3304.N,D,20000221,000000,60.29,60.29,60.29,60.29,0,0
3304.N,D,20000222,000000,61.54,61.54,61.54,61.54,0,0
3304.N,D,20000223,000000,62.2,62.2,62.2,62.2,0,0
3304.N,D,20000224,000000,63.39,63.39,63.39,63.39,0,0
3304.N,D,20000225,000000,62.7,62.7,62.7,62.7,0,0
3304.N,D,20000228,000000,61.59,61.59,61.59,61.59,0,0
3304.N,D,20000229,000000,62.49,62.49,62.49,62.49,0,0
3304.N,D,20000301,000000,63.3,63.3,63.3,63.3,0,0
3304.N,D,20000302,000000,62.73,62.73,62.73,62.73,0,0
3304.N,D,20000303,000000,63.02,63.02,63.02,63.02,0,0
3304.N,D,20000306,000000,63,63,63,63,0,0
3304.N,D,20000307,000000,62.78,62.78,62.78,62.78,0,0
3304.N,D,20000308,000000,62.49,62.49,62.49,62.49,0,0
3304.N,D,20000309,000000,63.02,63.02,63.02,63.02,0,0
3304.N,D,20000310,000000,63.94,63.94,63.94,63.94,0,0
3304.N,D,20000313,000000,62.74,62.74,62.74,62.74,0,0
3304.N,D,20000314,000000,63.6,63.6,63.6,63.6,0,0
3304.N,D,20000315,000000,62.7,62.7,62.7,62.7,0,0
3304.N,D,20000316,000000,62.98,62.98,62.98,62.98,0,0
3304.N,D,20000317,000000,63.25,63.25,63.25,63.25,0,0
3304.N,D,20000320,000000,63.03,63.03,63.03,63.03,0,0
3304.N,D,20000321,000000,62.58,62.58,62.58,62.58,0,0
3304.N,D,20000322,000000,62.94,62.94,62.94,62.94,0,0
3304.N,D,20000323,000000,62.96,62.96,62.96,62.96,0,0
3304.N,D,20000324,000000,63.47,63.47,63.47,63.47,0,0
3304.N,D,20000327,000000,63.64,63.64,63.64,63.64,0,0
3304.N,D,20000328,000000,63.53,63.53,63.53,63.53,0,0
3304.N,D,20000329,000000,63.15,63.15,63.15,63.15,0,0
3304.N,D,20000330,000000,61.74,61.74,61.74,61.74,0,0
3304.N,D,20000331,000000,61.8,61.8,61.8,61.8,0,0
3304.N,D,20000403,000000,61.62,61.62,61.62,61.62,0,0
