<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2CP_PB,D,20140513,000000,5.77,5.77,5.77,5.77,0,0
2CP_PB,D,20140514,000000,6.1,6.53,5.45,6.53,0,0
2CP_PB,D,20140515,000000,6.53,6.53,5.23,5.45,0,0
2CP_PB,D,20140516,000000,6.43,6.43,4.57,4.57,0,0
2CP_PB,D,20140519,000000,5.23,5.23,5.23,5.23,0,0
2CP_PB,D,20140520,000000,6.25,6.25,4.6,4.6,0,0
2CP_PB,D,20140521,000000,5.45,5.45,4.62,5.05,0,0
2CP_PB,D,20140522,000000,5.42,5.42,4.36,4.36,0,0
2CP_PB,D,20140523,000000,4.27,4.53,4.25,4.25,0,0
2CP_PB,D,20140526,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140527,000000,4.77,4.77,4.18,4.49,0,0
2CP_PB,D,20140528,000000,4.49,4.49,4.25,4.25,0,0
2CP_PB,D,20140529,000000,4.47,4.47,4.47,4.47,0,0
2CP_PB,D,20140530,000000,4.55,4.55,4.55,4.55,0,0
2CP_PB,D,20140602,000000,4.55,4.57,4.55,4.57,0,0
2CP_PB,D,20140603,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140604,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140605,000000,4.57,4.57,4.23,4.23,0,0
2CP_PB,D,20140606,000000,4.57,4.57,4.23,4.57,0,0
2CP_PB,D,20140609,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140610,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140611,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140612,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140613,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140616,000000,4.57,4.57,4.57,4.57,0,0
2CP_PB,D,20140617,000000,4.57,4.77,4.57,4.77,0,0
2CP_PB,D,20140618,000000,4.77,4.77,4.39,4.39,0,0
2CP_PB,D,20140620,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140623,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140624,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140625,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140626,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140627,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140630,000000,4.77,4.77,4.77,4.77,0,0
2CP_PB,D,20140701,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140702,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140703,000000,4.98,4.98,4.48,4.98,0,0
2CP_PB,D,20140704,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140707,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140708,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140709,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140710,000000,4.98,4.98,4.55,4.98,0,0
2CP_PB,D,20140711,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140714,000000,4.98,4.98,4.98,4.98,0,0
2CP_PB,D,20140715,000000,4.98,4.98,4.55,4.66,0,0
2CP_PB,D,20140716,000000,4.98,4.98,4.41,4.41,0,0
2CP_PB,D,20140717,000000,4.18,4.55,4.18,4.55,0,0
2CP_PB,D,20140718,000000,3.66,4.16,3.66,4.09,0,0
2CP_PB,D,20140721,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140722,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140723,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140724,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140725,000000,4.64,4.66,4.07,4.66,0,0
2CP_PB,D,20140728,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140729,000000,4.07,4.66,4.07,4.66,0,0
2CP_PB,D,20140730,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140731,000000,4.66,4.66,4.66,4.66,0,0
2CP_PB,D,20140801,000000,4.66,4.66,4.66,4.66,0,0
