<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2CP_PE,D,20140513,000000,26.5,26.5,26.5,26.5,0,0
2CP_PE,D,20140514,000000,28,30.1,25,30.1,0,0
2CP_PE,D,20140515,000000,30.1,30.1,24.1,25,0,0
2CP_PE,D,20140516,000000,29.5,29.5,21,21,0,0
2CP_PE,D,20140519,000000,24,24,24,24,0,0
2CP_PE,D,20140520,000000,28.7,28.7,21.1,21.1,0,0
2CP_PE,D,20140521,000000,25,25,21.2,23.2,0,0
2CP_PE,D,20140522,000000,24.9,24.9,20,20,0,0
2CP_PE,D,20140523,000000,19.6,20.8,19.5,19.5,0,0
2CP_PE,D,20140526,000000,21,21,21,21,0,0
2CP_PE,D,20140527,000000,21.9,21.9,19.2,20.6,0,0
2CP_PE,D,20140528,000000,20.6,20.6,19.5,19.5,0,0
2CP_PE,D,20140529,000000,20.5,20.5,20.5,20.5,0,0
2CP_PE,D,20140530,000000,20.9,20.9,20.9,20.9,0,0
2CP_PE,D,20140602,000000,20.9,21,20.9,21,0,0
2CP_PE,D,20140603,000000,21,21,21,21,0,0
2CP_PE,D,20140604,000000,21,21,21,21,0,0
2CP_PE,D,20140605,000000,21,21,19.4,19.4,0,0
2CP_PE,D,20140606,000000,21,21,19.4,21,0,0
2CP_PE,D,20140609,000000,21,21,21,21,0,0
2CP_PE,D,20140610,000000,21,21,21,21,0,0
2CP_PE,D,20140611,000000,21,21,21,21,0,0
2CP_PE,D,20140612,000000,21,21,21,21,0,0
2CP_PE,D,20140613,000000,21,21,21,21,0,0
2CP_PE,D,20140616,000000,21,21,21,21,0,0
2CP_PE,D,20140617,000000,21,21,10.9,10.9,0,0
2CP_PE,D,20140618,000000,10.9,10.9,10,10,0,0
2CP_PE,D,20140620,000000,10.9,10.9,10.9,10.9,0,0
2CP_PE,D,20140623,000000,10.9,10.9,10.9,10.9,0,0
2CP_PE,D,20140624,000000,10.9,10.9,10.9,10.9,0,0
2CP_PE,D,20140625,000000,10.9,10.9,10.9,10.9,0,0
2CP_PE,D,20140626,000000,10.9,10.9,10.9,10.9,0,0
2CP_PE,D,20140627,000000,10.9,16.3,10.9,16.3,0,0
2CP_PE,D,20140630,000000,16.3,16.3,16.3,16.3,0,0
2CP_PE,D,20140701,000000,17,17,17,17,0,0
2CP_PE,D,20140702,000000,17,17,17,17,0,0
2CP_PE,D,20140703,000000,17,17,15.3,17,0,0
2CP_PE,D,20140704,000000,17,17,17,17,0,0
2CP_PE,D,20140707,000000,17,17,17,17,0,0
2CP_PE,D,20140708,000000,17,17,17,17,0,0
2CP_PE,D,20140709,000000,17,17,17,17,0,0
2CP_PE,D,20140710,000000,17,17,15.5,17,0,0
2CP_PE,D,20140711,000000,17,17,17,17,0,0
2CP_PE,D,20140714,000000,17,17,17,17,0,0
2CP_PE,D,20140715,000000,17,17,15.5,15.9,0,0
