<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABK_PE,D,20101014,000000,25.1276,25.1276,25.1276,25.1276,0,0
ABK_PE,D,20101015,000000,24.8862,25.369,23.7575,24.8862,0,0
ABK_PE,D,20101018,000000,23.9999,24.4025,23.5161,24.1611,0,0
ABK_PE,D,20101019,000000,23.5161,24.4025,23.5161,23.5161,0,0
ABK_PE,D,20101020,000000,23.2748,23.7575,23.1135,23.7575,0,0
ABK_PE,D,20101021,000000,23.7575,24.8862,23.7575,24.8041,0,0
ABK_PE,D,20101025,000000,23.8386,24.3214,21.8265,24.3214,0,0
ABK_PE,D,20101026,000000,24.3214,24.3214,23.0334,23.1946,0,0
ABK_PE,D,20101027,000000,22.9532,22.9532,22.9532,22.9532,0,0
ABK_PE,D,20101028,000000,22.5506,22.5506,22.148,22.148,0,0
ABK_PE,D,20101029,000000,22.8721,22.9532,22.8721,22.9532,0,0
ABK_PE,D,20101104,000000,23.0334,23.0334,23.0334,23.0334,0,0
ABK_PE,D,20101108,000000,22.0669,22.6298,21.9066,22.6298,0,0
ABK_PE,D,20110214,000000,19.7313,19.7313,19.7313,19.7313,0,0
ABK_PE,D,20110215,000000,19.7313,19.7313,19.6512,19.7313,0,0
ABK_PE,D,20110216,000000,19.6512,19.7313,19.6512,19.7313,0,0
ABK_PE,D,20110217,000000,19.8926,19.9717,19.8926,19.9717,0,0
ABK_PE,D,20110222,000000,19.0863,19.0863,19.0062,19.0062,0,0
ABK_PE,D,20110224,000000,19.3287,19.3287,19.3287,19.3287,0,0
ABK_PE,D,20110225,000000,19.3287,19.6512,19.3287,19.6512,0,0
ABK_PE,D,20110303,000000,20.3772,20.3772,20.3772,20.3772,0,0
ABK_PE,D,20110308,000000,20.3772,20.3772,20.3772,20.3772,0,0
ABK_PE,D,20110310,000000,19.5701,19.5701,19.4098,19.4098,0,0
ABK_PE,D,20110311,000000,18.6847,18.6847,18.6847,18.6847,0,0
ABK_PE,D,20110314,000000,19.4899,19.5701,19.4899,19.5701,0,0
ABK_PE,D,20110315,000000,18.7648,19.5701,17.9606,18.8459,0,0
ABK_PE,D,20110316,000000,19.5701,19.5701,18.6046,18.6046,0,0
ABK_PE,D,20110317,000000,19.4899,19.5701,19.4899,19.5701,0,0
ABK_PE,D,20110318,000000,19.6512,19.6512,18.6847,18.6847,0,0
ABK_PE,D,20110321,000000,18.6847,19.2486,18.6847,19.2486,0,0
ABK_PE,D,20110324,000000,18.201,18.7648,17.3957,18.6847,0,0
ABK_PE,D,20110325,000000,17.7983,17.7983,17.7983,17.7983,0,0
ABK_PE,D,20110328,000000,17.7192,18.7648,17.7192,18.6847,0,0
