<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADX_PB,D,20130827,000000,22.93,22.93,22.93,22.93,0,0
ADX_PB,D,20130828,000000,23.73,26.36,23.5,24.65,0,0
ADX_PB,D,20130829,000000,25.22,25.79,22.86,25.22,0,0
ADX_PB,D,20130830,000000,25.45,25.45,22.35,22.35,0,0
ADX_PB,D,20130902,000000,22.29,22.29,18.05,18.63,0,0
ADX_PB,D,20130903,000000,19.31,19.77,16.05,16.63,0,0
ADX_PB,D,20130904,000000,16.05,18.34,16.05,17.89,0,0
ADX_PB,D,20130905,000000,18.51,18.51,17.14,17.59,0,0
ADX_PB,D,20130906,000000,16.22,16.22,16.22,16.22,0,0
ADX_PB,D,20130909,000000,16.79,17.77,14.5,17.77,0,0
ADX_PB,D,20130910,000000,16.1,17.71,14.39,15.81,0,0
ADX_PB,D,20130911,000000,14.73,15.7,14.73,15.7,0,0
ADX_PB,D,20130913,000000,15.99,17.82,15.58,15.58,0,0
ADX_PB,D,20130916,000000,15.47,15.47,14.73,14.78,0,0
ADX_PB,D,20130917,000000,15.35,15.35,15.35,15.35,0,0
ADX_PB,D,20130918,000000,15.35,17.14,13.64,14.9,0,0
ADX_PB,D,20130919,000000,15.35,15.99,14.84,14.84,0,0
ADX_PB,D,20130920,000000,14.9,15.47,14.84,15.35,0,0
ADX_PB,D,20130923,000000,15.47,17.54,15.47,17.2,0,0
ADX_PB,D,20130924,000000,16.28,16.97,15.24,15.88,0,0
ADX_PB,D,20130925,000000,15.47,15.47,14.9,15.47,0,0
ADX_PB,D,20130926,000000,15.99,15.99,14.61,14.61,0,0
ADX_PB,D,20130927,000000,14.9,15.76,14.9,15.76,0,0
ADX_PB,D,20130930,000000,15.76,17.2,14.9,15.19,0,0
ADX_PB,D,20131001,000000,15.19,16.05,14.32,15.47,0,0
ADX_PB,D,20131002,000000,15.47,16.85,14.32,14.32,0,0
ADX_PB,D,20131003,000000,15.13,16.85,14.32,14.5,0,0
ADX_PB,D,20131004,000000,15.13,16.1,14.96,16.1,0,0
ADX_PB,D,20131007,000000,16.17,16.17,15.42,15.42,0,0
