<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALU_PB,D,20080404,000000,14.08,14.08,14.08,14.08,0,0
ALU_PB,D,20080407,000000,12.36,12.87,12.36,12.87,0,0
ALU_PB,D,20080408,000000,12.12,12.19,2.71,2.71,0,0
ALU_PB,D,20080409,000000,2.36,2.81,2.36,2.81,0,0
ALU_PB,D,20080411,000000,2.67,2.67,2.67,2.67,0,0
ALU_PB,D,20080414,000000,2.72,2.72,2.67,2.67,0,0
ALU_PB,D,20080415,000000,2.67,2.86,2.67,2.86,0,0
ALU_PB,D,20080416,000000,2.71,2.71,2.69,2.69,0,0
ALU_PB,D,20080418,000000,2.67,2.67,2.61,2.63,0,0
ALU_PB,D,20080421,000000,2.69,2.69,2.61,2.61,0,0
ALU_PB,D,20080423,000000,2.64,2.64,2.64,2.64,0,0
ALU_PB,D,20080424,000000,2.48,2.64,2.45,2.64,0,0
ALU_PB,D,20080425,000000,2.52,2.63,2.42,2.42,0,0
ALU_PB,D,20080428,000000,2.43,2.63,2.41,2.63,0,0
ALU_PB,D,20080429,000000,2.4,2.42,2.4,2.42,0,0
ALU_PB,D,20080430,000000,2.42,2.67,2.42,2.67,0,0
ALU_PB,D,20080506,000000,2.68,2.68,2.68,2.68,0,0
ALU_PB,D,20080507,000000,2.55,2.55,2.53,2.53,0,0
ALU_PB,D,20080508,000000,2.67,2.99,2.67,2.94,0,0
ALU_PB,D,20080509,000000,2.83,3.09,2.83,3.09,0,0
ALU_PB,D,20080512,000000,2.9,3.01,2.86,3.01,0,0
ALU_PB,D,20080513,000000,2.92,3.2,2.92,3.2,0,0
ALU_PB,D,20080514,000000,3.22,3.22,2.93,3.13,0,0
ALU_PB,D,20080515,000000,2.94,2.94,2.94,2.94,0,0
ALU_PB,D,20080516,000000,2.94,2.99,2.9,2.99,0,0
ALU_PB,D,20080520,000000,2.9,3.23,2.59,2.59,0,0
ALU_PB,D,20080521,000000,2.97,2.97,2.67,2.67,0,0
ALU_PB,D,20080523,000000,2.57,2.57,2.5,2.5,0,0
ALU_PB,D,20080526,000000,3,3,2.99,2.99,0,0
ALU_PB,D,20080530,000000,2.78,2.78,2.78,2.78,0,0
ALU_PB,D,20080603,000000,2.48,2.48,2.47,2.47,0,0
ALU_PB,D,20080604,000000,2.48,2.48,2.48,2.48,0,0
ALU_PB,D,20080605,000000,2.42,2.46,2.23,2.46,0,0
ALU_PB,D,20080606,000000,2.11,2.48,2.11,2.48,0,0
ALU_PB,D,20080609,000000,2.21,2.46,2.17,2.46,0,0
ALU_PB,D,20080610,000000,2.22,2.26,2.22,2.25,0,0
ALU_PB,D,20080617,000000,2.32,2.32,2.25,2.25,0,0
ALU_PB,D,20080618,000000,1.95,2.13,1.94,2.1,0,0
ALU_PB,D,20080619,000000,2.1,2.28,1.93,2.02,0,0
ALU_PB,D,20080623,000000,2,2.02,2,2.02,0,0
ALU_PB,D,20080630,000000,2.17,2.17,1.83,2.1,0,0
ALU_PB,D,20080701,000000,2.1,2.1,2.1,2.1,0,0
ALU_PB,D,20080704,000000,1.91,2.03,1.87,2.03,0,0
ALU_PB,D,20080707,000000,1.89,1.89,1.89,1.89,0,0
ALU_PB,D,20080709,000000,1.92,1.94,1.92,1.94,0,0
ALU_PB,D,20080710,000000,1.72,1.91,1.72,1.91,0,0
ALU_PB,D,20080711,000000,1.94,1.94,1.94,1.94,0,0
ALU_PB,D,20080716,000000,1.83,1.91,1.83,1.91,0,0
ALU_PB,D,20080717,000000,2.04,2.1,1.91,2.07,0,0
ALU_PB,D,20080718,000000,2.09,2.09,1.94,2.04,0,0
ALU_PB,D,20080721,000000,2.1,2.1,2.1,2.1,0,0
