<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APA_MV,D,20141010,000000,3.9,3.9,3.9,3.9,0,0
APA_MV,D,20141013,000000,3.9,3.9,3.51,3.51,0,0
APA_MV,D,20141014,000000,3.51,3.51,3.51,3.51,0,0
APA_MV,D,20141015,000000,3.32,3.48,3.09,3.48,0,0
APA_MV,D,20141016,000000,3.51,3.51,3.15,3.15,0,0
APA_MV,D,20141017,000000,3.15,3.35,3.09,3.35,0,0
APA_MV,D,20141020,000000,3.35,3.35,3.35,3.35,0,0
APA_MV,D,20141021,000000,2.99,2.99,2.86,2.99,0,0
APA_MV,D,20141022,000000,2.99,3.02,2.99,3.02,0,0
APA_MV,D,20141023,000000,2.83,3.09,2.83,3.09,0,0
APA_MV,D,20141024,000000,2.99,3.9,2.99,3.77,0,0
APA_MV,D,20141027,000000,3.74,3.74,3.15,3.71,0,0
APA_MV,D,20141028,000000,3.67,3.71,3.67,3.67,0,0
APA_MV,D,20141029,000000,3.67,3.8,3.67,3.77,0,0
APA_MV,D,20141030,000000,3.77,3.77,3.77,3.77,0,0
APA_MV,D,20141031,000000,3.74,3.74,3.74,3.74,0,0
APA_MV,D,20141103,000000,3.41,3.71,3.41,3.71,0,0
APA_MV,D,20141104,000000,3.67,3.67,3.67,3.67,0,0
APA_MV,D,20141105,000000,3.64,3.84,3.25,3.64,0,0
APA_MV,D,20141106,000000,3.64,3.64,3.41,3.51,0,0
APA_MV,D,20141107,000000,3.54,3.54,3.32,3.51,0,0
APA_MV,D,20141110,000000,3.35,3.35,3.32,3.32,0,0
APA_MV,D,20141112,000000,3.32,3.32,3.02,3.06,0,0
APA_MV,D,20141113,000000,3.06,3.06,2.8,2.86,0,0
APA_MV,D,20141114,000000,3.19,3.19,2.73,2.73,0,0
APA_MV,D,20141117,000000,2.76,2.93,2.6,2.63,0,0
APA_MV,D,20141118,000000,2.63,2.63,2.6,2.63,0,0
APA_MV,D,20141119,000000,2.63,2.63,2.63,2.63,0,0
APA_MV,D,20141120,000000,2.63,2.63,2.5,2.5,0,0
APA_MV,D,20141121,000000,2.44,2.44,2.24,2.24,0,0
APA_MV,D,20141124,000000,2.24,3.02,1.95,2.96,0,0
APA_MV,D,20141125,000000,3.06,3.06,2.47,2.86,0,0
APA_MV,D,20141126,000000,2.67,2.67,2.47,2.6,0,0
APA_MV,D,20141127,000000,2.6,2.6,2.34,2.6,0,0
APA_MV,D,20141128,000000,2.6,2.6,2.6,2.6,0,0
APA_MV,D,20141201,000000,2.6,2.6,2.37,2.6,0,0
APA_MV,D,20141202,000000,2.6,2.6,2.08,2.34,0,0
APA_MV,D,20141203,000000,2.34,2.34,1.85,1.85,0,0
APA_MV,D,20141204,000000,1.79,1.95,1.56,1.82,0,0
APA_MV,D,20141205,000000,1.89,1.98,1.59,1.69,0,0
APA_MV,D,20141208,000000,1.76,1.76,1.43,1.63,0,0
APA_MV,D,20141209,000000,1.56,1.56,1.27,1.3,0,0
APA_MV,D,20141210,000000,1.46,1.76,1.3,1.72,0,0
APA_MV,D,20141211,000000,1.56,1.98,1.53,1.92,0,0
APA_MV,D,20141212,000000,1.95,1.95,1.59,1.79,0,0
APA_MV,D,20141215,000000,1.59,1.66,1.46,1.5,0,0
APA_MV,D,20141216,000000,1.5,1.5,1.46,1.46,0,0
APA_MV,D,20141217,000000,1.63,1.63,1.46,1.46,0,0
APA_MV,D,20141218,000000,1.4,1.59,1.37,1.59,0,0
APA_MV,D,20141219,000000,1.59,1.59,1.4,1.4,0,0
APA_MV,D,20141222,000000,1.43,2.02,1.43,2.02,0,0
APA_MV,D,20141223,000000,2.18,2.57,2.18,2.24,0,0
APA_MV,D,20141229,000000,2.24,2.24,1.89,2.05,0,0
APA_MV,D,20141230,000000,1.95,2.08,1.76,2.02,0,0
APA_MV,D,20150102,000000,2.21,2.21,1.82,1.82,0,0
APA_MV,D,20150105,000000,1.82,2.08,1.72,1.89,0,0
APA_MV,D,20150107,000000,1.89,2.18,1.89,2.11,0,0
APA_MV,D,20150108,000000,2.02,2.21,1.76,2.05,0,0
APA_MV,D,20150109,000000,2.08,2.18,1.89,2.08,0,0
APA_MV,D,20150112,000000,2.11,2.11,1.79,2.08,0,0
APA_MV,D,20150113,000000,2.08,2.11,2.08,2.11,0,0
APA_MV,D,20150114,000000,2.08,2.24,2.02,2.24,0,0
APA_MV,D,20150115,000000,2.24,2.37,2.21,2.37,0,0
APA_MV,D,20150116,000000,2.37,2.37,2.37,2.37,0,0
APA_MV,D,20150119,000000,2.34,2.34,2.34,2.34,0,0
APA_MV,D,20150120,000000,2.34,2.34,2.31,2.31,0,0
APA_MV,D,20150121,000000,2.24,2.54,2.18,2.54,0,0
APA_MV,D,20150122,000000,2.54,2.54,2.37,2.54,0,0
APA_MV,D,20150123,000000,2.54,2.54,2.34,2.37,0,0
APA_MV,D,20150126,000000,2.37,2.44,2.31,2.44,0,0
APA_MV,D,20150127,000000,2.44,2.54,2.37,2.5,0,0
APA_MV,D,20150128,000000,2.5,2.54,2.44,2.5,0,0
APA_MV,D,20150129,000000,2.5,2.54,2.28,2.54,0,0
APA_MV,D,20150130,000000,2.54,2.54,2.54,2.54,0,0
APA_MV,D,20150202,000000,2.5,2.5,2.5,2.5,0,0
APA_MV,D,20150203,000000,2.5,2.54,2.28,2.54,0,0
APA_MV,D,20150204,000000,2.54,3.06,2.54,3.06,0,0
APA_MV,D,20150205,000000,3.09,3.45,2.96,3.32,0,0
APA_MV,D,20150206,000000,3.32,3.8,3.25,3.8,0,0
APA_MV,D,20150209,000000,3.9,4.39,3.41,3.9,0,0
APA_MV,D,20150210,000000,4.06,4.06,3.25,3.25,0,0
APA_MV,D,20150211,000000,3.25,3.32,2.86,3.22,0,0
APA_MV,D,20150212,000000,3.15,3.22,3.09,3.19,0,0
APA_MV,D,20150213,000000,3.32,3.35,2.93,3.09,0,0
APA_MV,D,20150216,000000,3.12,3.12,3.02,3.02,0,0
APA_MV,D,20150217,000000,3.06,3.54,3.06,3.48,0,0
APA_MV,D,20150218,000000,3.48,3.48,3.09,3.48,0,0
APA_MV,D,20150219,000000,3.58,4.1,3.58,4.1,0,0
APA_MV,D,20150220,000000,4.1,4.78,4.1,4.75,0,0
APA_MV,D,20150223,000000,4.88,5.56,4.88,5.04,0,0
APA_MV,D,20150224,000000,5.46,6.5,5.2,6.4,0,0
APA_MV,D,20150225,000000,6.4,6.4,6.08,6.18,0,0
APA_MV,D,20150226,000000,6.14,6.14,5.53,6.01,0,0
APA_MV,D,20150227,000000,6.01,6.37,5.53,6.34,0,0
APA_MV,D,20150302,000000,6.11,6.34,5.23,5.23,0,0
APA_MV,D,20150303,000000,5.2,6.01,5.04,5.59,0,0
APA_MV,D,20150304,000000,5.98,5.98,5.85,5.95,0,0
APA_MV,D,20150305,000000,5.95,5.95,5.46,5.82,0,0
APA_MV,D,20150306,000000,5.82,5.98,5.43,5.98,0,0
APA_MV,D,20150309,000000,6.01,6.01,5.82,5.82,0,0
APA_MV,D,20150310,000000,5.79,6.44,5.79,6.18,0,0
APA_MV,D,20150311,000000,6.37,6.44,6.01,6.27,0,0
APA_MV,D,20150312,000000,6.27,6.83,6.14,6.79,0,0
APA_MV,D,20150313,000000,6.79,7.12,6.63,6.96,0,0
APA_MV,D,20150316,000000,6.96,6.96,6.31,6.5,0,0
APA_MV,D,20150317,000000,6.44,6.53,6.18,6.53,0,0
APA_MV,D,20150318,000000,6.01,7.15,6.01,6.96,0,0
APA_MV,D,20150319,000000,7.05,7.05,6.44,6.92,0,0
