<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATA_MV,D,20100625,000000,26.269,26.269,26.269,26.269,0,0
ATA_MV,D,20100628,000000,23.921,28.706,22.007,28.706,0,0
ATA_MV,D,20100629,000000,27.27,30.333,27.27,30.333,0,0
ATA_MV,D,20100630,000000,27.322,27.322,27.27,27.27,0,0
ATA_MV,D,20100701,000000,27.749,27.749,27.749,27.749,0,0
ATA_MV,D,20100705,000000,27.705,28.227,24.165,28.227,0,0
ATA_MV,D,20100706,000000,25.504,28.227,25.504,27.992,0,0
ATA_MV,D,20100707,000000,27.992,28.706,27.992,28.706,0,0
ATA_MV,D,20100708,000000,28.706,28.706,27.749,27.749,0,0
ATA_MV,D,20100712,000000,26.313,28.61,26.313,26.313,0,0
ATA_MV,D,20100715,000000,26.983,30.862,26.313,26.313,0,0
ATA_MV,D,20100719,000000,29.185,30.619,26.601,26.601,0,0
ATA_MV,D,20100720,000000,26.791,26.791,26.791,26.791,0,0
ATA_MV,D,20100721,000000,29.427,29.427,29.427,29.427,0,0
ATA_MV,D,20100726,000000,27.27,27.27,27.27,27.27,0,0
ATA_MV,D,20100728,000000,26.791,26.791,26.313,26.313,0,0
ATA_MV,D,20100730,000000,28.706,28.706,25.835,25.835,0,0
ATA_MV,D,20100802,000000,26.791,26.791,26.313,26.313,0,0
ATA_MV,D,20100806,000000,25.6,25.6,25.6,25.6,0,0
ATA_MV,D,20100816,000000,25.643,25.643,25.643,25.643,0,0
ATA_MV,D,20100819,000000,27.749,31.054,27.749,31.054,0,0
ATA_MV,D,20100823,000000,31.054,31.054,31.054,31.054,0,0
ATA_MV,D,20100824,000000,31.054,32.968,29.662,32.968,0,0
ATA_MV,D,20100826,000000,32.776,32.776,32.776,32.776,0,0
ATA_MV,D,20100830,000000,29.185,29.185,29.185,29.185,0,0
ATA_MV,D,20100913,000000,29.662,29.662,29.662,29.662,0,0
ATA_MV,D,20100914,000000,29.662,29.662,29.662,29.662,0,0
ATA_MV,D,20100920,000000,29.662,29.662,29.662,29.662,0,0
ATA_MV,D,20100923,000000,29.662,30.619,29.662,30.619,0,0
ATA_MV,D,20100924,000000,28.279,28.279,28.279,28.279,0,0
ATA_MV,D,20100928,000000,28.279,28.279,26.94,26.94,0,0
ATA_MV,D,20101001,000000,28.279,28.279,28.279,28.279,0,0
ATA_MV,D,20101005,000000,28.279,28.279,28.279,28.279,0,0
ATA_MV,D,20101008,000000,28.279,28.279,28.227,28.227,0,0
ATA_MV,D,20101014,000000,29.662,29.662,29.662,29.662,0,0
ATA_MV,D,20101015,000000,29.662,29.662,29.662,29.662,0,0
ATA_MV,D,20101025,000000,29.662,32.533,29.662,32.533,0,0
ATA_MV,D,20101026,000000,31.097,31.097,29.662,29.662,0,0
ATA_MV,D,20101108,000000,31.097,31.097,31.097,31.097,0,0
ATA_MV,D,20101109,000000,32.533,32.533,30.14,32.055,0,0
ATA_MV,D,20101110,000000,33.255,38.517,33.255,38.517,0,0
ATA_MV,D,20101112,000000,46.216,46.216,33.489,33.489,0,0
ATA_MV,D,20101115,000000,35.882,36.126,35.882,36.126,0,0
ATA_MV,D,20101116,000000,37.316,43.781,36.361,40.623,0,0
ATA_MV,D,20101117,000000,40.188,40.91,37.795,40.91,0,0
ATA_MV,D,20101118,000000,42.345,47.842,42.345,47.608,0,0
ATA_MV,D,20101119,000000,47.364,47.364,43.059,44.494,0,0
ATA_MV,D,20101122,000000,44.015,44.015,41.387,43.537,0,0
ATA_MV,D,20101124,000000,41.387,41.387,40.666,40.666,0,0
ATA_MV,D,20101125,000000,39.231,39.231,36.168,36.361,0,0
ATA_MV,D,20101126,000000,38.996,38.996,38.996,38.996,0,0
ATA_MV,D,20101129,000000,39.71,40.666,39.71,40.666,0,0
ATA_MV,D,20101130,000000,41.005,41.005,41.005,41.005,0,0
ATA_MV,D,20101201,000000,42.345,42.345,42.345,42.345,0,0
ATA_MV,D,20101202,000000,39.475,41.622,39.475,41.622,0,0
ATA_MV,D,20101203,000000,42.345,43.302,42.345,43.302,0,0
ATA_MV,D,20101206,000000,43.537,43.537,43.537,43.537,0,0
ATA_MV,D,20101208,000000,43.537,43.537,43.537,43.537,0,0
ATA_MV,D,20101213,000000,43.302,43.302,43.302,43.302,0,0
ATA_MV,D,20101215,000000,44.015,44.015,44.015,44.015,0,0
ATA_MV,D,20101217,000000,43.345,43.345,43.345,43.345,0,0
ATA_MV,D,20101220,000000,43.345,43.345,43.345,43.345,0,0
