<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATJ_MV,D,20210209,000000,15.75,15.75,15.75,15.75,0,0
ATJ_MV,D,20210210,000000,16.01,16.01,14.88,15.17,0,0
ATJ_MV,D,20210211,000000,14.98,15.18,14.07,14.46,0,0
ATJ_MV,D,20210212,000000,14.31,14.72,13.79,14.62,0,0
ATJ_MV,D,20210215,000000,14.72,16.53,14.72,16.5,0,0
ATJ_MV,D,20210216,000000,16.48,16.55,15.75,15.75,0,0
ATJ_MV,D,20210217,000000,15.75,15.75,14.88,15.24,0,0
ATJ_MV,D,20210218,000000,15.24,16.01,14.98,15.6,0,0
ATJ_MV,D,20210219,000000,15.19,15.73,14.62,15.31,0,0
ATJ_MV,D,20210222,000000,14.98,15.32,14.33,14.78,0,0
ATJ_MV,D,20210223,000000,14.67,14.72,13.95,14.45,0,0
ATJ_MV,D,20210224,000000,14.44,14.49,13.69,14.38,0,0
ATJ_MV,D,20210225,000000,14.28,14.28,13.3,13.54,0,0
ATJ_MV,D,20210226,000000,13.56,13.56,12.68,13.53,0,0
ATJ_MV,D,20210301,000000,13.49,13.61,12.91,13.43,0,0
ATJ_MV,D,20210302,000000,13.39,13.58,13.02,13.07,0,0
ATJ_MV,D,20210303,000000,13.17,13.58,13.17,13.33,0,0
ATJ_MV,D,20210304,000000,13.58,13.58,12.4,13.04,0,0
ATJ_MV,D,20210305,000000,12.34,12.96,12.19,12.71,0,0
ATJ_MV,D,20210308,000000,12.78,12.78,12.2,12.65,0,0
ATJ_MV,D,20210309,000000,13.3,13.56,12.71,13.17,0,0
ATJ_MV,D,20210310,000000,13.14,13.53,12.81,13.04,0,0
ATJ_MV,D,20210311,000000,12.65,13.27,12.65,13.27,0,0
ATJ_MV,D,20210312,000000,12.42,13.02,12.42,12.91,0,0
ATJ_MV,D,20210315,000000,12.65,12.84,12.14,12.6,0,0
ATJ_MV,D,20210316,000000,12.19,12.58,12.01,12.4,0,0
ATJ_MV,D,20210317,000000,12.03,12.14,11.36,11.88,0,0
ATJ_MV,D,20210318,000000,11.88,12.39,11.88,12.27,0,0
ATJ_MV,D,20210319,000000,12.29,12.34,11.36,12.27,0,0
ATJ_MV,D,20210322,000000,12.6,12.6,11.88,12.34,0,0
ATJ_MV,D,20210323,000000,12.01,12.32,11.88,12.09,0,0
ATJ_MV,D,20210324,000000,11.88,12,11.49,11.98,0,0
ATJ_MV,D,20210325,000000,11.98,12.22,11.98,12.22,0,0
ATJ_MV,D,20210326,000000,12.2,12.22,11.41,11.41,0,0
ATJ_MV,D,20210329,000000,11.41,12.21,11.41,12.14,0,0
ATJ_MV,D,20210330,000000,12.19,12.21,11.88,12.14,0,0
ATJ_MV,D,20210331,000000,11.88,11.88,11.16,11.49,0,0
ATJ_MV,D,20210401,000000,11.78,12.1,11.78,12.1,0,0
ATJ_MV,D,20210406,000000,11.88,12.78,11.88,12.73,0,0
ATJ_MV,D,20210407,000000,12.68,12.71,12.19,12.63,0,0
ATJ_MV,D,20210408,000000,12.73,12.73,12.14,12.64,0,0
ATJ_MV,D,20210409,000000,11.88,12.71,11.88,12.71,0,0
ATJ_MV,D,20210412,000000,12.64,12.65,12.14,12.45,0,0
ATJ_MV,D,20210413,000000,12.45,12.45,11.63,11.63,0,0
ATJ_MV,D,20210414,000000,11.65,11.88,11.36,11.88,0,0
ATJ_MV,D,20210415,000000,12.09,12.09,11.52,11.52,0,0
ATJ_MV,D,20210416,000000,12,12.4,11.83,12.14,0,0
ATJ_MV,D,20210419,000000,12.4,12.4,11.84,12.14,0,0
ATJ_MV,D,20210420,000000,11.69,11.75,11.62,11.62,0,0
ATJ_MV,D,20210421,000000,11.62,11.88,11.36,11.88,0,0
ATJ_MV,D,20210422,000000,11.36,12.29,11.24,12.27,0,0
ATJ_MV,D,20210423,000000,11.49,12.22,11.36,11.88,0,0
ATJ_MV,D,20210426,000000,11.72,11.8,11.36,11.49,0,0
ATJ_MV,D,20210427,000000,11.79,11.79,11.36,11.57,0,0
ATJ_MV,D,20210428,000000,11.26,11.56,11.26,11.49,0,0
ATJ_MV,D,20210429,000000,11.21,11.54,11.21,11.36,0,0
ATJ_MV,D,20210430,000000,11.36,11.36,10.87,11.36,0,0
ATJ_MV,D,20210504,000000,10.98,11.35,10.98,11.35,0,0
ATJ_MV,D,20210505,000000,11.23,11.23,10.33,10.59,0,0
ATJ_MV,D,20210506,000000,10.38,10.38,9.81,10.3,0,0
ATJ_MV,D,20210507,000000,9.87,10.3,9.87,10.28,0,0
ATJ_MV,D,20210510,000000,9.97,11.35,9.84,11.35,0,0
ATJ_MV,D,20210511,000000,11.29,11.29,10.48,11.18,0,0
ATJ_MV,D,20210512,000000,11.19,11.19,10.69,10.72,0,0
ATJ_MV,D,20210513,000000,10.64,10.64,10.64,10.64,0,0
ATJ_MV,D,20210514,000000,10.79,10.79,10.59,10.59,0,0
ATJ_MV,D,20210517,000000,11.03,11.03,10.41,10.41,0,0
ATJ_MV,D,20210518,000000,10.23,10.3,9.81,10.3,0,0
ATJ_MV,D,20210519,000000,9.87,10.29,9.84,9.84,0,0
ATJ_MV,D,20210520,000000,10.2,10.2,10.2,10.2,0,0
ATJ_MV,D,20210521,000000,9.94,9.94,9.81,9.81,0,0
ATJ_MV,D,20210524,000000,10.07,10.2,10.07,10.2,0,0
ATJ_MV,D,20210525,000000,10.1,10.59,9.87,10.12,0,0
ATJ_MV,D,20210526,000000,9.97,9.97,9.87,9.87,0,0
ATJ_MV,D,20210527,000000,10.33,10.46,10.33,10.46,0,0
ATJ_MV,D,20210528,000000,10.33,10.56,9.92,10.56,0,0
ATJ_MV,D,20210531,000000,10.46,10.46,9.97,10.43,0,0
ATJ_MV,D,20210601,000000,9.87,10.43,9.87,10.43,0,0
ATJ_MV,D,20210602,000000,10.45,10.45,10.45,10.45,0,0
ATJ_MV,D,20210604,000000,10.45,10.45,10.45,10.45,0,0
ATJ_MV,D,20210607,000000,10.42,10.42,9.89,10.38,0,0
ATJ_MV,D,20210608,000000,10.4,10.4,10.36,10.4,0,0
ATJ_MV,D,20210609,000000,10.2,10.43,10.05,10.05,0,0
ATJ_MV,D,20210610,000000,10.07,10.28,9.92,9.92,0,0
ATJ_MV,D,20210611,000000,9.89,10.25,9.69,10.25,0,0
ATJ_MV,D,20210614,000000,10.2,10.2,9.71,9.94,0,0
ATJ_MV,D,20210615,000000,10.1,10.1,9.81,9.81,0,0
ATJ_MV,D,20210616,000000,10.07,10.1,10.07,10.1,0,0
ATJ_MV,D,20210617,000000,10.18,10.18,9.56,9.56,0,0
ATJ_MV,D,20210618,000000,9.56,9.8,9.56,9.8,0,0
ATJ_MV,D,20210621,000000,9.86,9.86,9.37,9.81,0,0
ATJ_MV,D,20210622,000000,9.86,10.07,9.86,9.94,0,0
ATJ_MV,D,20210623,000000,9.56,9.79,9.43,9.79,0,0
ATJ_MV,D,20210624,000000,9.43,10.05,9.43,10.05,0,0
ATJ_MV,D,20210625,000000,10.04,10.04,9.56,9.56,0,0
ATJ_MV,D,20210628,000000,10.04,10.04,9.56,10.04,0,0
ATJ_MV,D,20210629,000000,9.53,10.07,9.53,9.61,0,0
ATJ_MV,D,20210630,000000,10.02,10.05,9.59,9.59,0,0
ATJ_MV,D,20210701,000000,9.59,10.11,9.59,10.11,0,0
ATJ_MV,D,20210702,000000,10.15,10.72,10.12,10.53,0,0
ATJ_MV,D,20210705,000000,10.59,10.59,10.53,10.53,0,0
ATJ_MV,D,20210706,000000,10.59,10.59,10.33,10.54,0,0
ATJ_MV,D,20210707,000000,10.33,10.33,10.33,10.33,0,0
ATJ_MV,D,20210708,000000,10.13,10.54,10.07,10.41,0,0
ATJ_MV,D,20210709,000000,10.41,10.41,9.92,9.92,0,0
ATJ_MV,D,20210712,000000,10.31,10.33,9.71,10.07,0,0
ATJ_MV,D,20210713,000000,9.81,9.93,9.58,9.66,0,0
ATJ_MV,D,20210714,000000,9.81,9.87,9.81,9.87,0,0
ATJ_MV,D,20210715,000000,9.87,9.87,9.61,9.81,0,0
ATJ_MV,D,20210716,000000,9.81,9.81,9.56,9.81,0,0
ATJ_MV,D,20210720,000000,9.5,9.84,9.43,9.56,0,0
ATJ_MV,D,20210721,000000,9.84,9.84,9.84,9.84,0,0
ATJ_MV,D,20210722,000000,9.84,9.84,9.84,9.84,0,0
ATJ_MV,D,20210723,000000,9.94,9.94,9.58,9.66,0,0
ATJ_MV,D,20210726,000000,10.07,10.07,10.07,10.07,0,0
ATJ_MV,D,20210727,000000,10.04,10.04,9.74,9.74,0,0
ATJ_MV,D,20210728,000000,9.73,9.73,9.4,9.56,0,0
ATJ_MV,D,20210729,000000,9.56,9.56,9.4,9.4,0,0
ATJ_MV,D,20210730,000000,9.38,9.76,9.3,9.76,0,0
ATJ_MV,D,20210802,000000,9.3,9.76,9.25,9.25,0,0
ATJ_MV,D,20210803,000000,9.71,9.71,9.09,9.11,0,0
ATJ_MV,D,20210804,000000,9.74,9.74,9.25,9.53,0,0
ATJ_MV,D,20210805,000000,9.23,9.68,9.23,9.68,0,0
ATJ_MV,D,20210809,000000,9.43,9.73,9.3,9.73,0,0
ATJ_MV,D,20210810,000000,9.73,9.73,9.17,9.73,0,0
ATJ_MV,D,20210811,000000,9.68,9.68,9.17,9.56,0,0
ATJ_MV,D,20210812,000000,9.56,9.56,9.14,9.5,0,0
ATJ_MV,D,20210813,000000,9.43,9.43,8.96,8.96,0,0
ATJ_MV,D,20210816,000000,8.96,10.02,8.9,10.02,0,0
ATJ_MV,D,20210817,000000,9.99,10.02,8.94,9.47,0,0
ATJ_MV,D,20210818,000000,9.47,9.47,8.83,9.4,0,0
ATJ_MV,D,20210819,000000,9.4,9.4,8.78,9.37,0,0
ATJ_MV,D,20210820,000000,9.4,9.4,8.94,9.39,0,0
ATJ_MV,D,20210823,000000,9.37,9.37,9.37,9.37,0,0
ATJ_MV,D,20210824,000000,8.85,9.4,8.85,9.4,0,0
ATJ_MV,D,20210825,000000,9.37,10.59,9.19,10.59,0,0
ATJ_MV,D,20210826,000000,10.54,10.54,9.43,9.45,0,0
ATJ_MV,D,20210827,000000,9.56,9.56,9.56,9.56,0,0
ATJ_MV,D,20210830,000000,9.76,9.76,9.3,9.3,0,0
ATJ_MV,D,20210831,000000,9.3,9.32,9.3,9.32,0,0
ATJ_MV,D,20210901,000000,9.53,9.79,9.25,9.79,0,0
ATJ_MV,D,20210902,000000,9.79,10.05,9.38,10.05,0,0
ATJ_MV,D,20210903,000000,10.05,10.12,10.05,10.12,0,0
ATJ_MV,D,20210906,000000,9.61,9.99,9.43,9.99,0,0
ATJ_MV,D,20210907,000000,9.94,9.94,9.43,9.76,0,0
ATJ_MV,D,20210908,000000,9.45,10.02,9.45,10.02,0,0
ATJ_MV,D,20210909,000000,9.99,9.99,9.99,9.99,0,0
ATJ_MV,D,20210910,000000,9.99,10.02,9.87,10.02,0,0
ATJ_MV,D,20210913,000000,9.99,9.99,9.58,9.94,0,0
ATJ_MV,D,20210914,000000,9.58,9.94,9.44,9.44,0,0
ATJ_MV,D,20210915,000000,9.45,9.94,9.45,9.81,0,0
ATJ_MV,D,20210917,000000,9.48,9.81,9.04,9.81,0,0
ATJ_MV,D,20210920,000000,9.35,9.4,9.12,9.4,0,0
ATJ_MV,D,20210921,000000,9.14,9.74,9.14,9.68,0,0
ATJ_MV,D,20210922,000000,9.68,12.09,9.68,10.49,0,0
ATJ_MV,D,20210923,000000,10.87,11.23,10.54,10.59,0,0
ATJ_MV,D,20210924,000000,10.59,10.59,10.2,10.55,0,0
ATJ_MV,D,20210927,000000,10.18,10.28,10.07,10.1,0,0
ATJ_MV,D,20210928,000000,10.1,10.74,10.07,10.7,0,0
ATJ_MV,D,20210929,000000,10.96,10.96,10.43,10.85,0,0
ATJ_MV,D,20210930,000000,10.77,10.78,10.33,10.7,0,0
ATJ_MV,D,20211001,000000,10.59,10.59,10.33,10.46,0,0
ATJ_MV,D,20211004,000000,10.46,10.46,10.33,10.33,0,0
ATJ_MV,D,20211005,000000,10.33,10.33,10.23,10.33,0,0
ATJ_MV,D,20211006,000000,10.33,10.33,10.1,10.3,0,0
ATJ_MV,D,20211007,000000,10.02,10.02,9.95,9.95,0,0
ATJ_MV,D,20211008,000000,10.07,10.24,9.97,10.22,0,0
ATJ_MV,D,20211011,000000,9.98,10.22,9.98,10.2,0,0
ATJ_MV,D,20211012,000000,10.2,10.2,9.97,9.97,0,0
ATJ_MV,D,20211013,000000,9.97,10.25,9.97,10.25,0,0
ATJ_MV,D,20211014,000000,10.27,10.27,10.27,10.27,0,0
ATJ_MV,D,20211015,000000,10.2,10.2,10.2,10.2,0,0
ATJ_MV,D,20211018,000000,10.1,10.1,9.99,9.99,0,0
ATJ_MV,D,20211019,000000,9.99,9.99,9.87,9.87,0,0
ATJ_MV,D,20211021,000000,10.15,10.45,9.89,9.89,0,0
ATJ_MV,D,20211022,000000,10.15,10.15,9.66,9.66,0,0
ATJ_MV,D,20211025,000000,9.69,10.43,9.68,10.41,0,0
ATJ_MV,D,20211027,000000,10.4,10.4,10.33,10.33,0,0
