<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATO_MV,D,20080229,000000,16.17,16.17,16.17,16.17,0,0
ATO_MV,D,20080303,000000,14.98,15.31,14.52,15.31,0,0
ATO_MV,D,20080304,000000,14.98,15.24,13.59,14.39,0,0
ATO_MV,D,20080305,000000,14.19,15.64,14.19,15.05,0,0
ATO_MV,D,20080306,000000,15.05,15.05,14.19,14.52,0,0
ATO_MV,D,20080307,000000,15.11,15.58,14.32,15.18,0,0
ATO_MV,D,20080310,000000,15.51,15.84,15.18,15.84,0,0
ATO_MV,D,20080311,000000,15.84,16.24,15.58,15.91,0,0
ATO_MV,D,20080312,000000,16.37,16.37,14.72,15.38,0,0
ATO_MV,D,20080313,000000,15.05,15.05,14.39,14.85,0,0
ATO_MV,D,20080314,000000,14.98,14.98,13.93,14.45,0,0
ATO_MV,D,20080317,000000,13.86,13.86,12.54,13.33,0,0
ATO_MV,D,20080318,000000,13.66,14.39,12.6,12.74,0,0
ATO_MV,D,20080319,000000,13.73,13.73,12.67,13.13,0,0
ATO_MV,D,20080320,000000,13.13,13.66,13.13,13.66,0,0
ATO_MV,D,20080325,000000,14.12,14.52,14.12,14.52,0,0
ATO_MV,D,20080326,000000,14.59,14.98,13.86,14.98,0,0
ATO_MV,D,20080327,000000,15.11,15.18,14.45,15.11,0,0
ATO_MV,D,20080328,000000,15.18,15.24,14.71,14.71,0,0
ATO_MV,D,20080402,000000,14.26,14.26,14.26,14.26,0,0
ATO_MV,D,20080403,000000,13.53,14.06,13.53,14.06,0,0
ATO_MV,D,20080404,000000,13.86,14.19,13.33,14.19,0,0
ATO_MV,D,20080407,000000,13.86,14.45,13.53,13.79,0,0
ATO_MV,D,20080408,000000,13.33,14.12,13.33,13.6,0,0
ATO_MV,D,20080409,000000,13.53,13.93,13.2,13.86,0,0
ATO_MV,D,20080410,000000,13.53,13.86,13.2,13.79,0,0
ATO_MV,D,20080411,000000,13.79,13.79,13.2,13.53,0,0
ATO_MV,D,20080414,000000,13.53,13.99,13.2,13.79,0,0
ATO_MV,D,20080415,000000,13.66,16.17,13.66,14.85,0,0
ATO_MV,D,20080416,000000,14.92,15.31,14.72,15.05,0,0
ATO_MV,D,20080417,000000,14.52,15.18,14.39,14.52,0,0
ATO_MV,D,20080418,000000,14.52,15.11,14.52,14.92,0,0
ATO_MV,D,20080421,000000,14.85,16.77,14.85,16.24,0,0
ATO_MV,D,20080422,000000,17.16,17.16,15.25,15.58,0,0
ATO_MV,D,20080423,000000,16.31,16.9,15.58,16.83,0,0
ATO_MV,D,20080424,000000,17.42,20.53,17.16,20.53,0,0
ATO_MV,D,20080425,000000,21.19,21.45,20,20.79,0,0
ATO_MV,D,20080428,000000,20.86,20.86,18.88,19.14,0,0
ATO_MV,D,20080429,000000,18.22,19.14,18.02,19.14,0,0
ATO_MV,D,20080430,000000,19.54,24.42,19.54,24.22,0,0
ATO_MV,D,20080505,000000,24.22,28.11,24.09,27.39,0,0
ATO_MV,D,20080506,000000,27.79,27.79,25.81,26.27,0,0
ATO_MV,D,20080507,000000,26.14,26.4,24.88,25.41,0,0
ATO_MV,D,20080508,000000,26.27,26.4,25.41,25.41,0,0
ATO_MV,D,20080509,000000,25.15,25.41,23.83,25.34,0,0
ATO_MV,D,20080512,000000,25.6,25.6,23.1,24.02,0,0
ATO_MV,D,20080513,000000,23.95,23.95,21.84,23.1,0,0
ATO_MV,D,20080514,000000,23.1,23.1,21.25,21.98,0,0
ATO_MV,D,20080515,000000,21.91,21.91,20.46,20.46,0,0
ATO_MV,D,20080516,000000,20.46,22.44,20.46,21.32,0,0
ATO_MV,D,20080519,000000,22.97,22.97,21.12,21.78,0,0
ATO_MV,D,20080520,000000,22.18,22.18,21.32,21.32,0,0
ATO_MV,D,20080521,000000,21.78,21.78,19.73,19.73,0,0
ATO_MV,D,20080523,000000,19,19.07,17.75,18.74,0,0
ATO_MV,D,20080526,000000,17.75,19.8,17.75,18.35,0,0
ATO_MV,D,20080527,000000,18.35,18.35,18.02,18.08,0,0
ATO_MV,D,20080528,000000,18.34,18.34,17.82,18.02,0,0
ATO_MV,D,20080529,000000,17.56,17.89,17.56,17.82,0,0
ATO_MV,D,20080530,000000,18.74,22.77,18.74,22.77,0,0
ATO_MV,D,20080602,000000,22.11,27.32,22.11,27.32,0,0
ATO_MV,D,20080603,000000,27.72,30.22,25.41,26.33,0,0
ATO_MV,D,20080604,000000,26.4,29.04,25.74,29.04,0,0
ATO_MV,D,20080605,000000,27.72,33,27.72,31.81,0,0
ATO_MV,D,20080606,000000,32.47,32.47,29.83,31.22,0,0
ATO_MV,D,20080609,000000,29.57,30.69,27.06,27.32,0,0
ATO_MV,D,20080610,000000,26.4,28.38,25.27,28.38,0,0
