<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEP_PB,D,20121207,000000,1.94,1.94,1.94,1.94,0,0
BEP_PB,D,20121213,000000,7.77,7.77,7.77,7.77,0,0
BEP_PB,D,20121217,000000,10.68,10.68,9.6,9.6,0,0
BEP_PB,D,20121218,000000,9.6,9.6,9.5,9.5,0,0
BEP_PB,D,20121219,000000,9.17,9.17,8.63,8.63,0,0
BEP_PB,D,20121220,000000,8.63,8.63,8.63,8.63,0,0
BEP_PB,D,20121221,000000,9.17,10.79,9.17,10.79,0,0
BEP_PB,D,20121227,000000,12.95,12.95,12.95,12.95,0,0
BEP_PB,D,20121228,000000,12.95,12.95,11.87,11.87,0,0
BEP_PB,D,20130102,000000,11.76,11.76,9.5,9.5,0,0
BEP_PB,D,20130103,000000,9.5,9.5,6.37,6.37,0,0
BEP_PB,D,20130104,000000,8.42,8.42,8.42,8.42,0,0
BEP_PB,D,20130107,000000,8.42,8.53,8.42,8.53,0,0
BEP_PB,D,20130108,000000,9.17,9.71,9.17,9.71,0,0
BEP_PB,D,20130109,000000,9.71,11.65,9.71,11.65,0,0
BEP_PB,D,20130110,000000,11.55,11.55,11.33,11.33,0,0
BEP_PB,D,20130111,000000,9.71,10.79,9.71,10.79,0,0
BEP_PB,D,20130114,000000,11.33,11.33,10.25,10.25,0,0
BEP_PB,D,20130115,000000,11.22,11.22,10.79,10.79,0,0
BEP_PB,D,20130117,000000,10.58,10.68,10.58,10.68,0,0
BEP_PB,D,20130118,000000,10.47,10.47,10.47,10.47,0,0
BEP_PB,D,20130121,000000,10.47,10.47,10.47,10.47,0,0
BEP_PB,D,20130122,000000,9.71,9.71,9.71,9.71,0,0
BEP_PB,D,20130123,000000,10.14,10.14,8.2,8.2,0,0
BEP_PB,D,20130124,000000,9.17,10.25,9.17,10.25,0,0
BEP_PB,D,20130125,000000,9.93,9.93,9.93,9.93,0,0
BEP_PB,D,20130128,000000,9.93,9.93,9.71,9.71,0,0
BEP_PB,D,20130129,000000,9.71,9.71,9.71,9.71,0,0
BEP_PB,D,20130130,000000,9.6,10.25,9.6,10.25,0,0
BEP_PB,D,20130131,000000,10.14,10.14,10.14,10.14,0,0
BEP_PB,D,20130201,000000,10.14,10.14,10.14,10.14,0,0
BEP_PB,D,20130204,000000,10.04,10.04,10.04,10.04,0,0
