<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCS_PB,D,20121228,000000,0.9656,0.9656,0.9656,0.9656,0,0
CCS_PB,D,20130102,000000,0.9656,0.9656,0.7724,0.9084,0,0
CCS_PB,D,20130103,000000,0.8031,0.8031,0.8031,0.8031,0,0
CCS_PB,D,20130104,000000,0.926,0.926,0.926,0.926,0,0
CCS_PB,D,20130107,000000,0.8031,0.8031,0.8031,0.8031,0,0
CCS_PB,D,20130110,000000,0.8031,0.8031,0.8031,0.8031,0,0
CCS_PB,D,20130122,000000,0.8031,0.8031,0.8031,0.8031,0,0
CCS_PB,D,20130123,000000,0.8031,0.8997,0.8031,0.8382,0,0
CCS_PB,D,20130125,000000,0.8031,0.8031,0.8031,0.8031,0,0
CCS_PB,D,20130130,000000,0.8031,0.8031,0.8031,0.8031,0,0
CCS_PB,D,20130211,000000,0.8206,0.8206,0.8206,0.8206,0,0
CCS_PB,D,20130214,000000,0.8206,0.8206,0.8206,0.8206,0,0
CCS_PB,D,20130215,000000,0.8206,0.8206,0.8206,0.8206,0,0
CCS_PB,D,20130222,000000,0.8206,0.8601,0.8206,0.8601,0,0
CCS_PB,D,20130226,000000,0.8601,0.8601,0.8601,0.8601,0,0
CCS_PB,D,20130304,000000,0.8601,0.8601,0.8601,0.8601,0,0
CCS_PB,D,20130305,000000,0.8601,0.8865,0.8601,0.8865,0,0
CCS_PB,D,20130306,000000,0.8865,0.9479,0.8865,0.9479,0,0
CCS_PB,D,20130307,000000,0.9479,0.9479,0.9479,0.9479,0,0
CCS_PB,D,20130308,000000,0.9479,0.9699,0.9479,0.9699,0,0
CCS_PB,D,20130318,000000,0.9699,0.9699,0.9699,0.9699,0,0
CCS_PB,D,20130319,000000,1.0488,1.0488,1.0488,1.0488,0,0
CCS_PB,D,20130322,000000,0.9216,0.9216,0.847,0.847,0,0
CCS_PB,D,20130325,000000,0.8865,0.8865,0.8865,0.8865,0,0
CCS_PB,D,20130327,000000,0.9304,0.9304,0.9304,0.9304,0,0
CCS_PB,D,20130402,000000,0.9656,0.9656,0.9656,0.9656,0,0
CCS_PB,D,20130408,000000,0.9699,0.9699,0.9699,0.9699,0,0
CCS_PB,D,20130409,000000,0.9656,0.9699,0.9656,0.9699,0,0
CCS_PB,D,20130411,000000,1.04,1.0576,1.04,1.0576,0,0
CCS_PB,D,20130418,000000,1.1103,1.1103,1.1103,1.1103,0,0
CCS_PB,D,20130424,000000,1.1103,1.1411,1.1103,1.1411,0,0
CCS_PB,D,20130425,000000,1.1411,1.1411,1.1323,1.1323,0,0
CCS_PB,D,20130426,000000,1.1189,1.1189,1.0665,1.1189,0,0
CCS_PB,D,20130508,000000,1.1951,1.1951,1.1951,1.1951,0,0
CCS_PB,D,20130509,000000,1.1428,1.1428,1.1428,1.1428,0,0
CCS_PB,D,20130514,000000,1.3121,1.4833,1.2683,1.356,0,0
CCS_PB,D,20130515,000000,1.4131,1.4394,1.356,1.4394,0,0
CCS_PB,D,20130516,000000,1.5228,1.5228,1.3781,1.3781,0,0
CCS_PB,D,20130517,000000,1.3856,1.3952,1.3761,1.3952,0,0
CCS_PB,D,20130520,000000,1.4856,1.4856,1.3569,1.3569,0,0
CCS_PB,D,20130521,000000,1.3856,1.3856,1.3761,1.3761,0,0
CCS_PB,D,20130522,000000,1.4284,1.4284,1.3761,1.3856,0,0
CCS_PB,D,20130523,000000,1.3761,1.6141,1.3617,1.3617,0,0
CCS_PB,D,20130524,000000,1.3569,1.4046,1.3189,1.4046,0,0
CCS_PB,D,20130527,000000,1.4235,1.4235,1.2856,1.3047,0,0
CCS_PB,D,20130528,000000,1.2952,1.4046,1.2952,1.3331,0,0
CCS_PB,D,20130529,000000,1.3331,1.3331,1.1761,1.1951,0,0
CCS_PB,D,20130603,000000,0.9618,0.9713,0.9618,0.9713,0,0
CCS_PB,D,20130604,000000,0.9952,0.9952,0.9761,0.9761,0,0
CCS_PB,D,20130605,000000,0.9761,1.0048,0.9713,1.0048,0,0
CCS_PB,D,20130610,000000,1.0237,1.0331,1.0048,1.0048,0,0
CCS_PB,D,20130611,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130612,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130613,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130614,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130617,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130620,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130703,000000,1.0048,1.0048,1.0048,1.0048,0,0
CCS_PB,D,20130704,000000,1.0331,1.0665,1.0331,1.0665,0,0
CCS_PB,D,20130705,000000,1.0856,1.0856,1.038,1.038,0,0
CCS_PB,D,20130708,000000,1.1332,1.2142,1.0713,1.1475,0,0
CCS_PB,D,20130709,000000,1.1475,1.2142,1.1475,1.157,0,0
CCS_PB,D,20130710,000000,1.1665,1.2237,1.1665,1.2237,0,0
CCS_PB,D,20130711,000000,1.2094,1.2094,1.157,1.157,0,0
CCS_PB,D,20130712,000000,1.2094,1.238,1.157,1.157,0,0
CCS_PB,D,20130715,000000,1.0427,1.1617,1.0427,1.1617,0,0
CCS_PB,D,20130716,000000,1.2284,1.238,1.1428,1.1428,0,0
CCS_PB,D,20130722,000000,1.2237,1.2284,1.1665,1.1665,0,0
CCS_PB,D,20130724,000000,1.2284,1.2284,1.157,1.157,0,0
CCS_PB,D,20130725,000000,1.1332,1.157,1.1332,1.1332,0,0
CCS_PB,D,20130726,000000,1.1189,1.1189,1.1189,1.1189,0,0
CCS_PB,D,20130730,000000,1.157,1.157,1.1189,1.1189,0,0
CCS_PB,D,20130731,000000,1.157,1.157,1.1189,1.1189,0,0
CCS_PB,D,20130802,000000,1.157,1.157,1.1189,1.1189,0,0
CCS_PB,D,20130805,000000,1.157,1.157,1.1189,1.1189,0,0
CCS_PB,D,20130812,000000,1.157,1.5188,1.157,1.457,0,0
CCS_PB,D,20130813,000000,1.7189,2.0617,1.7189,2.0617,0,0
CCS_PB,D,20130814,000000,2.733,2.733,2.0379,2.0379,0,0
CCS_PB,D,20130816,000000,2.0855,2.414,2.0855,2.0855,0,0
CCS_PB,D,20130819,000000,1.8474,2.1473,1.8379,1.9617,0,0
CCS_PB,D,20130820,000000,1.9617,1.9617,1.8474,1.9237,0,0
CCS_PB,D,20130821,000000,1.8997,2.0188,1.8997,1.9379,0,0
CCS_PB,D,20130822,000000,1.976,2.3283,1.976,2.3092,0,0
CCS_PB,D,20130823,000000,2.3092,2.3664,2.0902,2.0902,0,0
CCS_PB,D,20130826,000000,2.1045,2.1045,1.9141,1.9474,0,0
CCS_PB,D,20130827,000000,1.9332,1.9951,1.8712,1.9044,0,0
CCS_PB,D,20130828,000000,1.8997,1.9998,1.8997,1.9237,0,0
CCS_PB,D,20130829,000000,2.1712,2.1712,1.9665,1.9665,0,0
CCS_PB,D,20130830,000000,2.0235,2.095,1.9998,2.095,0,0
CCS_PB,D,20130902,000000,2.0045,2.095,2.0045,2.0235,0,0
CCS_PB,D,20130903,000000,2.0045,2.1759,2.0045,2.1759,0,0
CCS_PB,D,20130904,000000,2.0855,2.1664,2.0235,2.1664,0,0
CCS_PB,D,20130905,000000,2.0235,2.1664,1.876,2.1664,0,0
CCS_PB,D,20130906,000000,1.9665,2.2378,1.9665,2.114,0,0
CCS_PB,D,20130909,000000,2.0235,2.2378,2.0235,2.1045,0,0
CCS_PB,D,20130910,000000,2.1045,2.2378,2.0522,2.0522,0,0
CCS_PB,D,20130911,000000,2.0855,2.1759,2.0426,2.1759,0,0
CCS_PB,D,20130912,000000,2.0379,2.1759,2.0379,2.1759,0,0
CCS_PB,D,20130913,000000,2.114,2.2427,2.114,2.2378,0,0
CCS_PB,D,20130916,000000,2.1522,2.2949,2.1522,2.2093,0,0
CCS_PB,D,20130917,000000,2.1522,2.2331,2.1522,2.2187,0,0
CCS_PB,D,20130918,000000,2.2665,2.6997,2.2665,2.6997,0,0
CCS_PB,D,20130919,000000,2.5759,3.0663,2.5759,2.9425,0,0
CCS_PB,D,20130920,000000,2.9854,3.0663,2.8521,2.8806,0,0
CCS_PB,D,20130923,000000,2.8425,2.9139,2.8425,2.9139,0,0
CCS_PB,D,20130924,000000,3.0091,3.0519,2.8521,3.0187,0,0
CCS_PB,D,20130925,000000,3.0044,3.0044,2.8567,2.8616,0,0
CCS_PB,D,20130926,000000,2.9139,2.9139,2.795,2.8187,0,0
CCS_PB,D,20130927,000000,2.9568,2.9568,2.8377,2.8377,0,0
CCS_PB,D,20130930,000000,2.8425,2.8521,2.8377,2.8521,0,0
CCS_PB,D,20131001,000000,2.8521,2.8521,2.8377,2.8377,0,0
CCS_PB,D,20131002,000000,2.514,2.9234,2.514,2.9234,0,0
CCS_PB,D,20131003,000000,2.7902,2.933,2.7902,2.933,0,0
CCS_PB,D,20131004,000000,2.7902,2.8187,2.7902,2.8187,0,0
CCS_PB,D,20131007,000000,2.7902,2.7902,2.6236,2.6236,0,0
CCS_PB,D,20131008,000000,2.6997,2.8139,2.4473,2.8139,0,0
CCS_PB,D,20131009,000000,2.6282,2.9425,2.5759,2.9425,0,0
CCS_PB,D,20131010,000000,2.8187,3.0236,2.8187,3.0187,0,0
CCS_PB,D,20131011,000000,2.9425,3.0091,2.9425,2.9425,0,0
CCS_PB,D,20131014,000000,2.9139,2.9139,2.8329,2.8329,0,0
