<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFG_MV,D,20180525,000000,85.34,85.34,85.34,85.34,0,0
CFG_MV,D,20180528,000000,86.14,96.01,79.74,82.68,0,0
CFG_MV,D,20180529,000000,82.14,85.34,73.88,85.34,0,0
CFG_MV,D,20180530,000000,87.98,93.35,76.33,93.35,0,0
CFG_MV,D,20180601,000000,85.4,96.52,81.61,82.41,0,0
CFG_MV,D,20180604,000000,86.41,86.41,77.34,82.68,0,0
CFG_MV,D,20180605,000000,82.68,90.12,77.16,86.28,0,0
CFG_MV,D,20180606,000000,88.54,89.88,80.14,89.88,0,0
CFG_MV,D,20180607,000000,89.34,91.42,83.74,90.68,0,0
CFG_MV,D,20180608,000000,90.68,90.68,84.01,89.21,0,0
CFG_MV,D,20180611,000000,89.74,89.77,83.16,83.21,0,0
CFG_MV,D,20180612,000000,82.68,85.61,82.68,82.68,0,0
CFG_MV,D,20180613,000000,85.18,85.18,81.34,81.61,0,0
CFG_MV,D,20180614,000000,82.68,85.13,81.34,84.81,0,0
CFG_MV,D,20180615,000000,85.1,87.74,82.68,82.68,0,0
CFG_MV,D,20180618,000000,86.33,86.33,81.88,86.25,0,0
CFG_MV,D,20180619,000000,85.34,87.45,84.01,87.45,0,0
CFG_MV,D,20180620,000000,87.74,94.95,87.74,94.95,0,0
CFG_MV,D,20180621,000000,94.92,97.08,88.01,97.08,0,0
CFG_MV,D,20180622,000000,97.08,97.08,90.68,94.68,0,0
CFG_MV,D,20180625,000000,95.75,95.75,90.2,91.34,0,0
CFG_MV,D,20180626,000000,92.73,92.73,83.64,89.08,0,0
CFG_MV,D,20180627,000000,89.08,90.68,84.01,90.68,0,0
CFG_MV,D,20180628,000000,91.48,96.01,86.14,96.01,0,0
CFG_MV,D,20180629,000000,94.68,101.35,92.01,101.35,0,0
CFG_MV,D,20180702,000000,101.35,103.75,96.01,96.01,0,0
CFG_MV,D,20180703,000000,99.27,99.27,92.01,97.83,0,0
CFG_MV,D,20180704,000000,97.88,101.08,97.88,101.08,0,0
CFG_MV,D,20180705,000000,94.97,103.75,94.97,103.75,0,0
CFG_MV,D,20180706,000000,103.75,104.01,100.28,102.17,0,0
CFG_MV,D,20180709,000000,103.88,106.39,101.35,105.88,0,0
CFG_MV,D,20180710,000000,106.15,109.88,106.15,109.35,0,0
CFG_MV,D,20180711,000000,110.68,122.63,110.68,115.96,0,0
CFG_MV,D,20180712,000000,120.02,120.02,116.07,116.07,0,0
CFG_MV,D,20180713,000000,116.01,119.88,116.01,117.19,0,0
CFG_MV,D,20180716,000000,121.54,121.54,114.71,117.24,0,0
CFG_MV,D,20180717,000000,119.75,119.75,113.61,116.55,0,0
CFG_MV,D,20180718,000000,116.28,116.28,114.68,115.75,0,0
CFG_MV,D,20180719,000000,118.41,118.41,114.41,116.68,0,0
CFG_MV,D,20180720,000000,117.29,117.35,114.68,114.68,0,0
CFG_MV,D,20180723,000000,113.88,114.68,113.35,114.68,0,0
CFG_MV,D,20180724,000000,114.68,114.68,112.28,114.28,0,0
CFG_MV,D,20180725,000000,114.68,114.68,112.55,112.55,0,0
CFG_MV,D,20180726,000000,117.88,117.88,112.01,114.65,0,0
CFG_MV,D,20180727,000000,115.24,119.75,113.91,116.76,0,0
CFG_MV,D,20180730,000000,117.35,127.22,117.35,117.61,0,0
CFG_MV,D,20180731,000000,118.68,124.02,115.8,124.02,0,0
CFG_MV,D,20180801,000000,123.75,123.75,120.02,122.28,0,0
CFG_MV,D,20180802,000000,122.92,132.02,122.92,132.02,0,0
CFG_MV,D,20180803,000000,137.35,148.15,137.35,141.35,0,0
CFG_MV,D,20180806,000000,144.02,144.02,133.35,134.95,0,0
CFG_MV,D,20180807,000000,133.35,133.35,125.35,129.35,0,0
CFG_MV,D,20180808,000000,135.46,136.52,128.02,128.31,0,0
CFG_MV,D,20180809,000000,132.28,132.28,121.35,125.22,0,0
CFG_MV,D,20180810,000000,125.88,126.39,117.61,123.06,0,0
CFG_MV,D,20180813,000000,123.08,128.55,120.04,122.68,0,0
CFG_MV,D,20180814,000000,124.02,126.68,121.38,125.08,0,0
CFG_MV,D,20180816,000000,93.35,100.41,80.01,82.14,0,0
CFG_MV,D,20180817,000000,87.48,87.48,74.14,83.61,0,0
CFG_MV,D,20180820,000000,85.34,86.06,80.01,80.01,0,0
CFG_MV,D,20180821,000000,77.61,84.25,77.61,84.01,0,0
CFG_MV,D,20180822,000000,82.44,82.44,78.68,80.01,0,0
CFG_MV,D,20180823,000000,80.52,80.52,70.7,72.81,0,0
CFG_MV,D,20180824,000000,73.34,78.68,72.01,76.28,0,0
CFG_MV,D,20180827,000000,80.01,80.01,72.12,72.12,0,0
CFG_MV,D,20180828,000000,74.54,74.54,66.68,69.08,0,0
CFG_MV,D,20180829,000000,65.37,74.65,64.01,73.88,0,0
CFG_MV,D,20180830,000000,74.68,76.01,70.44,73.21,0,0
CFG_MV,D,20180831,000000,73.08,73.08,65.34,66.01,0,0
CFG_MV,D,20180903,000000,68.01,68.01,60.7,65.07,0,0
CFG_MV,D,20180904,000000,66.41,66.41,53.13,54.01,0,0
CFG_MV,D,20180905,000000,56.01,58.14,49.77,55.95,0,0
CFG_MV,D,20180906,000000,53.63,55.87,49.61,55.87,0,0
CFG_MV,D,20180907,000000,54.67,54.67,49.87,51.02,0,0
CFG_MV,D,20180910,000000,51.98,52.54,46.67,47.98,0,0
CFG_MV,D,20180911,000000,50.81,52.27,46.94,50.38,0,0
CFG_MV,D,20180912,000000,51.61,52.01,50.14,51.61,0,0
CFG_MV,D,20180913,000000,51.71,57.34,51.71,55.69,0,0
CFG_MV,D,20180914,000000,55.74,63.42,55.74,61.31,0,0
CFG_MV,D,20180917,000000,61.34,62.65,56.33,56.33,0,0
CFG_MV,D,20180918,000000,58.67,58.67,56.03,56.03,0,0
CFG_MV,D,20180919,000000,58.51,58.51,53.1,53.34,0,0
CFG_MV,D,20180920,000000,56.01,56.01,49.34,50.01,0,0
CFG_MV,D,20180921,000000,53.34,54.65,50.94,52.27,0,0
CFG_MV,D,20180924,000000,54.51,54.51,52.54,52.54,0,0
CFG_MV,D,20180925,000000,53.55,53.55,49.07,52.01,0,0
CFG_MV,D,20180926,000000,52.94,54.14,46.46,46.46,0,0
CFG_MV,D,20180927,000000,46.46,46.46,43.47,43.9,0,0
CFG_MV,D,20180928,000000,44.01,45.85,43.74,43.79,0,0
CFG_MV,D,20181001,000000,44.01,45.34,42.14,44.78,0,0
CFG_MV,D,20181002,000000,46.11,46.11,43.47,43.47,0,0
CFG_MV,D,20181003,000000,44.97,44.97,43.02,43.53,0,0
CFG_MV,D,20181004,000000,43.5,45.34,42.67,43.63,0,0
CFG_MV,D,20181005,000000,44.54,44.54,42.67,43.98,0,0
CFG_MV,D,20181008,000000,44.01,44.01,40.01,41.34,0,0
CFG_MV,D,20181009,000000,41.29,43.98,39.47,41.34,0,0
CFG_MV,D,20181010,000000,41.34,42.67,40.27,40.27,0,0
CFG_MV,D,20181011,000000,38.94,42.67,37.92,42.67,0,0
CFG_MV,D,20181012,000000,44.41,44.41,42.67,43.98,0,0
CFG_MV,D,20181015,000000,44.41,50.41,44.41,46.67,0,0
CFG_MV,D,20181016,000000,49.87,49.87,43.71,45.79,0,0
CFG_MV,D,20181017,000000,45.58,45.58,41.95,43.87,0,0
CFG_MV,D,20181018,000000,43.87,44.27,42.67,44.01,0,0
CFG_MV,D,20181019,000000,45.26,45.26,42.75,44.27,0,0
CFG_MV,D,20181022,000000,44.33,44.41,39.63,39.98,0,0
CFG_MV,D,20181023,000000,40.01,45.07,38.4,39.42,0,0
CFG_MV,D,20181024,000000,39.34,40.94,36.67,37.34,0,0
CFG_MV,D,20181025,000000,36.94,36.94,33.28,35.18,0,0
CFG_MV,D,20181026,000000,34.67,34.67,31.87,32.48,0,0
CFG_MV,D,20181029,000000,32.48,35.6,32.06,35.2,0,0
CFG_MV,D,20181030,000000,35.47,37.6,34.67,36.64,0,0
CFG_MV,D,20181031,000000,37.47,37.47,34.7,36.4,0,0
CFG_MV,D,20181102,000000,34.94,39.66,34.22,39.5,0,0
CFG_MV,D,20181105,000000,42.94,42.94,40.01,41.26,0,0
CFG_MV,D,20181106,000000,42.09,42.14,40.01,40.81,0,0
CFG_MV,D,20181107,000000,41.21,41.21,37.39,39.2,0,0
CFG_MV,D,20181108,000000,41.1,41.1,36,38.64,0,0
CFG_MV,D,20181109,000000,37.34,37.34,33.34,34.4,0,0
CFG_MV,D,20181113,000000,34.88,34.88,31.07,32,0,0
CFG_MV,D,20181114,000000,32,36,30.67,35.6,0,0
CFG_MV,D,20181115,000000,36,36,31.74,31.98,0,0
CFG_MV,D,20181116,000000,31.98,32,29.63,32,0,0
CFG_MV,D,20181119,000000,32,33.28,29.95,30.67,0,0
CFG_MV,D,20181120,000000,31.92,31.92,28.67,30.62,0,0
CFG_MV,D,20181121,000000,30.67,30.67,28,29.34,0,0
CFG_MV,D,20181122,000000,30.08,30.4,28.27,29.6,0,0
CFG_MV,D,20181123,000000,32,32.4,30.48,32,0,0
CFG_MV,D,20181126,000000,32.51,35.6,31.2,32,0,0
CFG_MV,D,20181127,000000,33.07,33.07,30,31.74,0,0
CFG_MV,D,20181128,000000,32,32,31.66,31.98,0,0
CFG_MV,D,20181129,000000,33.2,33.2,30.8,31.79,0,0
CFG_MV,D,20181130,000000,30.7,32.32,30.67,31.95,0,0
CFG_MV,D,20181203,000000,33.12,33.12,30.86,31.79,0,0
CFG_MV,D,20181204,000000,32,32,30.43,31.98,0,0
CFG_MV,D,20181205,000000,31.95,32.54,31.26,32.54,0,0
CFG_MV,D,20181206,000000,32,37.07,32,34.88,0,0
CFG_MV,D,20181207,000000,36.14,38.67,35.98,37.6,0,0
CFG_MV,D,20181210,000000,38.14,39.87,37.34,38.35,0,0
CFG_MV,D,20181211,000000,38.67,38.67,36.06,36.8,0,0
CFG_MV,D,20181212,000000,36.27,36.8,34.67,34.67,0,0
CFG_MV,D,20181213,000000,36,36,32.86,34.62,0,0
CFG_MV,D,20181214,000000,34.62,34.62,32.43,34.38,0,0
CFG_MV,D,20181217,000000,34.67,35.6,33.39,33.87,0,0
CFG_MV,D,20181218,000000,34.4,34.4,31.2,33.07,0,0
CFG_MV,D,20181219,000000,34.4,34.4,31.9,32.8,0,0
