<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD_PB,D,20120518,000000,20.47,20.47,20.47,20.47,0,0
CLD_PB,D,20120521,000000,20.8,29.6,20.8,29.6,0,0
CLD_PB,D,20120522,000000,34.1,36.87,29.17,36.87,0,0
CLD_PB,D,20120523,000000,36.2,36.2,34.1,34.1,0,0
CLD_PB,D,20120524,000000,34.1,34.1,14.5,14.5,0,0
CLD_PB,D,20120525,000000,14.5,14.5,12.55,14.39,0,0
CLD_PB,D,20120528,000000,12.61,14.39,12.61,14.35,0,0
CLD_PB,D,20120529,000000,13.5,14.45,13.5,14.45,0,0
CLD_PB,D,20120530,000000,14.55,17.3,14,17,0,0
CLD_PB,D,20120531,000000,16.65,16.65,13.5,14.61,0,0
CLD_PB,D,20120601,000000,14,14,13.5,13.5,0,0
CLD_PB,D,20120604,000000,13.89,13.89,13.26,13.26,0,0
CLD_PB,D,20120605,000000,13.5,13.89,13.26,13.26,0,0
CLD_PB,D,20120606,000000,13.89,13.89,13.89,13.89,0,0
CLD_PB,D,20120608,000000,13.26,13.26,13.26,13.26,0,0
CLD_PB,D,20120611,000000,13.26,13.26,11.5,11.5,0,0
CLD_PB,D,20120612,000000,11,11,11,11,0,0
CLD_PB,D,20120613,000000,11,11.55,11,11.55,0,0
CLD_PB,D,20120614,000000,11.05,11.55,11.05,11.55,0,0
CLD_PB,D,20120615,000000,11,11,11,11,0,0
CLD_PB,D,20120618,000000,11,11,9.26,9.26,0,0
CLD_PB,D,20120619,000000,9.45,10.39,9.45,10.39,0,0
CLD_PB,D,20120620,000000,9.5,9.5,9.5,9.5,0,0
CLD_PB,D,20120621,000000,9.95,9.95,9.5,9.76,0,0
CLD_PB,D,20120622,000000,9.26,9.26,9.26,9.26,0,0
CLD_PB,D,20120625,000000,9.26,9.26,9.26,9.26,0,0
CLD_PB,D,20120626,000000,9.7,9.7,9.7,9.7,0,0
CLD_PB,D,20120628,000000,9.7,9.7,9.7,9.7,0,0
CLD_PB,D,20120706,000000,10,10,10,10,0,0
CLD_PB,D,20120710,000000,9.5,9.5,9.5,9.5,0,0
CLD_PB,D,20120716,000000,9.5,9.5,9.5,9.5,0,0
CLD_PB,D,20120719,000000,9.5,9.5,9.15,9.15,0,0
CLD_PB,D,20120801,000000,9.15,9.5,9.15,9.5,0,0
CLD_PB,D,20120802,000000,9.5,9.5,9.5,9.5,0,0
CLD_PB,D,20120829,000000,9.55,9.55,9.55,9.55,0,0
CLD_PB,D,20120830,000000,9.15,9.55,9.15,9.55,0,0
CLD_PB,D,20120904,000000,9.15,9.61,9.15,9.61,0,0
CLD_PB,D,20120921,000000,9.61,9.61,9.61,9.61,0,0
CLD_PB,D,20120925,000000,9.55,9.55,9.55,9.55,0,0
CLD_PB,D,20120926,000000,9.55,9.55,9.55,9.55,0,0
CLD_PB,D,20121010,000000,9.61,9.61,9.61,9.61,0,0
CLD_PB,D,20121015,000000,9.15,9.61,9.15,9.61,0,0
