<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMI_MV,D,20190424,000000,48.12,48.12,48.12,48.12,0,0
CMI_MV,D,20190425,000000,49.32,58.35,49.32,58.35,0,0
CMI_MV,D,20190429,000000,58.23,66.17,58.23,63.76,0,0
CMI_MV,D,20190507,000000,63.76,63.76,63.76,63.76,0,0
CMI_MV,D,20190508,000000,61.35,61.35,61.35,61.35,0,0
CMI_MV,D,20190510,000000,61.35,61.35,57.74,57.74,0,0
CMI_MV,D,20190515,000000,56.54,56.54,56.54,56.54,0,0
CMI_MV,D,20190517,000000,59.43,67.37,59.43,67.37,0,0
CMI_MV,D,20190520,000000,67.37,70.38,67.37,70.38,0,0
CMI_MV,D,20190521,000000,68.57,68.57,67.97,67.97,0,0
CMI_MV,D,20190522,000000,67.97,67.97,67.97,67.97,0,0
CMI_MV,D,20190523,000000,67.97,67.97,67.97,67.97,0,0
CMI_MV,D,20190524,000000,67.97,67.97,67.97,67.97,0,0
CMI_MV,D,20190527,000000,67.97,67.97,67.97,67.97,0,0
CMI_MV,D,20190528,000000,69.17,78.2,69.17,78.2,0,0
CMI_MV,D,20190529,000000,93.83,112.6,84.21,84.21,0,0
CMI_MV,D,20190530,000000,83.61,83.61,78.2,78.2,0,0
CMI_MV,D,20190603,000000,76.99,76.99,72.78,72.78,0,0
CMI_MV,D,20190604,000000,69.77,69.77,68.57,68.57,0,0
CMI_MV,D,20190605,000000,65.56,72.18,60.15,70.98,0,0
CMI_MV,D,20190611,000000,73.38,73.38,73.38,73.38,0,0
CMI_MV,D,20190617,000000,72.18,72.18,70.98,70.98,0,0
CMI_MV,D,20190624,000000,68.57,68.57,68.57,68.57,0,0
CMI_MV,D,20190703,000000,71.58,72.18,71.58,72.18,0,0
CMI_MV,D,20190709,000000,72.18,76.39,72.18,76.39,0,0
CMI_MV,D,20190805,000000,76.99,76.99,76.99,76.99,0,0
CMI_MV,D,20190807,000000,77.53,77.53,77.53,77.53,0,0
CMI_MV,D,20190809,000000,78.2,78.2,78.2,78.2,0,0
CMI_MV,D,20190827,000000,76.39,76.39,75.19,75.19,0,0
CMI_MV,D,20190913,000000,79.4,92.63,79.4,92.63,0,0
CMI_MV,D,20190916,000000,102.26,102.26,81.8,84.21,0,0
CMI_MV,D,20190917,000000,80.6,80.6,74.59,74.59,0,0
CMI_MV,D,20190919,000000,73.98,73.98,73.98,73.98,0,0
CMI_MV,D,20190925,000000,70.98,70.98,67.37,67.37,0,0
CMI_MV,D,20190927,000000,66.17,66.17,66.17,66.17,0,0
CMI_MV,D,20191002,000000,64.96,64.96,62.56,62.56,0,0
CMI_MV,D,20191003,000000,61.35,72.18,59.31,72.18,0,0
CMI_MV,D,20191007,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20191016,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20191023,000000,72.18,73.38,72.18,73.38,0,0
CMI_MV,D,20191025,000000,73.38,73.38,73.38,73.38,0,0
CMI_MV,D,20191031,000000,76.99,82.41,76.99,82.41,0,0
CMI_MV,D,20191104,000000,81.8,81.8,74.59,74.59,0,0
CMI_MV,D,20191114,000000,73.38,73.38,66.17,67.97,0,0
CMI_MV,D,20191125,000000,69.77,69.77,69.77,69.77,0,0
CMI_MV,D,20191202,000000,69.77,69.77,69.77,69.77,0,0
CMI_MV,D,20191204,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20191211,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20191212,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20191219,000000,72.18,72.18,60.15,60.75,0,0
CMI_MV,D,20191220,000000,60.15,60.15,60.15,60.15,0,0
CMI_MV,D,20191223,000000,60.15,60.15,60.15,60.15,0,0
CMI_MV,D,20191227,000000,59.31,66.17,59.31,66.17,0,0
CMI_MV,D,20200102,000000,63.76,63.76,63.16,63.16,0,0
CMI_MV,D,20200108,000000,62.56,62.56,62.56,62.56,0,0
CMI_MV,D,20200109,000000,61.35,61.35,61.35,61.35,0,0
CMI_MV,D,20200113,000000,71.7,71.7,71.7,71.7,0,0
CMI_MV,D,20200114,000000,71.7,71.7,71.7,71.7,0,0
CMI_MV,D,20200115,000000,70.38,70.38,70.38,70.38,0,0
CMI_MV,D,20200120,000000,70.38,70.38,66.65,66.65,0,0
CMI_MV,D,20200124,000000,67.37,68.57,67.37,68.57,0,0
CMI_MV,D,20200207,000000,67.37,67.37,67.37,67.37,0,0
CMI_MV,D,20200212,000000,69.77,70.01,69.77,69.77,0,0
CMI_MV,D,20200213,000000,69.77,69.77,60.15,60.15,0,0
CMI_MV,D,20200214,000000,63.76,68.57,63.76,68.57,0,0
CMI_MV,D,20200225,000000,66.77,66.77,61.35,61.35,0,0
CMI_MV,D,20200227,000000,64.36,72.18,64.36,72.18,0,0
CMI_MV,D,20200304,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200305,000000,72.18,72.18,67.97,67.97,0,0
CMI_MV,D,20200313,000000,67.85,67.85,67.85,67.85,0,0
CMI_MV,D,20200318,000000,64.96,64.96,63.76,63.76,0,0
CMI_MV,D,20200325,000000,63.76,63.76,61.35,61.35,0,0
CMI_MV,D,20200326,000000,62.56,72.18,62.56,72.18,0,0
CMI_MV,D,20200331,000000,70.98,80.6,69.17,69.17,0,0
CMI_MV,D,20200402,000000,66.17,66.17,64.96,64.96,0,0
CMI_MV,D,20200406,000000,64.96,64.96,63.76,63.76,0,0
CMI_MV,D,20200407,000000,63.76,64.36,63.76,64.36,0,0
CMI_MV,D,20200415,000000,67.37,80.6,67.37,80.6,0,0
CMI_MV,D,20200416,000000,78.2,87.82,62.56,87.82,0,0
CMI_MV,D,20200417,000000,87.82,87.82,78.2,78.2,0,0
CMI_MV,D,20200420,000000,78.2,78.2,78.2,78.2,0,0
CMI_MV,D,20200421,000000,78.2,83.01,78.2,83.01,0,0
CMI_MV,D,20200504,000000,83.61,83.61,83.61,83.61,0,0
CMI_MV,D,20200505,000000,83.61,83.61,83.61,83.61,0,0
CMI_MV,D,20200507,000000,84.21,85.41,84.21,85.41,0,0
CMI_MV,D,20200519,000000,85.41,102.26,85.41,102.26,0,0
CMI_MV,D,20200520,000000,102.26,120.3,87.82,87.82,0,0
CMI_MV,D,20200521,000000,90.23,90.23,72.18,72.18,0,0
CMI_MV,D,20200522,000000,72.78,72.78,61.35,67.37,0,0
CMI_MV,D,20200526,000000,68.57,68.57,68.57,68.57,0,0
CMI_MV,D,20200527,000000,67.37,67.37,66.77,66.77,0,0
CMI_MV,D,20200528,000000,67.97,67.97,67.97,67.97,0,0
CMI_MV,D,20200529,000000,66.77,69.17,66.77,69.17,0,0
CMI_MV,D,20200601,000000,69.77,72.18,69.77,72.18,0,0
CMI_MV,D,20200603,000000,73.38,75.19,73.38,75.19,0,0
CMI_MV,D,20200604,000000,78.2,78.2,78.2,78.2,0,0
CMI_MV,D,20200605,000000,78.2,78.2,72.18,72.18,0,0
CMI_MV,D,20200608,000000,74.59,74.59,74.59,74.59,0,0
CMI_MV,D,20200609,000000,72.78,72.78,72.18,72.18,0,0
CMI_MV,D,20200612,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200615,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200617,000000,69.77,70.98,66.17,70.98,0,0
CMI_MV,D,20200619,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200622,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200623,000000,72.78,72.78,72.78,72.78,0,0
CMI_MV,D,20200624,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200625,000000,69.77,69.77,68.57,68.57,0,0
CMI_MV,D,20200629,000000,68.57,68.57,68.57,68.57,0,0
CMI_MV,D,20200630,000000,68.57,69.77,68.57,69.77,0,0
CMI_MV,D,20200701,000000,69.77,69.77,69.77,69.77,0,0
CMI_MV,D,20200702,000000,71.58,72.18,71.58,72.18,0,0
CMI_MV,D,20200707,000000,72.18,72.18,67.37,72.18,0,0
CMI_MV,D,20200708,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200709,000000,72.18,72.18,72.18,72.18,0,0
CMI_MV,D,20200710,000000,71.58,71.58,71.58,71.58,0,0
CMI_MV,D,20200713,000000,69.77,69.77,66.17,66.17,0,0
CMI_MV,D,20200714,000000,66.17,66.17,64.96,64.96,0,0
CMI_MV,D,20200715,000000,64.96,64.96,64.96,64.96,0,0
CMI_MV,D,20200716,000000,64.96,64.96,64.96,64.96,0,0
CMI_MV,D,20200717,000000,64.96,66.17,64.96,66.17,0,0
CMI_MV,D,20200720,000000,67.37,67.37,61.35,61.35,0,0
CMI_MV,D,20200722,000000,61.35,61.35,61.35,61.35,0,0
CMI_MV,D,20200723,000000,61.35,61.35,61.35,61.35,0,0
CMI_MV,D,20200724,000000,61.35,61.35,61.35,61.35,0,0
CMI_MV,D,20200727,000000,61.35,61.35,61.35,61.35,0,0
CMI_MV,D,20200729,000000,63.76,69.77,57.74,57.74,0,0
CMI_MV,D,20200730,000000,61.35,63.76,57.74,57.74,0,0
CMI_MV,D,20200731,000000,57.98,60.15,46.92,60.15,0,0
CMI_MV,D,20200803,000000,56.54,56.54,48.12,54.14,0,0
CMI_MV,D,20200804,000000,54.14,54.14,54.14,54.14,0,0
CMI_MV,D,20200805,000000,50.77,51.73,50.04,51.73,0,0
CMI_MV,D,20200806,000000,52.93,54.14,52.93,54.14,0,0
CMI_MV,D,20200810,000000,54.14,55.1,54.14,55.1,0,0
CMI_MV,D,20200811,000000,51.73,51.73,49.32,49.32,0,0
CMI_MV,D,20200812,000000,51.73,60.15,46.92,46.92,0,0
