<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR_PE,D,20111208,000000,112.379,112.379,112.379,112.379,0,0
CSR_PE,D,20111209,000000,116.63,123.264,89.9734,90.1821,0,0
CSR_PE,D,20111212,000000,94.2335,94.2335,80.1322,83.0559,0,0
CSR_PE,D,20111213,000000,87.5256,89.7638,83.0559,85.2242,0,0
CSR_PE,D,20111214,000000,86.5462,86.6228,86.5462,86.6228,0,0
CSR_PE,D,20111215,000000,85.5056,85.5056,85.0021,85.0021,0,0
CSR_PE,D,20111216,000000,84.1118,84.1118,84.1118,84.1118,0,0
CSR_PE,D,20111219,000000,82.9994,82.9994,82.9994,82.9994,0,0
CSR_PE,D,20111220,000000,82.9994,82.9994,82.9994,82.9994,0,0
CSR_PE,D,20111222,000000,82.9994,82.9994,82.9994,82.9994,0,0
CSR_PE,D,20111228,000000,87.4557,87.5256,87.4557,87.5256,0,0
CSR_PE,D,20111229,000000,89.5465,89.7638,89.5465,89.7638,0,0
CSR_PE,D,20120111,000000,85.9833,85.9833,85.923,85.923,0,0
CSR_PE,D,20120127,000000,85.7105,85.7105,85.7105,85.7105,0,0
CSR_PE,D,20120131,000000,89.7638,89.7638,89.7638,89.7638,0,0
CSR_PE,D,20120202,000000,89.7638,89.7638,89.7638,89.7638,0,0
CSR_PE,D,20120227,000000,79.712,93.3183,79.712,93.3183,0,0
CSR_PE,D,20120229,000000,97.2347,101.141,97.2347,101.141,0,0
CSR_PE,D,20120301,000000,103.093,106.932,103.093,106.932,0,0
CSR_PE,D,20120302,000000,106.932,128.367,106.932,128.367,0,0
CSR_PE,D,20120305,000000,106.865,106.865,103.093,103.093,0,0
CSR_PE,D,20120309,000000,103.093,112.81,103.093,110.848,0,0
CSR_PE,D,20120314,000000,89.4766,89.4766,89.4766,89.4766,0,0
CSR_PE,D,20120315,000000,89.4766,89.4766,87.5256,87.5256,0,0
CSR_PE,D,20120525,000000,93.1182,93.1182,93.1182,93.1182,0,0
CSR_PE,D,20120720,000000,90.7316,93.1182,90.7316,93.1182,0,0
