<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTE_MV,D,20150609,000000,18.75,18.75,18.75,18.75,0,0
CTE_MV,D,20150610,000000,18.6,18.6,17.58,18.57,0,0
CTE_MV,D,20150611,000000,18.54,18.54,16.2,18.54,0,0
CTE_MV,D,20150612,000000,18.54,18.54,18.54,18.54,0,0
CTE_MV,D,20150615,000000,18.51,18.51,15.9,17.37,0,0
CTE_MV,D,20150616,000000,17.34,17.34,16.2,16.2,0,0
CTE_MV,D,20150617,000000,16.2,18.45,15.6,18.45,0,0
CTE_MV,D,20150618,000000,18.45,18.45,17.1,17.1,0,0
CTE_MV,D,20150619,000000,17.1,17.1,15.66,16.77,0,0
CTE_MV,D,20150622,000000,16.77,16.77,13.8,15,0,0
CTE_MV,D,20150626,000000,15,15,12.03,13.8,0,0
CTE_MV,D,20150629,000000,12.84,13.77,12.84,13.77,0,0
CTE_MV,D,20150630,000000,13.77,13.77,11.43,11.43,0,0
CTE_MV,D,20150701,000000,11.43,12,11.43,12,0,0
CTE_MV,D,20150702,000000,12.6,12.6,12.6,12.6,0,0
CTE_MV,D,20150703,000000,12.57,14.97,11.73,14.97,0,0
CTE_MV,D,20150707,000000,14.97,14.97,14.97,14.97,0,0
CTE_MV,D,20150708,000000,14.97,14.97,14.97,14.97,0,0
CTE_MV,D,20150709,000000,14.97,14.97,14.97,14.97,0,0
CTE_MV,D,20150710,000000,14.97,14.97,14.97,14.97,0,0
CTE_MV,D,20150713,000000,14.97,14.97,14.97,14.97,0,0
CTE_MV,D,20150714,000000,14.97,14.97,14.97,14.97,0,0
CTE_MV,D,20150715,000000,14.97,14.97,12.6,14.97,0,0
CTE_MV,D,20150716,000000,14.97,15.9,14.97,15,0,0
CTE_MV,D,20150717,000000,14.97,14.97,14.01,14.01,0,0
CTE_MV,D,20150720,000000,13.95,13.95,12.33,12.33,0,0
CTE_MV,D,20150727,000000,12.15,12.15,12.15,12.15,0,0
CTE_MV,D,20150728,000000,11.97,13.05,9.72,13.05,0,0
CTE_MV,D,20150729,000000,13.86,13.86,12.9,13.74,0,0
CTE_MV,D,20150730,000000,13.74,13.86,12.9,13.86,0,0
CTE_MV,D,20150731,000000,13.83,13.83,13.83,13.83,0,0
CTE_MV,D,20150804,000000,13.86,15.51,13.86,15.51,0,0
CTE_MV,D,20150805,000000,15.75,15.75,14.43,14.7,0,0
CTE_MV,D,20150806,000000,14.7,15.75,14.7,15.75,0,0
CTE_MV,D,20150807,000000,15.75,15.75,14.7,15,0,0
CTE_MV,D,20150812,000000,15.75,15.75,15.75,15.75,0,0
CTE_MV,D,20150819,000000,14.97,14.97,13.95,13.98,0,0
CTE_MV,D,20150820,000000,13.95,15.6,13.95,15.6,0,0
CTE_MV,D,20150821,000000,15.6,15.6,15.6,15.6,0,0
CTE_MV,D,20150826,000000,15.3,15.3,15.3,15.3,0,0
CTE_MV,D,20150827,000000,15.51,15.51,15.51,15.51,0,0
CTE_MV,D,20150901,000000,14.43,15.51,14.1,15,0,0
CTE_MV,D,20150904,000000,14.94,15.3,14.94,15.3,0,0
CTE_MV,D,20150907,000000,14.25,15,14.25,15,0,0
CTE_MV,D,20150908,000000,15,15.3,15,15.3,0,0
CTE_MV,D,20150914,000000,15.3,15.3,15.3,15.3,0,0
CTE_MV,D,20150915,000000,15.15,15.3,14.25,15.3,0,0
CTE_MV,D,20150916,000000,15.3,15.3,15.3,15.3,0,0
CTE_MV,D,20150917,000000,15.3,15.3,15.3,15.3,0,0
CTE_MV,D,20150918,000000,15.3,15.3,15.3,15.3,0,0
CTE_MV,D,20150921,000000,15.6,15.6,15.6,15.6,0,0
CTE_MV,D,20150922,000000,15.6,15.6,15.6,15.6,0,0
CTE_MV,D,20150923,000000,15.45,15.45,15.45,15.45,0,0
CTE_MV,D,20150924,000000,15.45,15.45,14.25,15.15,0,0
CTE_MV,D,20150925,000000,15.45,15.45,15.45,15.45,0,0
CTE_MV,D,20150930,000000,15.45,15.45,15.45,15.45,0,0
CTE_MV,D,20151001,000000,15.6,15.6,15.6,15.6,0,0
CTE_MV,D,20151002,000000,15.45,15.45,14.25,14.25,0,0
CTE_MV,D,20151008,000000,14.25,15.45,14.25,15.45,0,0
CTE_MV,D,20151012,000000,15.45,15.45,15.45,15.45,0,0
CTE_MV,D,20151013,000000,15.45,15.45,15.45,15.45,0,0
CTE_MV,D,20151014,000000,15.45,15.45,15.45,15.45,0,0
CTE_MV,D,20151015,000000,15.45,16.11,15,16.11,0,0
CTE_MV,D,20151016,000000,15.78,16.11,15.78,16.05,0,0
CTE_MV,D,20151019,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151020,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151021,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151022,000000,16.05,16.05,15.75,16.05,0,0
CTE_MV,D,20151023,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151026,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151027,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151028,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151029,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151030,000000,16.05,16.05,16.05,16.05,0,0
CTE_MV,D,20151103,000000,16.05,16.05,15,15,0,0
CTE_MV,D,20151104,000000,15.03,16.77,15.03,16.77,0,0
CTE_MV,D,20151105,000000,16.77,16.77,16.77,16.77,0,0
CTE_MV,D,20151106,000000,16.77,16.77,15,16.11,0,0
CTE_MV,D,20151109,000000,16.08,16.08,15,15,0,0
CTE_MV,D,20151110,000000,15.03,15.3,15.03,15.3,0,0
CTE_MV,D,20151117,000000,15.36,16.11,15.33,16.11,0,0
CTE_MV,D,20151118,000000,15.9,17.1,15.9,17.1,0,0
CTE_MV,D,20151119,000000,17.1,17.1,15.6,15.9,0,0
CTE_MV,D,20151120,000000,16.17,16.17,15.6,16.08,0,0
CTE_MV,D,20151123,000000,16.35,19.2,15.72,18.9,0,0
CTE_MV,D,20151124,000000,19.65,28.29,19.65,26.7,0,0
CTE_MV,D,20151125,000000,26.76,33,26.67,26.67,0,0
CTE_MV,D,20151126,000000,24.6,27.9,24.6,26.16,0,0
CTE_MV,D,20151127,000000,26.67,26.67,24.15,25.44,0,0
CTE_MV,D,20151130,000000,25.44,29.4,25.44,29.4,0,0
CTE_MV,D,20151201,000000,29.4,29.4,27.15,28.74,0,0
CTE_MV,D,20151202,000000,28.68,28.68,23.1,25.47,0,0
CTE_MV,D,20151203,000000,25.65,25.65,22.29,25.5,0,0
CTE_MV,D,20151204,000000,25.47,25.47,24.57,24.57,0,0
CTE_MV,D,20151207,000000,24.6,24.6,21.3,23.79,0,0
CTE_MV,D,20151208,000000,24.57,24.57,19.95,20.82,0,0
CTE_MV,D,20151209,000000,20.82,20.82,17.79,18.6,0,0
CTE_MV,D,20151210,000000,19.95,19.95,18.6,19.53,0,0
CTE_MV,D,20151211,000000,19.53,20.85,19.53,20.1,0,0
CTE_MV,D,20151214,000000,20.82,20.85,18.9,19.62,0,0
CTE_MV,D,20151215,000000,19.62,20.82,17.73,17.73,0,0
CTE_MV,D,20151216,000000,18.63,18.63,17.7,18.63,0,0
CTE_MV,D,20151217,000000,18.63,19.47,16.5,18.12,0,0
CTE_MV,D,20151218,000000,18.06,18.06,16.5,17.07,0,0
CTE_MV,D,20151221,000000,17.07,17.07,14.73,15.18,0,0
CTE_MV,D,20151222,000000,15.18,15.3,13.98,14.52,0,0
CTE_MV,D,20151223,000000,14.7,14.7,14.4,14.7,0,0
CTE_MV,D,20151228,000000,14.67,14.7,14.25,14.67,0,0
CTE_MV,D,20151229,000000,14.7,14.7,13.5,14.28,0,0
CTE_MV,D,20151230,000000,14.7,15,13.44,15,0,0
CTE_MV,D,20160104,000000,14.97,14.97,12.33,13.17,0,0
CTE_MV,D,20160105,000000,13.17,17.1,12.36,17.1,0,0
CTE_MV,D,20160107,000000,17.34,18.75,16.2,18.75,0,0
CTE_MV,D,20160108,000000,18.75,21.21,18.72,21.21,0,0
CTE_MV,D,20160111,000000,21.69,21.87,19.95,21.87,0,0
CTE_MV,D,20160112,000000,22.5,23.4,21.63,23.4,0,0
CTE_MV,D,20160113,000000,23.94,23.94,22.5,23.1,0,0
CTE_MV,D,20160114,000000,23.1,23.1,21.6,23.1,0,0
CTE_MV,D,20160115,000000,23.1,23.1,21.6,22.65,0,0
CTE_MV,D,20160118,000000,22.65,22.65,21.51,22.2,0,0
CTE_MV,D,20160119,000000,21.9,22.62,21.03,22.62,0,0
CTE_MV,D,20160120,000000,22.59,22.65,22.5,22.62,0,0
CTE_MV,D,20160121,000000,21.3,24.42,20.97,24,0,0
CTE_MV,D,20160122,000000,23.97,24.42,23.97,24.27,0,0
CTE_MV,D,20160125,000000,24.42,24.42,24,24,0,0
CTE_MV,D,20160126,000000,23.13,23.13,21.93,23.13,0,0
CTE_MV,D,20160127,000000,21.99,24.42,21.99,23.4,0,0
CTE_MV,D,20160128,000000,24,24,23.1,23.1,0,0
CTE_MV,D,20160129,000000,23.1,23.4,22.35,23.4,0,0
CTE_MV,D,20160201,000000,23.25,23.25,23.25,23.25,0,0
CTE_MV,D,20160202,000000,23.25,23.25,23.25,23.25,0,0
CTE_MV,D,20160203,000000,23.25,23.25,21.75,23.25,0,0
CTE_MV,D,20160204,000000,23.25,23.25,23.22,23.22,0,0
CTE_MV,D,20160205,000000,23.25,23.25,23.25,23.25,0,0
CTE_MV,D,20160208,000000,23.28,25.5,21.9,25.5,0,0
CTE_MV,D,20160209,000000,25.05,25.05,23.1,23.1,0,0
CTE_MV,D,20160210,000000,24,24,23.1,23.1,0,0
CTE_MV,D,20160211,000000,24,24,20.7,21.6,0,0
CTE_MV,D,20160212,000000,21.54,21.54,21.51,21.51,0,0
CTE_MV,D,20160215,000000,21,21,21,21,0,0
CTE_MV,D,20160216,000000,21,21,20.4,20.97,0,0
CTE_MV,D,20160217,000000,20.97,21.6,20.4,21.6,0,0
CTE_MV,D,20160218,000000,21.6,21.6,21.6,21.6,0,0
CTE_MV,D,20160219,000000,21.45,21.6,21.45,21.6,0,0
CTE_MV,D,20160222,000000,21.6,21.6,20.94,20.94,0,0
CTE_MV,D,20160223,000000,20.85,20.85,20.7,20.7,0,0
CTE_MV,D,20160224,000000,20.7,20.7,20.7,20.7,0,0
CTE_MV,D,20160225,000000,20.55,20.94,20.55,20.94,0,0
CTE_MV,D,20160226,000000,20.94,20.94,20.94,20.94,0,0
CTE_MV,D,20160229,000000,20.94,20.94,20.94,20.94,0,0
CTE_MV,D,20160301,000000,20.94,20.94,19.8,19.8,0,0
CTE_MV,D,20160302,000000,20.94,20.94,20.91,20.94,0,0
CTE_MV,D,20160303,000000,20.94,20.94,20.94,20.94,0,0
CTE_MV,D,20160304,000000,20.94,22.56,20.94,22.56,0,0
CTE_MV,D,20160307,000000,23.55,23.55,21,21,0,0
CTE_MV,D,20160308,000000,20.88,20.94,20.88,20.94,0,0
CTE_MV,D,20160309,000000,20.94,20.94,20.94,20.94,0,0
CTE_MV,D,20160310,000000,20.94,20.94,20.94,20.94,0,0
CTE_MV,D,20160311,000000,20.94,22.5,20.94,21.57,0,0
CTE_MV,D,20160314,000000,21.57,21.87,21.57,21.87,0,0
CTE_MV,D,20160315,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160316,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160317,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160318,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160321,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160322,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160323,000000,21.87,21.87,21.87,21.87,0,0
CTE_MV,D,20160324,000000,21.87,21.93,21.87,21.93,0,0
CTE_MV,D,20160329,000000,21.9,21.9,21.9,21.9,0,0
CTE_MV,D,20160330,000000,21.9,21.9,21.42,21.42,0,0
CTE_MV,D,20160331,000000,21.39,21.39,19.26,20.94,0,0
CTE_MV,D,20160401,000000,21.39,21.39,21.39,21.39,0,0
CTE_MV,D,20160404,000000,20.55,20.55,19.5,19.5,0,0
CTE_MV,D,20160405,000000,20.55,20.55,19.08,19.5,0,0
CTE_MV,D,20160406,000000,19.5,19.5,19.5,19.5,0,0
CTE_MV,D,20160407,000000,20.55,20.55,19.5,19.5,0,0
CTE_MV,D,20160408,000000,20.55,20.55,18.6,19.5,0,0
CTE_MV,D,20160411,000000,20.4,20.4,18.15,19.02,0,0
