<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMU_PB,D,20080212,000000,18.806,18.806,18.806,18.806,0,0
EMU_PB,D,20080213,000000,18.582,18.582,18.582,18.582,0,0
EMU_PB,D,20080214,000000,17.91,18.806,17.91,17.91,0,0
EMU_PB,D,20080215,000000,17.91,19.03,17.014,17.817,0,0
EMU_PB,D,20080218,000000,17.817,17.817,17.817,17.817,0,0
EMU_PB,D,20080219,000000,17.014,17.06,16.612,16.612,0,0
EMU_PB,D,20080220,000000,16.574,17.47,16.574,17.47,0,0
EMU_PB,D,20080221,000000,17.47,17.47,17.47,17.47,0,0
EMU_PB,D,20080222,000000,16.574,17.833,16.574,17.817,0,0
EMU_PB,D,20080225,000000,17.817,17.817,15.755,17.686,0,0
EMU_PB,D,20080226,000000,15.716,17.238,15.716,15.902,0,0
EMU_PB,D,20080227,000000,17.246,17.246,15.763,17.014,0,0
EMU_PB,D,20080228,000000,15.678,15.678,15.678,15.678,0,0
EMU_PB,D,20080229,000000,15.678,15.678,14.782,15.539,0,0
EMU_PB,D,20080303,000000,14.326,14.326,13.214,13.886,0,0
EMU_PB,D,20080305,000000,13.886,13.886,12.535,12.813,0,0
EMU_PB,D,20080306,000000,12.813,12.813,11.87,12.496,0,0
EMU_PB,D,20080307,000000,12.318,12.318,11.693,12.094,0,0
EMU_PB,D,20080310,000000,12.094,12.094,12.094,12.094,0,0
EMU_PB,D,20080311,000000,11.87,12.094,11.639,12.094,0,0
EMU_PB,D,20080312,000000,11.237,13.392,11.237,13.392,0,0
EMU_PB,D,20080313,000000,12.094,13.214,12.094,12.759,0,0
EMU_PB,D,20080314,000000,12.087,12.627,12.087,12.627,0,0
EMU_PB,D,20080317,000000,11.863,13.345,11.731,13.345,0,0
EMU_PB,D,20080320,000000,11.639,12.759,11.639,12.759,0,0
EMU_PB,D,20080325,000000,11.639,11.863,11.639,11.863,0,0
EMU_PB,D,20080326,000000,11.685,11.685,11.685,11.685,0,0
EMU_PB,D,20080327,000000,12.264,12.264,12.264,12.264,0,0
EMU_PB,D,20080328,000000,12.264,12.264,12.264,12.264,0,0
EMU_PB,D,20080402,000000,11.422,11.422,11.422,11.422,0,0
EMU_PB,D,20080403,000000,11.422,11.422,11.422,11.422,0,0
EMU_PB,D,20080404,000000,10.434,10.434,10.388,10.388,0,0
EMU_PB,D,20080407,000000,10.388,10.519,9.623,9.631,0,0
EMU_PB,D,20080408,000000,9.4067,9.631,9.0978,9.631,0,0
EMU_PB,D,20080409,000000,9.175,9.4067,9.175,9.175,0,0
EMU_PB,D,20080410,000000,9.399,10.071,9.399,10.071,0,0
EMU_PB,D,20080411,000000,10.071,10.071,9.893,9.893,0,0
EMU_PB,D,20080415,000000,9.399,10.256,9.399,9.808,0,0
EMU_PB,D,20080416,000000,9.808,10.743,9.808,10.303,0,0
EMU_PB,D,20080417,000000,10.758,11.422,10.758,11.368,0,0
EMU_PB,D,20080418,000000,11.368,11.368,10.519,10.527,0,0
EMU_PB,D,20080421,000000,10.48,10.48,8.9588,8.9588,0,0
EMU_PB,D,20080422,000000,9.3604,10.256,8.5494,9.577,0,0
EMU_PB,D,20080423,000000,9.399,9.4067,9.399,9.4067,0,0
EMU_PB,D,20080424,000000,8.5494,9.538,8.4182,9.538,0,0
EMU_PB,D,20080425,000000,8.8661,9.2677,8.8661,9.2677,0,0
EMU_PB,D,20080428,000000,8.9588,9.631,8.9588,9.3604,0,0
EMU_PB,D,20080429,000000,9.4453,12.087,9.4453,11.863,0,0
EMU_PB,D,20080430,000000,12.048,15.353,12.048,14.55,0,0
EMU_PB,D,20080505,000000,15.222,16.249,15.222,16.211,0,0
EMU_PB,D,20080506,000000,16.211,16.211,14.643,15.539,0,0
EMU_PB,D,20080507,000000,15.67,15.67,13.122,14.326,0,0
EMU_PB,D,20080508,000000,14.55,15.624,14.326,15.585,0,0
EMU_PB,D,20080509,000000,15.585,15.585,14.195,15.184,0,0
EMU_PB,D,20080512,000000,15.315,15.315,12.589,14.017,0,0
EMU_PB,D,20080513,000000,13.029,13.43,12.318,13.43,0,0
EMU_PB,D,20080514,000000,12.535,13.43,12.133,12.133,0,0
EMU_PB,D,20080515,000000,13.214,13.214,12.094,12.133,0,0
EMU_PB,D,20080516,000000,12.094,12.133,11.639,12.094,0,0
EMU_PB,D,20080519,000000,11.198,11.639,11.198,11.6,0,0
EMU_PB,D,20080520,000000,11.639,11.639,10.743,11.198,0,0
EMU_PB,D,20080521,000000,10.743,11.198,10.303,11.152,0,0
EMU_PB,D,20080526,000000,11.191,11.198,11.191,11.198,0,0
EMU_PB,D,20080527,000000,11.198,11.198,9.538,9.723,0,0
EMU_PB,D,20080528,000000,9.631,10.079,8.9588,9.986,0,0
EMU_PB,D,20080529,000000,9.986,10.519,9.855,9.855,0,0
EMU_PB,D,20080530,000000,10.303,10.527,10.303,10.527,0,0
EMU_PB,D,20080602,000000,9.901,10.071,9.538,9.986,0,0
EMU_PB,D,20080603,000000,10.025,10.426,9.623,9.986,0,0
EMU_PB,D,20080604,000000,9.986,9.986,9.986,9.986,0,0
EMU_PB,D,20080605,000000,10.256,10.256,10.164,10.164,0,0
EMU_PB,D,20080606,000000,10.164,10.164,10.164,10.164,0,0
EMU_PB,D,20080609,000000,9.631,9.631,8.9588,9.0437,0,0
EMU_PB,D,20080610,000000,8.7348,9.4067,8.5958,9.175,0,0
EMU_PB,D,20080611,000000,9.1364,9.577,9.1364,9.538,0,0
EMU_PB,D,20080612,000000,9.577,9.631,9.4994,9.577,0,0
EMU_PB,D,20080613,000000,9.577,9.631,9.4917,9.631,0,0
EMU_PB,D,20080616,000000,9.4994,10.928,9.4994,10.928,0,0
EMU_PB,D,20080617,000000,10.928,12.094,10.743,11.422,0,0
EMU_PB,D,20080618,000000,11.507,11.955,10.967,11.863,0,0
