<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEM_PB,D,20111214,000000,3.7729,3.7729,3.7729,3.7729,0,0
FEM_PB,D,20111215,000000,3.7729,3.9153,3.7729,3.9153,0,0
FEM_PB,D,20111216,000000,3.7096,3.7096,3.6226,3.6226,0,0
FEM_PB,D,20111219,000000,3.5672,3.6858,3.5672,3.6858,0,0
FEM_PB,D,20111220,000000,3.6226,3.6226,3.6226,3.6226,0,0
FEM_PB,D,20111221,000000,3.7096,3.7729,3.7096,3.7729,0,0
FEM_PB,D,20111223,000000,3.7729,4.1762,3.7729,3.9153,0,0
FEM_PB,D,20111227,000000,4.1446,4.1446,4.1209,4.1209,0,0
FEM_PB,D,20111228,000000,4.1446,4.1762,3.8599,4.1446,0,0
FEM_PB,D,20111229,000000,3.9153,4.1446,3.9153,4.1446,0,0
FEM_PB,D,20111230,000000,3.9468,3.9468,3.9468,3.9468,0,0
FEM_PB,D,20120102,000000,3.8599,4.4372,3.8599,4.3503,0,0
FEM_PB,D,20120103,000000,4.2632,4.2632,3.7096,3.7729,0,0
FEM_PB,D,20120104,000000,3.7966,3.7966,3.7966,3.7966,0,0
FEM_PB,D,20120111,000000,3.7966,3.9153,3.7966,3.9153,0,0
FEM_PB,D,20120112,000000,3.9153,3.9153,3.9153,3.9153,0,0
FEM_PB,D,20120113,000000,3.9153,3.9153,3.9153,3.9153,0,0
FEM_PB,D,20120116,000000,4.0893,4.0893,4.0893,4.0893,0,0
FEM_PB,D,20120117,000000,4.2079,4.2949,4.2079,4.2949,0,0
FEM_PB,D,20120118,000000,4.2079,4.2079,4.2079,4.2079,0,0
FEM_PB,D,20120124,000000,4.0576,4.0576,3.7729,3.7729,0,0
FEM_PB,D,20120125,000000,3.9153,3.9153,3.9153,3.9153,0,0
FEM_PB,D,20120201,000000,3.8282,3.8836,3.7729,3.7729,0,0
FEM_PB,D,20120202,000000,3.7966,4.0576,3.7729,4.0576,0,0
FEM_PB,D,20120203,000000,3.8282,3.8282,3.7729,3.7966,0,0
FEM_PB,D,20120207,000000,3.9153,3.9153,3.7966,3.7966,0,0
FEM_PB,D,20120208,000000,3.7966,3.7966,3.7966,3.7966,0,0
FEM_PB,D,20120209,000000,3.7096,3.7096,3.0452,3.6226,0,0
FEM_PB,D,20120210,000000,3.0452,3.0452,3.0452,3.0452,0,0
FEM_PB,D,20120213,000000,3.4802,3.7729,3.4802,3.7729,0,0
FEM_PB,D,20120214,000000,3.6226,3.7966,3.5355,3.5355,0,0
FEM_PB,D,20120215,000000,3.5355,3.5355,3.5355,3.5355,0,0
FEM_PB,D,20120216,000000,3.504,3.504,3.3695,3.504,0,0
FEM_PB,D,20120217,000000,3.4011,3.4011,3.4011,3.4011,0,0
FEM_PB,D,20120220,000000,3.3695,3.3695,3.3695,3.3695,0,0
FEM_PB,D,20120221,000000,3.4802,3.504,3.4802,3.504,0,0
