<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FKD_PB,D,20130321,000000,3.32,3.32,3.32,3.32,0,0
FKD_PB,D,20130322,000000,3.5,5.02,3.39,3.65,0,0
FKD_PB,D,20130325,000000,3.91,4.39,3.17,3.28,0,0
FKD_PB,D,20130326,000000,2.99,3.39,2.99,2.99,0,0
FKD_PB,D,20130327,000000,3.32,3.36,2.99,3.28,0,0
FKD_PB,D,20130328,000000,3.28,3.5,2.77,3.5,0,0
FKD_PB,D,20130402,000000,3.14,3.17,2.8,3.17,0,0
FKD_PB,D,20130403,000000,2.73,2.99,2.73,2.99,0,0
FKD_PB,D,20130404,000000,2.58,2.77,2.47,2.77,0,0
FKD_PB,D,20130405,000000,2.77,2.77,2.77,2.77,0,0
FKD_PB,D,20130409,000000,2.4,2.58,2.21,2.58,0,0
FKD_PB,D,20130412,000000,2.4,2.4,2.4,2.4,0,0
FKD_PB,D,20130417,000000,2.21,2.21,2.21,2.21,0,0
FKD_PB,D,20130418,000000,2.03,2.21,1.84,2.21,0,0
FKD_PB,D,20130419,000000,2.21,2.21,2.21,2.21,0,0
FKD_PB,D,20130422,000000,2.06,2.06,2.06,2.06,0,0
FKD_PB,D,20130425,000000,2.06,2.06,2.06,2.06,0,0
FKD_PB,D,20130426,000000,2.06,2.06,1.77,1.92,0,0
FKD_PB,D,20130429,000000,2.29,2.29,2.29,2.29,0,0
FKD_PB,D,20130430,000000,2.03,2.03,2.03,2.03,0,0
FKD_PB,D,20130506,000000,2.4,2.4,2.4,2.4,0,0
FKD_PB,D,20130507,000000,2.47,2.47,2.47,2.47,0,0
FKD_PB,D,20130508,000000,2.66,2.88,2.66,2.88,0,0
FKD_PB,D,20130510,000000,2.77,2.77,2.77,2.77,0,0
FKD_PB,D,20130513,000000,2.58,2.77,2.58,2.77,0,0
FKD_PB,D,20130515,000000,2.58,2.58,2.58,2.58,0,0
FKD_PB,D,20130516,000000,2.69,2.69,2.69,2.69,0,0
FKD_PB,D,20130522,000000,2.32,2.32,2.32,2.32,0,0
FKD_PB,D,20130531,000000,2.43,2.43,2.06,2.06,0,0
FKD_PB,D,20130618,000000,1.94,2.34,1.94,2.34,0,0
FKD_PB,D,20130619,000000,2.37,2.86,2.37,2.6,0,0
FKD_PB,D,20130620,000000,2.31,2.31,2.08,2.08,0,0
FKD_PB,D,20130621,000000,1.88,2.02,1.88,2.02,0,0
FKD_PB,D,20130624,000000,2.02,2.02,2.02,2.02,0,0
FKD_PB,D,20130701,000000,1.88,1.88,1.88,1.88,0,0
FKD_PB,D,20130710,000000,1.97,2.02,1.97,2.02,0,0
FKD_PB,D,20130715,000000,2.17,2.37,2.17,2.37,0,0
FKD_PB,D,20130716,000000,2.08,2.08,2.08,2.08,0,0
FKD_PB,D,20130723,000000,1.88,1.88,1.88,1.88,0,0
FKD_PB,D,20130724,000000,1.73,2.17,1.62,1.88,0,0
FKD_PB,D,20130725,000000,1.79,1.79,1.79,1.79,0,0
FKD_PB,D,20130801,000000,2.02,2.37,2.02,2.31,0,0
FKD_PB,D,20130805,000000,2.51,2.6,2.31,2.6,0,0
FKD_PB,D,20130806,000000,2.31,2.31,2.31,2.31,0,0
FKD_PB,D,20130813,000000,2.17,2.17,2.02,2.17,0,0
FKD_PB,D,20130816,000000,2.17,2.17,2.17,2.17,0,0
FKD_PB,D,20130904,000000,2.22,2.22,2.22,2.22,0,0
FKD_PB,D,20130911,000000,2.07,2.07,2.07,2.07,0,0
FKD_PB,D,20130919,000000,1.91,2.07,1.91,2.07,0,0
FKD_PB,D,20130920,000000,1.75,2.07,1.75,2.07,0,0
FKD_PB,D,20130923,000000,2.03,2.03,1.75,1.75,0,0
FKD_PB,D,20130927,000000,1.75,2.38,1.59,2.38,0,0
FKD_PB,D,20130930,000000,2.38,2.54,2.38,2.54,0,0
FKD_PB,D,20131003,000000,2.54,3.18,2.54,3.18,0,0
FKD_PB,D,20131004,000000,3.18,3.18,3.18,3.18,0,0
FKD_PB,D,20131007,000000,3.18,3.18,3.18,3.18,0,0
FKD_PB,D,20131011,000000,3.18,3.18,3.18,3.18,0,0
FKD_PB,D,20131014,000000,2.54,2.7,2.13,2.38,0,0
FKD_PB,D,20131017,000000,2.57,2.57,2.57,2.57,0,0
FKD_PB,D,20131018,000000,2.38,2.38,2.22,2.22,0,0
FKD_PB,D,20131021,000000,2.16,2.16,2.16,2.16,0,0
FKD_PB,D,20131022,000000,2.54,2.54,2.54,2.54,0,0
FKD_PB,D,20131023,000000,2.22,2.22,2.22,2.22,0,0
FKD_PB,D,20131025,000000,2.16,2.16,2.07,2.07,0,0
FKD_PB,D,20131028,000000,2.09,2.09,1.78,1.78,0,0
FKD_PB,D,20131029,000000,1.81,1.81,1.75,1.75,0,0
FKD_PB,D,20131203,000000,2.07,2.07,2.07,2.07,0,0
FKD_PB,D,20131212,000000,2.07,2.07,2.07,2.07,0,0
FKD_PB,D,20131227,000000,1.65,1.65,1.65,1.65,0,0
FKD_PB,D,20131230,000000,1.53,1.53,1.24,1.24,0,0
FKD_PB,D,20140102,000000,1.34,1.34,1.27,1.27,0,0
FKD_PB,D,20140103,000000,1.34,1.59,1.34,1.59,0,0
FKD_PB,D,20140107,000000,1.81,1.81,1.59,1.78,0,0
FKD_PB,D,20140108,000000,1.78,1.87,1.62,1.84,0,0
FKD_PB,D,20140109,000000,1.78,1.78,1.59,1.59,0,0
FKD_PB,D,20140110,000000,1.75,1.75,1.75,1.75,0,0
FKD_PB,D,20140117,000000,1.59,1.59,1.59,1.59,0,0
FKD_PB,D,20140120,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140121,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140122,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140123,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140124,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140127,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140128,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140129,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140130,000000,1.68,1.68,1.68,1.68,0,0
FKD_PB,D,20140131,000000,1.68,1.68,1.53,1.53,0,0
FKD_PB,D,20140203,000000,1.53,1.53,1.53,1.53,0,0
