<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPO_MV,D,20120622,000000,20.87,20.87,20.87,20.87,0,0
FPO_MV,D,20120626,000000,20.51,20.51,19.64,19.78,0,0
FPO_MV,D,20120703,000000,19.64,19.64,18.97,19.55,0,0
FPO_MV,D,20120713,000000,19.64,19.64,19.64,19.64,0,0
FPO_MV,D,20120731,000000,19.78,19.78,19.64,19.64,0,0
FPO_MV,D,20120808,000000,19.64,19.64,19.64,19.64,0,0
FPO_MV,D,20120809,000000,19.64,19.64,19.64,19.64,0,0
FPO_MV,D,20120810,000000,19.64,19.64,19.64,19.64,0,0
FPO_MV,D,20120830,000000,19.64,19.64,19.64,19.64,0,0
FPO_MV,D,20120831,000000,19.62,19.64,19.62,19.64,0,0
FPO_MV,D,20120913,000000,19.64,19.78,19.64,19.78,0,0
FPO_MV,D,20120924,000000,19.67,19.67,18.97,18.97,0,0
FPO_MV,D,20121010,000000,19.1,19.1,19.1,19.1,0,0
FPO_MV,D,20121016,000000,18.91,18.91,15.29,18.91,0,0
FPO_MV,D,20121031,000000,18.84,18.91,18.84,18.91,0,0
FPO_MV,D,20121120,000000,18.98,18.98,18.98,18.98,0,0
FPO_MV,D,20121210,000000,19.1,19.1,19.1,19.1,0,0
FPO_MV,D,20121218,000000,19.1,19.1,18.91,18.91,0,0
FPO_MV,D,20130102,000000,19.13,19.13,19.13,19.13,0,0
FPO_MV,D,20130109,000000,19.13,19.13,19.13,19.13,0,0
FPO_MV,D,20130122,000000,19.13,19.13,19.13,19.13,0,0
FPO_MV,D,20130123,000000,19.13,19.13,19.13,19.13,0,0
FPO_MV,D,20130124,000000,19.13,19.13,18.91,18.91,0,0
FPO_MV,D,20130125,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130128,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130129,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130130,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130131,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130201,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130204,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130205,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130206,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130207,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130208,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130211,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130212,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130213,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130214,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130215,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130218,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130219,000000,18.62,18.62,18.62,18.62,0,0
FPO_MV,D,20130225,000000,18.6,18.91,18.6,18.91,0,0
FPO_MV,D,20130226,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130227,000000,18.62,18.62,18.62,18.62,0,0
FPO_MV,D,20130228,000000,18.18,18.18,18.17,18.18,0,0
FPO_MV,D,20130314,000000,18.18,18.37,18.18,18.37,0,0
FPO_MV,D,20130320,000000,18.47,18.76,18.47,18.76,0,0
FPO_MV,D,20130321,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130322,000000,18.91,18.91,18.89,18.89,0,0
FPO_MV,D,20130325,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130326,000000,18.91,18.91,18.91,18.91,0,0
FPO_MV,D,20130327,000000,18.91,18.91,15.27,15.83,0,0
FPO_MV,D,20130411,000000,16,16.41,16,16.41,0,0
FPO_MV,D,20130506,000000,16.29,16.29,16.29,16.29,0,0
FPO_MV,D,20130510,000000,16.16,16.16,15.85,15.85,0,0
FPO_MV,D,20130603,000000,15.87,15.87,15.87,15.87,0,0
FPO_MV,D,20130607,000000,15.71,15.71,12.65,12.65,0,0
FPO_MV,D,20130610,000000,12.8,13.38,12.8,13.24,0,0
FPO_MV,D,20130613,000000,13.24,13.37,13.24,13.27,0,0
FPO_MV,D,20130620,000000,13.16,13.16,13.02,13.02,0,0
FPO_MV,D,20130627,000000,13.02,13.02,13.02,13.02,0,0
FPO_MV,D,20130628,000000,13.02,13.02,12.36,12.36,0,0
FPO_MV,D,20130711,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130712,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130715,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130716,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130717,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130718,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130722,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130723,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130724,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130725,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130729,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130730,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130731,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130801,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130802,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130805,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130806,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130808,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130809,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130813,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130816,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130819,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130820,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130823,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130826,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130827,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130830,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130902,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130903,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130906,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130912,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130916,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130917,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130920,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130925,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130926,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130927,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20130930,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131001,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131002,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131003,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131004,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131007,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131008,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131009,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131010,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131011,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131014,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131015,000000,12.36,12.36,12.36,12.36,0,0
FPO_MV,D,20131016,000000,12.36,12.65,12.36,12.51,0,0
FPO_MV,D,20131017,000000,12.45,12.45,12,12.07,0,0
FPO_MV,D,20131022,000000,12.12,12.73,12.12,12.73,0,0
FPO_MV,D,20131023,000000,12.73,14.4,12.73,13.7,0,0
FPO_MV,D,20131025,000000,14.75,14.75,14.75,14.75,0,0
FPO_MV,D,20131029,000000,14.72,14.72,14.72,14.72,0,0
FPO_MV,D,20131030,000000,14.69,14.69,14.69,14.69,0,0
FPO_MV,D,20131031,000000,14.55,14.55,14.55,14.55,0,0
FPO_MV,D,20131104,000000,14.68,14.68,14.56,14.63,0,0
FPO_MV,D,20131105,000000,14.55,14.55,14.55,14.55,0,0
FPO_MV,D,20131106,000000,14.56,14.56,14.37,14.37,0,0
FPO_MV,D,20131107,000000,14.33,14.33,14.33,14.33,0,0
FPO_MV,D,20131112,000000,14.33,14.33,14.33,14.33,0,0
FPO_MV,D,20131114,000000,14.33,14.33,14.31,14.31,0,0
FPO_MV,D,20131115,000000,14.31,14.31,14.28,14.28,0,0
FPO_MV,D,20131119,000000,14.28,14.28,14.28,14.28,0,0
FPO_MV,D,20131120,000000,14.28,14.28,14.28,14.28,0,0
FPO_MV,D,20131121,000000,14.28,14.28,14.28,14.28,0,0
FPO_MV,D,20131125,000000,14.28,14.28,14.28,14.28,0,0
FPO_MV,D,20131126,000000,14.28,14.28,14.28,14.28,0,0
FPO_MV,D,20131127,000000,14.4,14.4,14.01,14.01,0,0
FPO_MV,D,20131128,000000,14.01,14.01,14.01,14.01,0,0
FPO_MV,D,20131129,000000,14.01,14.01,13.67,13.67,0,0
FPO_MV,D,20131202,000000,13.67,13.67,13.67,13.67,0,0
FPO_MV,D,20131203,000000,13.67,13.67,13.67,13.67,0,0
FPO_MV,D,20131204,000000,13.67,13.67,13.67,13.67,0,0
FPO_MV,D,20131206,000000,13.67,13.67,13.67,13.67,0,0
FPO_MV,D,20131210,000000,13.67,13.67,13.67,13.67,0,0
FPO_MV,D,20131212,000000,13.67,13.67,13.67,13.67,0,0
FPO_MV,D,20131213,000000,13.67,13.88,13.67,13.88,0,0
FPO_MV,D,20131216,000000,13.88,14.31,13.88,13.96,0,0
FPO_MV,D,20131217,000000,13.86,13.86,13.86,13.86,0,0
FPO_MV,D,20131220,000000,13.86,13.86,13.86,13.86,0,0
FPO_MV,D,20131223,000000,13.86,13.86,13.86,13.86,0,0
FPO_MV,D,20131227,000000,13.86,13.86,13.86,13.86,0,0
FPO_MV,D,20140102,000000,13.86,13.86,13.48,13.48,0,0
FPO_MV,D,20140107,000000,13.47,13.47,13.47,13.47,0,0
FPO_MV,D,20140109,000000,13.47,13.47,13.47,13.47,0,0
FPO_MV,D,20140110,000000,13.47,13.47,13.47,13.47,0,0
FPO_MV,D,20140113,000000,13.47,13.47,13.47,13.47,0,0
FPO_MV,D,20140114,000000,13.47,13.47,13.47,13.47,0,0
FPO_MV,D,20140115,000000,13.45,13.53,13.45,13.45,0,0
FPO_MV,D,20140116,000000,13.45,13.45,13.45,13.45,0,0
FPO_MV,D,20140117,000000,13.45,13.45,13.18,13.45,0,0
FPO_MV,D,20140120,000000,13.41,13.41,13.16,13.16,0,0
FPO_MV,D,20140121,000000,13.09,13.09,13.09,13.09,0,0
FPO_MV,D,20140122,000000,13.09,13.09,12.38,12.38,0,0
FPO_MV,D,20140123,000000,12.36,12.36,11.71,11.71,0,0
FPO_MV,D,20140124,000000,11.71,11.71,10.98,10.98,0,0
FPO_MV,D,20140127,000000,10.98,10.98,10.91,10.97,0,0
FPO_MV,D,20140128,000000,11.05,11.14,11.05,11.14,0,0
FPO_MV,D,20140210,000000,10.82,10.82,10.47,10.47,0,0
FPO_MV,D,20140212,000000,10.47,10.47,10.47,10.47,0,0
FPO_MV,D,20140218,000000,10.49,10.68,10.49,10.68,0,0
FPO_MV,D,20140219,000000,11.64,11.64,10.66,10.66,0,0
FPO_MV,D,20140220,000000,10.82,11.11,10.82,11.11,0,0
FPO_MV,D,20140221,000000,11.14,11.3,11.14,11.21,0,0
FPO_MV,D,20140224,000000,11.21,11.21,11.21,11.21,0,0
FPO_MV,D,20140225,000000,11.2,11.2,11.2,11.2,0,0
FPO_MV,D,20140310,000000,11.14,11.14,10.76,10.76,0,0
FPO_MV,D,20140314,000000,10.72,10.72,10.62,10.62,0,0
FPO_MV,D,20140403,000000,10.69,10.69,10.69,10.69,0,0
FPO_MV,D,20140408,000000,10.76,10.84,10.76,10.84,0,0
FPO_MV,D,20140410,000000,10.62,10.62,10.25,10.25,0,0
FPO_MV,D,20140425,000000,8.73,9.02,8.73,9.02,0,0
FPO_MV,D,20140513,000000,9.02,9.02,9.02,9.02,0,0
FPO_MV,D,20140514,000000,9.02,9.45,9.02,9.45,0,0
FPO_MV,D,20140523,000000,9.45,9.61,9.45,9.61,0,0
FPO_MV,D,20140611,000000,9.69,9.76,9.69,9.76,0,0
FPO_MV,D,20140702,000000,9.75,9.89,9.75,9.89,0,0
FPO_MV,D,20140717,000000,10.11,10.11,10.11,10.11,0,0
FPO_MV,D,20140729,000000,10.04,10.04,9.82,9.82,0,0
FPO_MV,D,20140730,000000,9.89,10.04,9.89,10.04,0,0
FPO_MV,D,20140731,000000,10.18,10.18,10.18,10.18,0,0
FPO_MV,D,20140801,000000,10.18,10.18,10.18,10.18,0,0
FPO_MV,D,20140808,000000,10.18,10.24,10.18,10.24,0,0
FPO_MV,D,20140826,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140827,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140828,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140829,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140901,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140902,000000,10.12,10.12,10.09,10.09,0,0
FPO_MV,D,20140903,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140904,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140905,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140908,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140909,000000,10.12,10.12,10.01,10.01,0,0
FPO_MV,D,20140910,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140911,000000,10.12,10.12,10.12,10.12,0,0
FPO_MV,D,20140912,000000,10.07,10.07,10.07,10.07,0,0
FPO_MV,D,20140919,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20140922,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20140925,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20140926,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20140929,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141001,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141006,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141007,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141010,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141013,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141014,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141015,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141016,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141017,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141020,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141021,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141022,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141023,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141024,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141027,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141028,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141029,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141030,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141031,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141103,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141104,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141105,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141106,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141107,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141110,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141112,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141113,000000,10.01,10.01,10.01,10.01,0,0
FPO_MV,D,20141117,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141118,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141119,000000,10.01,10.01,10.01,10.01,0,0
FPO_MV,D,20141120,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141121,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141124,000000,10.01,10.01,10.01,10.01,0,0
FPO_MV,D,20141125,000000,10.01,10.01,10.01,10.01,0,0
FPO_MV,D,20141126,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141127,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20141128,000000,10.01,10.01,10.01,10.01,0,0
FPO_MV,D,20141201,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141202,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141203,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141204,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141205,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141208,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141209,000000,10.15,10.15,10.15,10.15,0,0
FPO_MV,D,20141210,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141211,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141212,000000,10.15,10.15,10.15,10.15,0,0
FPO_MV,D,20141215,000000,10.15,10.15,10.15,10.15,0,0
FPO_MV,D,20141216,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141217,000000,10.15,10.15,10.15,10.15,0,0
FPO_MV,D,20141218,000000,10.15,10.15,10.15,10.15,0,0
FPO_MV,D,20141219,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141222,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141223,000000,10.17,10.17,10.17,10.17,0,0
FPO_MV,D,20141229,000000,10.15,10.15,10.15,10.15,0,0
FPO_MV,D,20150102,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20150105,000000,10.01,10.01,10.01,10.01,0,0
FPO_MV,D,20150107,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20150108,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20150109,000000,10.04,10.04,10.04,10.04,0,0
FPO_MV,D,20150112,000000,9.96,9.96,9.96,9.96,0,0
FPO_MV,D,20150126,000000,9.45,9.45,7.78,8,0,0
FPO_MV,D,20150127,000000,7.93,7.93,7.93,7.93,0,0
FPO_MV,D,20150202,000000,7.75,7.75,7.75,7.75,0,0
FPO_MV,D,20150203,000000,7.71,7.71,7.71,7.71,0,0
FPO_MV,D,20150204,000000,7.71,7.71,7.71,7.71,0,0
FPO_MV,D,20150205,000000,7.71,7.71,7.71,7.71,0,0
FPO_MV,D,20150206,000000,7.71,7.71,7.71,7.71,0,0
FPO_MV,D,20150209,000000,7.71,7.71,7.71,7.71,0,0
FPO_MV,D,20150210,000000,7.71,7.71,7.71,7.71,0,0
FPO_MV,D,20150211,000000,7.71,7.71,7.51,7.51,0,0
FPO_MV,D,20150212,000000,7.51,7.51,7.51,7.51,0,0
FPO_MV,D,20150213,000000,7.51,7.51,7.51,7.51,0,0
FPO_MV,D,20150216,000000,7.51,7.51,6.25,6.25,0,0
FPO_MV,D,20150217,000000,5.89,5.89,5.75,5.75,0,0
FPO_MV,D,20150223,000000,5.53,5.53,5.53,5.53,0,0
FPO_MV,D,20150224,000000,5.53,5.53,5.53,5.53,0,0
FPO_MV,D,20150227,000000,4.95,4.95,4.35,4.35,0,0
FPO_MV,D,20150304,000000,4.03,4.03,4.03,4.03,0,0
FPO_MV,D,20150306,000000,3.68,3.68,3.68,3.68,0,0
FPO_MV,D,20150309,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150310,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150311,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150312,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150313,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150316,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150317,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150318,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150319,000000,3.64,3.64,3.64,3.64,0,0
FPO_MV,D,20150325,000000,3.64,3.64,3.64,3.64,0,0
