<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAL_MV,D,20101021,000000,17.8,17.8,17.8,17.8,0,0
GAL_MV,D,20101025,000000,17.4,17.4,17.2,17.2,0,0
GAL_MV,D,20101026,000000,17.2,17.2,17.2,17.2,0,0
GAL_MV,D,20101027,000000,17.2,17.64,17.2,17.64,0,0
GAL_MV,D,20101028,000000,17.72,17.92,17.6,17.6,0,0
GAL_MV,D,20101029,000000,17.6,17.6,17.52,17.6,0,0
GAL_MV,D,20101102,000000,17.6,17.6,17.6,17.6,0,0
GAL_MV,D,20101103,000000,17.56,17.56,17.32,17.32,0,0
GAL_MV,D,20101105,000000,17.4,17.56,17.4,17.56,0,0
GAL_MV,D,20101108,000000,17.56,17.56,16.56,17.24,0,0
GAL_MV,D,20101109,000000,16.8,17.04,16.8,17.04,0,0
GAL_MV,D,20101110,000000,16.68,16.68,16.68,16.68,0,0
GAL_MV,D,20101112,000000,16.6,16.72,16,16.72,0,0
GAL_MV,D,20101115,000000,16.4,16.48,15.6,16.24,0,0
GAL_MV,D,20101116,000000,16.32,17.56,16,16.4,0,0
GAL_MV,D,20101117,000000,16.4,16.68,16.4,16.68,0,0
GAL_MV,D,20101118,000000,16.6,16.6,16.6,16.6,0,0
GAL_MV,D,20101119,000000,16.68,16.68,16,16,0,0
GAL_MV,D,20101122,000000,16,16.08,16,16,0,0
GAL_MV,D,20101123,000000,16,16.04,16,16,0,0
GAL_MV,D,20101124,000000,16,16,16,16,0,0
GAL_MV,D,20101125,000000,16,16.16,15.68,16.16,0,0
GAL_MV,D,20101126,000000,15.8,16,15.4,15.8,0,0
GAL_MV,D,20101129,000000,16,16,15.4,15.4,0,0
GAL_MV,D,20101130,000000,15.48,15.8,15.4,15.4,0,0
GAL_MV,D,20101201,000000,15.4,15.4,15.4,15.4,0,0
GAL_MV,D,20101202,000000,16,16,15.8,15.8,0,0
GAL_MV,D,20101203,000000,16,16,15.4,16,0,0
GAL_MV,D,20101206,000000,16,16,14.4,14.8,0,0
GAL_MV,D,20101207,000000,15,15.4,14.8,15.4,0,0
GAL_MV,D,20101208,000000,15.4,15.6,15.4,15.6,0,0
GAL_MV,D,20101209,000000,15.4,15.6,15.2,15.6,0,0
GAL_MV,D,20101210,000000,15.2,15.6,15.2,15.6,0,0
GAL_MV,D,20101213,000000,15.4,15.4,15.4,15.4,0,0
GAL_MV,D,20101214,000000,15.2,15.6,15.2,15.6,0,0
GAL_MV,D,20101215,000000,15.2,15.36,15.2,15.36,0,0
GAL_MV,D,20101216,000000,15.36,15.36,15.36,15.36,0,0
GAL_MV,D,20101217,000000,15.44,15.44,15.44,15.44,0,0
GAL_MV,D,20101220,000000,15.6,15.6,15.6,15.6,0,0
