<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHY_PE,D,20110415,000000,169.83,169.83,169.83,169.83,0,0
GHY_PE,D,20110418,000000,165.84,174.7,161.7,162.2,0,0
GHY_PE,D,20110419,000000,167.25,174.05,163.76,169.83,0,0
GHY_PE,D,20110420,000000,170.64,184.99,170.64,181.52,0,0
GHY_PE,D,20110421,000000,183,191.89,178.2,178.68,0,0
GHY_PE,D,20110426,000000,178.87,178.87,165.84,170.49,0,0
GHY_PE,D,20110427,000000,163.1,168.57,155.55,156.73,0,0
GHY_PE,D,20110428,000000,155.65,161.12,155.65,160.86,0,0
GHY_PE,D,20110429,000000,160.38,160.38,155.55,159.46,0,0
GHY_PE,D,20110502,000000,154.22,158.96,153.49,157.39,0,0
GHY_PE,D,20110504,000000,157.63,157.63,150.75,153.32,0,0
GHY_PE,D,20110505,000000,152.82,155.38,149.42,155.38,0,0
GHY_PE,D,20110506,000000,154.9,154.9,148.02,148.5,0,0
GHY_PE,D,20110509,000000,152.82,152.82,144.61,148.5,0,0
GHY_PE,D,20110510,000000,149.42,149.42,134.99,136.06,0,0
GHY_PE,D,20110511,000000,141.14,143.2,137.06,140.88,0,0
GHY_PE,D,20110512,000000,141.86,141.86,127.45,136.82,0,0
GHY_PE,D,20110513,000000,131.59,141.14,131.59,138.14,0,0
GHY_PE,D,20110516,000000,133.66,137.72,123.39,129.93,0,0
GHY_PE,D,20110517,000000,130.18,130.18,117.83,120.98,0,0
GHY_PE,D,20110518,000000,122.63,122.63,102.83,108.62,0,0
GHY_PE,D,20110519,000000,110.54,116.75,103.66,106.56,0,0
GHY_PE,D,20110520,000000,109.62,117.16,107.63,113.44,0,0
GHY_PE,D,20110523,000000,115.09,115.84,108.29,114.1,0,0
GHY_PE,D,20110524,000000,113.77,113.77,104.14,110.69,0,0
GHY_PE,D,20110525,000000,110.36,113.11,104.81,109.95,0,0
GHY_PE,D,20110526,000000,111.02,115.09,103.48,109.95,0,0
GHY_PE,D,20110527,000000,109.62,123.39,109.62,120.32,0,0
GHY_PE,D,20110530,000000,120.66,173.88,120.66,173.88,0,0
GHY_PE,D,20110531,000000,201.49,205.56,161.7,162.2,0,0
GHY_PE,D,20110601,000000,158.04,170.07,141.71,145.68,0,0
GHY_PE,D,20110602,000000,150.75,168.57,141.14,148.5,0,0
GHY_PE,D,20110603,000000,150.08,150.75,128.85,132.01,0,0
GHY_PE,D,20110606,000000,135.66,142.54,122.63,134.09,0,0
GHY_PE,D,20110607,000000,129.51,133.66,123.39,130.6,0,0
GHY_PE,D,20110608,000000,130.18,130.18,121.31,128.11,0,0
GHY_PE,D,20110812,000000,40.051,40.051,40.051,40.051,0,0
GHY_PE,D,20110816,000000,40.962,40.962,33.003,35.905,0,0
GHY_PE,D,20110817,000000,36.817,36.817,31.675,36.567,0,0
GHY_PE,D,20110818,000000,35.572,35.572,31.675,33.003,0,0
GHY_PE,D,20110819,000000,33.003,33.003,31.343,32.671,0,0
GHY_PE,D,20110822,000000,31.675,34.577,31.675,33.003,0,0
GHY_PE,D,20110823,000000,32.006,34.577,30.762,31.758,0,0
GHY_PE,D,20110824,000000,31.841,31.841,30.515,31.426,0,0
GHY_PE,D,20110825,000000,31.343,31.675,30.432,31.426,0,0
GHY_PE,D,20110826,000000,31.343,32.006,30.1,32.006,0,0
GHY_PE,D,20110829,000000,32.006,34.245,31.093,31.758,0,0
GHY_PE,D,20110830,000000,31.841,33.416,31.093,31.093,0,0
GHY_PE,D,20110831,000000,31.093,31.675,30.432,31.426,0,0
GHY_PE,D,20110901,000000,30.762,31.675,30.432,31.093,0,0
GHY_PE,D,20110902,000000,29.77,31.426,27.861,31.426,0,0
GHY_PE,D,20110905,000000,31.343,31.343,27.197,29.77,0,0
GHY_PE,D,20110906,000000,29.437,30.762,29.437,30.432,0,0
GHY_PE,D,20110907,000000,30.1,31.093,28.525,30.432,0,0
GHY_PE,D,20110908,000000,30.1,30.1,28.525,28.525,0,0
GHY_PE,D,20110909,000000,28.192,31.093,28.192,30.432,0,0
GHY_PE,D,20110912,000000,29.437,30.1,26.535,28.857,0,0
GHY_PE,D,20110913,000000,28.773,30.432,26.535,29.519,0,0
GHY_PE,D,20110914,000000,28.275,29.27,27.943,28.857,0,0
GHY_PE,D,20110915,000000,28.773,30.1,28.192,30.1,0,0
GHY_PE,D,20110916,000000,29.437,37.811,29.437,35.24,0,0
GHY_PE,D,20110919,000000,35.822,36.817,29.437,33.334,0,0
GHY_PE,D,20110920,000000,33.584,38.059,33.584,36.567,0,0
GHY_PE,D,20110921,000000,36.817,38.391,34.577,38.143,0,0
GHY_PE,D,20110922,000000,35.572,40.051,33.003,33.003,0,0
GHY_PE,D,20110923,000000,35.24,38.391,33.584,37.479,0,0
GHY_PE,D,20110926,000000,37.479,43.533,34.577,39.718,0,0
GHY_PE,D,20110927,000000,40.631,40.962,37.479,38.143,0,0
GHY_PE,D,20110928,000000,39.056,40.299,36.153,37.479,0,0
GHY_PE,D,20110929,000000,37.811,37.811,33.914,34.328,0,0
GHY_PE,D,20110930,000000,37.562,39.885,36.318,39.718,0,0
GHY_PE,D,20111003,000000,37.147,38.391,34.577,37.147,0,0
GHY_PE,D,20111004,000000,35.822,37.479,35.24,37.479,0,0
GHY_PE,D,20111005,000000,37.479,37.479,33.584,33.997,0,0
GHY_PE,D,20111006,000000,35.822,36.817,32.671,35.24,0,0
GHY_PE,D,20111007,000000,35.24,36.236,33.914,36.236,0,0
GHY_PE,D,20111010,000000,36.485,37.147,34.577,35.572,0,0
GHY_PE,D,20111011,000000,35.822,37.147,35.24,35.905,0,0
GHY_PE,D,20111012,000000,36.817,37.147,35.822,35.905,0,0
GHY_PE,D,20111013,000000,35.822,36.485,33.584,35.24,0,0
GHY_PE,D,20111014,000000,36.153,36.153,32.338,35.572,0,0
GHY_PE,D,20111017,000000,35.24,35.24,33.584,35.24,0,0
GHY_PE,D,20111018,000000,33.584,34.328,32.006,34.328,0,0
GHY_PE,D,20111019,000000,34.412,34.412,32.752,33.997,0,0
GHY_PE,D,20111020,000000,34.245,34.245,32.671,32.671,0,0
GHY_PE,D,20111021,000000,32.671,34.245,32.006,32.006,0,0
GHY_PE,D,20111024,000000,32.006,35.24,31.343,34.328,0,0
GHY_PE,D,20111025,000000,32.422,32.752,30.847,32.006,0,0
GHY_PE,D,20111026,000000,32.006,32.006,30.762,32.006,0,0
GHY_PE,D,20111027,000000,31.675,33.997,30.762,33.997,0,0
GHY_PE,D,20111028,000000,33.914,33.914,32.006,33.666,0,0
GHY_PE,D,20111031,000000,32.338,33.666,31.093,33.666,0,0
GHY_PE,D,20111102,000000,31.675,32.671,30.762,32.671,0,0
GHY_PE,D,20111103,000000,32.006,32.671,30.762,32.671,0,0
GHY_PE,D,20111104,000000,33.003,33.584,30.762,30.762,0,0
GHY_PE,D,20111107,000000,30.762,32.671,30.432,32.671,0,0
GHY_PE,D,20111108,000000,32.671,32.671,30.762,30.762,0,0
GHY_PE,D,20111109,000000,31.343,31.343,30.432,31.093,0,0
GHY_PE,D,20111110,000000,30.762,31.758,30.1,31.758,0,0
GHY_PE,D,20111114,000000,31.841,32.752,31.509,32.671,0,0
GHY_PE,D,20111115,000000,31.675,31.675,26.865,29.519,0,0
GHY_PE,D,20111116,000000,28.607,28.607,27.032,28.525,0,0
GHY_PE,D,20111117,000000,27.197,28.192,24.295,28.192,0,0
GHY_PE,D,20111118,000000,27.197,28.525,26.865,28.192,0,0
GHY_PE,D,20111121,000000,27.197,27.861,27.197,27.861,0,0
GHY_PE,D,20111122,000000,28.192,32.338,27.197,32.338,0,0
GHY_PE,D,20111123,000000,32.671,32.671,30.432,32.006,0,0
GHY_PE,D,20111124,000000,32.422,32.422,30.183,31.26,0,0
GHY_PE,D,20111125,000000,31.26,31.26,28.607,31.26,0,0
GHY_PE,D,20111128,000000,30.929,31.26,28.607,31.26,0,0
GHY_PE,D,20111129,000000,30.929,35.822,30.183,32.338,0,0
GHY_PE,D,20111130,000000,33.416,33.416,30.017,32.006,0,0
GHY_PE,D,20111201,000000,32.006,32.006,29.437,30.515,0,0
GHY_PE,D,20111202,000000,30.515,30.515,27.861,27.861,0,0
GHY_PE,D,20111205,000000,27.861,27.861,24.461,26.701,0,0
GHY_PE,D,20111206,000000,24.461,26.036,23.383,25.954,0,0
GHY_PE,D,20111207,000000,25.291,25.291,22.638,25.207,0,0
GHY_PE,D,20111208,000000,24.461,24.461,22.221,24.129,0,0
GHY_PE,D,20111209,000000,23.383,24.129,22.969,24.129,0,0
GHY_PE,D,20111212,000000,24.461,24.461,22.969,23.715,0,0
GHY_PE,D,20111213,000000,24.129,24.129,23.301,23.301,0,0
GHY_PE,D,20111214,000000,23.301,23.715,22.471,23.715,0,0
GHY_PE,D,20111215,000000,24.129,24.129,22.638,23.301,0,0
GHY_PE,D,20111216,000000,22.471,22.471,19.486,20.316,0,0
GHY_PE,D,20111219,000000,21.144,21.144,20.731,20.731,0,0
GHY_PE,D,20111220,000000,21.89,21.89,19.983,21.808,0,0
GHY_PE,D,20111221,000000,21.725,22.221,19.486,22.221,0,0
GHY_PE,D,20111222,000000,22.221,22.221,19.237,21.808,0,0
GHY_PE,D,20111223,000000,22.14,22.14,20.648,21.476,0,0
GHY_PE,D,20111227,000000,21.89,21.89,20.316,20.316,0,0
GHY_PE,D,20111228,000000,20.316,20.316,20.316,20.316,0,0
GHY_PE,D,20111229,000000,20.316,22.969,20.316,22.969,0,0
GHY_PE,D,20111230,000000,22.969,22.969,21.808,21.808,0,0
GHY_PE,D,20120102,000000,20.979,30.847,20.979,30.847,0,0
GHY_PE,D,20120103,000000,31.675,35.406,29.437,30.847,0,0
GHY_PE,D,20120104,000000,27.861,29.021,26.369,27.861,0,0
GHY_PE,D,20120105,000000,27.861,27.861,25.291,26.369,0,0
GHY_PE,D,20120109,000000,25.623,25.623,23.383,24.129,0,0
GHY_PE,D,20120110,000000,24.129,25.291,23.301,23.301,0,0
GHY_PE,D,20120111,000000,22.471,22.471,21.476,21.476,0,0
GHY_PE,D,20120112,000000,20.731,24.461,20.731,24.129,0,0
GHY_PE,D,20120113,000000,23.715,24.876,22.638,23.301,0,0
GHY_PE,D,20120116,000000,23.301,24.129,23.301,24.129,0,0
GHY_PE,D,20120117,000000,22.638,24.461,22.638,23.301,0,0
GHY_PE,D,20120118,000000,22.885,24.461,21.725,24.461,0,0
GHY_PE,D,20120119,000000,22.969,23.383,22.638,23.301,0,0
GHY_PE,D,20120120,000000,24.047,26.285,24.047,25.207,0,0
GHY_PE,D,20120123,000000,24.129,32.752,23.715,28.607,0,0
GHY_PE,D,20120124,000000,29.021,33.914,27.861,30.847,0,0
GHY_PE,D,20120125,000000,30.929,31.675,28.275,29.77,0,0
GHY_PE,D,20120126,000000,29.437,30.929,28.607,30.1,0,0
GHY_PE,D,20120127,000000,30.515,32.006,29.021,30.515,0,0
GHY_PE,D,20120130,000000,29.021,30.183,28.275,29.353,0,0
GHY_PE,D,20120131,000000,29.437,32.422,29.021,30.847,0,0
GHY_PE,D,20120201,000000,32.422,32.422,29.437,30.515,0,0
GHY_PE,D,20120202,000000,29.77,30.515,27.528,28.607,0,0
GHY_PE,D,20120203,000000,29.021,30.183,27.861,29.021,0,0
GHY_PE,D,20120206,000000,29.77,29.77,28.607,28.607,0,0
GHY_PE,D,20120207,000000,28.607,28.607,26.784,27.115,0,0
GHY_PE,D,20120208,000000,27.115,27.115,25.623,27.115,0,0
GHY_PE,D,20120209,000000,27.115,28.607,27.115,28.192,0,0
GHY_PE,D,20120210,000000,28.109,28.525,27.032,27.446,0,0
GHY_PE,D,20120213,000000,27.032,27.032,25.871,26.369,0,0
GHY_PE,D,20120214,000000,26.369,26.369,25.291,26.369,0,0
GHY_PE,D,20120215,000000,25.291,29.77,24.129,28.192,0,0
GHY_PE,D,20120216,000000,28.525,28.525,27.032,28.192,0,0
GHY_PE,D,20120217,000000,27.032,29.27,26.618,27.032,0,0
GHY_PE,D,20120615,000000,16.418,16.418,16.418,16.418,0,0
GHY_PE,D,20120618,000000,16.418,18.075,16.003,18.075,0,0
GHY_PE,D,20120619,000000,18.491,18.988,16.75,18.988,0,0
GHY_PE,D,20120620,000000,18.988,19.9,18.988,19.817,0,0
GHY_PE,D,20120621,000000,19.9,19.9,17.663,17.663,0,0
GHY_PE,D,20120622,000000,18.159,18.988,17.745,18.988,0,0
GHY_PE,D,20120625,000000,19.404,19.404,18.075,18.075,0,0
GHY_PE,D,20120626,000000,17.58,18.574,17.58,18.574,0,0
GHY_PE,D,20120627,000000,18.159,18.159,18.159,18.159,0,0
GHY_PE,D,20120628,000000,17.745,17.745,14.262,15.506,0,0
GHY_PE,D,20120629,000000,15.008,17.165,15.008,15.92,0,0
GHY_PE,D,20120702,000000,15.92,15.92,15.92,15.92,0,0
GHY_PE,D,20120703,000000,15.506,17.165,15.091,15.091,0,0
GHY_PE,D,20120704,000000,15.091,15.589,15.091,15.091,0,0
GHY_PE,D,20120705,000000,15.091,16.418,15.091,16.418,0,0
GHY_PE,D,20120706,000000,16.832,17.745,16.832,17.663,0,0
