<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMV_PB,D,20210422,000000,149.42,149.42,149.42,149.42,0,0
GMV_PB,D,20210423,000000,150.31,150.31,134.06,148.69,0,0
GMV_PB,D,20210426,000000,150.31,150.31,136.5,136.5,0,0
GMV_PB,D,20210427,000000,134.06,141.29,134.06,140.55,0,0
GMV_PB,D,20210428,000000,141.35,141.35,134.88,137.88,0,0
GMV_PB,D,20210429,000000,137.88,138.13,134.06,138.13,0,0
GMV_PB,D,20210430,000000,143,143,138.1,142.17,0,0
GMV_PB,D,20210504,000000,142.17,142.17,137.25,142.17,0,0
GMV_PB,D,20210505,000000,142.17,142.17,142.15,142.17,0,0
GMV_PB,D,20210506,000000,142.17,142.17,142.17,142.17,0,0
GMV_PB,D,20210507,000000,142.17,142.17,137.31,142.09,0,0
GMV_PB,D,20210510,000000,142.17,151.92,142.17,150.31,0,0
GMV_PB,D,20210511,000000,150.31,150.72,132.44,143.81,0,0
GMV_PB,D,20210512,000000,143.81,145.44,136.5,145.44,0,0
GMV_PB,D,20210513,000000,145.44,146.25,137.96,146.25,0,0
GMV_PB,D,20210514,000000,146.25,146.25,146.25,146.25,0,0
GMV_PB,D,20210517,000000,146.25,146.25,70.56,70.56,0,0
GMV_PB,D,20210518,000000,72.13,72.13,58.81,68.17,0,0
GMV_PB,D,20210519,000000,66.65,66.65,59.44,59.59,0,0
GMV_PB,D,20210520,000000,61.55,61.55,58.81,58.81,0,0
GMV_PB,D,20210521,000000,59.59,64.37,59.19,64.37,0,0
GMV_PB,D,20210524,000000,64.68,66.25,62.92,64.68,0,0
GMV_PB,D,20210525,000000,66.25,66.25,66.25,66.25,0,0
GMV_PB,D,20210526,000000,66.25,66.25,66.25,66.25,0,0
GMV_PB,D,20210527,000000,66.25,66.25,62.72,63.12,0,0
GMV_PB,D,20210528,000000,66.18,68.21,66.18,67.43,0,0
GMV_PB,D,20210531,000000,66.65,66.65,64.29,66.65,0,0
GMV_PB,D,20210601,000000,67.43,67.43,66.65,67.43,0,0
GMV_PB,D,20210602,000000,67.43,67.62,66.65,67.62,0,0
GMV_PB,D,20210604,000000,67.82,67.82,67.82,67.82,0,0
GMV_PB,D,20210607,000000,67.43,67.43,67.43,67.43,0,0
GMV_PB,D,20210608,000000,67.43,67.43,64.68,67.43,0,0
GMV_PB,D,20210609,000000,67.43,67.43,66.65,66.65,0,0
GMV_PB,D,20210610,000000,66.65,66.65,66.65,66.65,0,0
GMV_PB,D,20210611,000000,67.43,67.43,65.47,65.47,0,0
GMV_PB,D,20210614,000000,66.65,66.65,66.6,66.6,0,0
GMV_PB,D,20210615,000000,66.25,66.25,60.01,61.56,0,0
GMV_PB,D,20210616,000000,64.68,64.68,59.19,61.01,0,0
GMV_PB,D,20210617,000000,63.9,63.9,56.92,58.81,0,0
GMV_PB,D,20210618,000000,58.81,58.81,56.84,56.84,0,0
GMV_PB,D,20210621,000000,58.81,58.81,54.9,56.65,0,0
GMV_PB,D,20210622,000000,56.65,56.84,56.65,56.84,0,0
GMV_PB,D,20210623,000000,58.81,58.81,56.84,58.41,0,0
GMV_PB,D,20210624,000000,58.41,58.41,57.63,57.63,0,0
GMV_PB,D,20210625,000000,57.63,57.63,54.88,56.65,0,0
GMV_PB,D,20210628,000000,56.65,57.63,56.65,57.24,0,0
GMV_PB,D,20210629,000000,57.24,57.24,55.67,55.67,0,0
