<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTY_MV,D,20130419,000000,60.46,60.46,60.46,60.46,0,0
GTY_MV,D,20130603,000000,52.67,52.67,52.67,52.67,0,0
GTY_MV,D,20130607,000000,49,49,49,49,0,0
GTY_MV,D,20130820,000000,49,49,49,49,0,0
GTY_MV,D,20130913,000000,45.59,45.59,45.59,45.59,0,0
GTY_MV,D,20131016,000000,42.42,42.42,42.42,42.42,0,0
GTY_MV,D,20131120,000000,42.39,42.39,39.44,39.44,0,0
GTY_MV,D,20131126,000000,36.7,36.7,29.36,29.36,0,0
GTY_MV,D,20131127,000000,23.49,23.49,18.79,18.79,0,0
GTY_MV,D,20131202,000000,16.83,16.83,16.83,16.83,0,0
GTY_MV,D,20131204,000000,15.55,18.65,15.55,18.65,0,0
GTY_MV,D,20131205,000000,16.83,16.83,16.83,16.83,0,0
GTY_MV,D,20131206,000000,15.53,15.53,12.43,12.94,0,0
GTY_MV,D,20131209,000000,12.94,12.94,12.94,12.94,0,0
GTY_MV,D,20131211,000000,12.94,12.94,12.94,12.94,0,0
GTY_MV,D,20131212,000000,12.94,15.52,12.94,15.52,0,0
GTY_MV,D,20131213,000000,14.24,16.81,14.24,16.81,0,0
GTY_MV,D,20131216,000000,14.24,15.53,14.24,15.53,0,0
GTY_MV,D,20131218,000000,14.24,14.24,14.24,14.24,0,0
GTY_MV,D,20140102,000000,12.94,12.94,12.94,12.94,0,0
GTY_MV,D,20140114,000000,11.65,11.65,11.65,11.65,0,0
GTY_MV,D,20140115,000000,10.35,10.35,9.06,9.06,0,0
GTY_MV,D,20140212,000000,9.06,9.06,7.12,7.12,0,0
GTY_MV,D,20140217,000000,7.35,7.49,7.35,7.49,0,0
GTY_MV,D,20140218,000000,6.21,6.21,6.21,6.21,0,0
GTY_MV,D,20140219,000000,5.18,5.44,5.18,5.44,0,0
GTY_MV,D,20140220,000000,5.18,5.18,5.18,5.18,0,0
GTY_MV,D,20140324,000000,5.18,5.18,5.18,5.18,0,0
GTY_MV,D,20140325,000000,5.18,5.18,5.18,5.18,0,0
GTY_MV,D,20140326,000000,5.05,5.05,5.05,5.05,0,0
GTY_MV,D,20140401,000000,5.05,5.7,5.05,5.7,0,0
GTY_MV,D,20140402,000000,6.47,6.47,6.47,6.47,0,0
GTY_MV,D,20140407,000000,5.37,5.37,5.23,5.23,0,0
GTY_MV,D,20140423,000000,5.18,6.15,5.18,6.15,0,0
GTY_MV,D,20140424,000000,5.18,5.44,5.18,5.44,0,0
GTY_MV,D,20140425,000000,4.66,4.66,4.4,4.4,0,0
GTY_MV,D,20140506,000000,5.18,5.57,5.18,5.57,0,0
GTY_MV,D,20140509,000000,5.57,6.68,5.57,6.67,0,0
GTY_MV,D,20140512,000000,7.12,7.12,7.08,7.08,0,0
GTY_MV,D,20140513,000000,7.04,7.46,7.04,7.46,0,0
GTY_MV,D,20140514,000000,7.44,8.93,6.47,6.47,0,0
GTY_MV,D,20140516,000000,6.47,6.47,6.47,6.47,0,0
GTY_MV,D,20140520,000000,6.47,6.47,5.18,5.18,0,0
GTY_MV,D,20140521,000000,5.18,5.18,4.53,4.53,0,0
GTY_MV,D,20140522,000000,4.4,4.4,4.27,4.27,0,0
GTY_MV,D,20140526,000000,4.28,4.28,4.28,4.28,0,0
GTY_MV,D,20140617,000000,4.32,4.66,4.32,4.66,0,0
GTY_MV,D,20140625,000000,4.91,4.91,4.3,4.3,0,0
GTY_MV,D,20140626,000000,4.3,4.3,4.28,4.28,0,0
GTY_MV,D,20140702,000000,3.88,3.88,3.88,3.88,0,0
GTY_MV,D,20140716,000000,4.53,4.53,4.53,4.53,0,0
GTY_MV,D,20140722,000000,4.92,5.18,4.92,5.18,0,0
GTY_MV,D,20140806,000000,5.18,5.7,5.18,5.7,0,0
GTY_MV,D,20140807,000000,5.82,6.47,5.82,6.47,0,0
GTY_MV,D,20140808,000000,5.82,6.47,5.82,6.47,0,0
GTY_MV,D,20140819,000000,6.47,7.12,6.47,7.12,0,0
GTY_MV,D,20140820,000000,5.82,5.82,5.18,5.18,0,0
GTY_MV,D,20140821,000000,5.18,5.82,5.18,5.82,0,0
