<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTY_PB,D,20130419,000000,9.86,9.86,9.86,9.86,0,0
GTY_PB,D,20130603,000000,12.39,12.39,12.39,12.39,0,0
GTY_PB,D,20130607,000000,11.53,11.53,11.53,11.53,0,0
GTY_PB,D,20130820,000000,11.53,11.53,11.53,11.53,0,0
GTY_PB,D,20130913,000000,10.73,10.73,10.73,10.73,0,0
GTY_PB,D,20131016,000000,17.6,17.6,17.6,17.6,0,0
GTY_PB,D,20131120,000000,17.59,17.59,16.37,16.37,0,0
GTY_PB,D,20131126,000000,15.23,15.23,12.18,12.18,0,0
GTY_PB,D,20131127,000000,9.75,9.75,7.8,7.8,0,0
GTY_PB,D,20131202,000000,6.12,6.12,6.12,6.12,0,0
GTY_PB,D,20131204,000000,5.65,6.78,5.65,6.78,0,0
GTY_PB,D,20131205,000000,6.12,6.12,6.12,6.12,0,0
GTY_PB,D,20131206,000000,5.65,5.65,4.52,4.71,0,0
GTY_PB,D,20131209,000000,4.71,4.71,4.71,4.71,0,0
GTY_PB,D,20131211,000000,4.71,4.71,4.71,4.71,0,0
GTY_PB,D,20131212,000000,4.71,5.64,4.71,5.64,0,0
GTY_PB,D,20131213,000000,5.18,6.11,5.18,6.11,0,0
GTY_PB,D,20131216,000000,5.18,5.65,5.18,5.65,0,0
GTY_PB,D,20131218,000000,5.18,5.18,5.18,5.18,0,0
GTY_PB,D,20140102,000000,4.71,4.71,4.71,4.71,0,0
GTY_PB,D,20140114,000000,4.24,4.24,4.24,4.24,0,0
GTY_PB,D,20140115,000000,3.76,3.76,3.29,3.29,0,0
GTY_PB,D,20140212,000000,3.29,3.29,2.59,2.59,0,0
GTY_PB,D,20140217,000000,2.67,2.72,2.67,2.72,0,0
GTY_PB,D,20140218,000000,2.26,2.26,2.26,2.26,0,0
GTY_PB,D,20140219,000000,1.88,1.98,1.88,1.98,0,0
GTY_PB,D,20140220,000000,1.88,1.88,0.13,0.13,0,0
GTY_PB,D,20140324,000000,0.13,0.13,0.13,0.13,0,0
GTY_PB,D,20140325,000000,0.13,0.13,0.13,0.13,0,0
GTY_PB,D,20140326,000000,0.13,0.13,0.13,0.13,0,0
GTY_PB,D,20140401,000000,0.13,0.14,0.13,0.14,0,0
GTY_PB,D,20140402,000000,0.16,0.16,0.16,0.16,0,0
GTY_PB,D,20140407,000000,0.14,0.14,0.13,0.13,0,0
GTY_PB,D,20140423,000000,0.13,0.16,0.13,0.16,0,0
GTY_PB,D,20140424,000000,0.13,0.14,0.13,0.14,0,0
GTY_PB,D,20140425,000000,0.12,0.12,0.11,0.11,0,0
GTY_PB,D,20140506,000000,0.13,0.14,0.13,0.14,0,0
GTY_PB,D,20140509,000000,0.14,0.17,0.14,0.17,0,0
GTY_PB,D,20140512,000000,0.18,0.18,0.18,0.18,0,0
GTY_PB,D,20140513,000000,0.18,0.19,0.18,0.19,0,0
GTY_PB,D,20140514,000000,0.19,0.23,0.16,0.16,0,0
GTY_PB,D,20140516,000000,0.16,0.16,0.16,0.16,0,0
GTY_PB,D,20140520,000000,0.16,0.16,0.13,0.13,0,0
GTY_PB,D,20140521,000000,0.13,0.13,0.11,0.11,0,0
GTY_PB,D,20140522,000000,0.11,0.11,0.11,0.11,0,0
GTY_PB,D,20140526,000000,0.11,0.11,0.11,0.11,0,0
GTY_PB,D,20140617,000000,0.11,0.12,0.11,0.12,0,0
GTY_PB,D,20140625,000000,0.12,0.12,0.11,0.11,0,0
GTY_PB,D,20140626,000000,0.11,0.11,0.11,0.11,0,0
GTY_PB,D,20140702,000000,0.1,0.1,0.1,0.1,0,0
GTY_PB,D,20140716,000000,0.11,0.11,0.11,0.11,0,0
GTY_PB,D,20140722,000000,0.12,0.13,0.12,0.13,0,0
GTY_PB,D,20140806,000000,0.13,0.14,0.13,0.14,0,0
GTY_PB,D,20140807,000000,0.15,0.16,0.15,0.16,0,0
GTY_PB,D,20140808,000000,0.15,0.16,0.15,0.16,0,0
GTY_PB,D,20140819,000000,0.16,0.18,0.16,0.18,0,0
GTY_PB,D,20140820,000000,0.15,0.15,0.13,0.13,0,0
GTY_PB,D,20140821,000000,0.13,0.15,0.13,0.15,0,0
GTY_PB,D,20140825,000000,0.15,0.16,0.15,0.16,0,0
GTY_PB,D,20140827,000000,0.16,0.16,0.16,0.16,0,0
GTY_PB,D,20140902,000000,0.16,0.21,0.16,0.21,0,0
GTY_PB,D,20140903,000000,0.21,0.22,0.21,0.22,0,0
GTY_PB,D,20140905,000000,0.19,0.22,0.16,0.22,0,0
GTY_PB,D,20140908,000000,0.2,0.2,0.16,0.2,0,0
GTY_PB,D,20140911,000000,0.2,0.2,0.2,0.2,0,0
GTY_PB,D,20140912,000000,0.21,0.21,0.21,0.21,0,0
GTY_PB,D,20140915,000000,0.18,0.18,0.16,0.16,0,0
GTY_PB,D,20140919,000000,0.16,0.18,0.16,0.18,0,0
GTY_PB,D,20140922,000000,0.15,0.15,0.13,0.13,0,0
GTY_PB,D,20140926,000000,0.13,0.13,0.13,0.13,0,0
GTY_PB,D,20141015,000000,0.16,0.16,0.16,0.16,0,0
GTY_PB,D,20141021,000000,0.15,0.15,0.15,0.15,0,0
GTY_PB,D,20141119,000000,0.16,0.16,0.16,0.16,0,0
GTY_PB,D,20141124,000000,0.14,0.14,0.13,0.13,0,0
GTY_PB,D,20141212,000000,0.14,0.14,0.14,0.14,0,0
GTY_PB,D,20141216,000000,0.13,0.13,0.13,0.13,0,0
GTY_PB,D,20141218,000000,0.14,0.14,0.12,0.12,0,0
GTY_PB,D,20141222,000000,0.12,0.12,0.12,0.12,0,0
GTY_PB,D,20141223,000000,0.1,0.1,0.1,0.1,0,0
GTY_PB,D,20150102,000000,0.12,0.12,0.12,0.12,0,0
GTY_PB,D,20150109,000000,0.12,0.12,0.12,0.12,0,0
GTY_PB,D,20150113,000000,0.12,0.15,0.12,0.15,0,0
GTY_PB,D,20150114,000000,0.15,0.18,0.15,0.17,0,0
GTY_PB,D,20150116,000000,0.21,0.21,0.17,0.18,0,0
GTY_PB,D,20150119,000000,0.17,0.2,0.17,0.2,0,0
GTY_PB,D,20150120,000000,0.18,0.19,0.18,0.18,0,0
GTY_PB,D,20150121,000000,0.18,0.21,0.18,0.2,0,0
GTY_PB,D,20150122,000000,0.18,0.18,0.15,0.15,0,0
GTY_PB,D,20150123,000000,0.16,0.18,0.16,0.17,0,0
GTY_PB,D,20150126,000000,0.18,0.19,0.15,0.19,0,0
GTY_PB,D,20150127,000000,0.16,0.16,0.16,0.16,0,0
GTY_PB,D,20150128,000000,0.16,0.19,0.16,0.18,0,0
