<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICD_PB,D,20100811,000000,0.97,0.97,0.97,0.97,0,0
ICD_PB,D,20100812,000000,0.97,0.97,0.69,0.82,0,0
ICD_PB,D,20100813,000000,0.75,0.88,0.71,0.87,0,0
ICD_PB,D,20100816,000000,0.87,0.92,0.83,0.89,0,0
ICD_PB,D,20100817,000000,0.89,0.89,0.83,0.83,0,0
ICD_PB,D,20100818,000000,0.83,0.83,0.77,0.83,0,0
ICD_PB,D,20100820,000000,0.79,0.89,0.79,0.89,0,0
ICD_PB,D,20100826,000000,1.11,1.11,1.11,1.11,0,0
ICD_PB,D,20100831,000000,1.04,1.08,0.96,1.08,0,0
ICD_PB,D,20100901,000000,1.11,1.11,1.11,1.11,0,0
ICD_PB,D,20100907,000000,0.96,1.08,0.96,1.08,0,0
ICD_PB,D,20100908,000000,1.08,1.08,1.08,1.08,0,0
ICD_PB,D,20100910,000000,1.05,1.05,1.05,1.05,0,0
ICD_PB,D,20100913,000000,1.05,1.08,1.05,1.08,0,0
ICD_PB,D,20100914,000000,1.08,1.08,1.08,1.08,0,0
ICD_PB,D,20100920,000000,1.11,1.11,0.96,0.96,0,0
ICD_PB,D,20100921,000000,1.08,1.08,0.98,0.98,0,0
ICD_PB,D,20100928,000000,1.04,1.07,1.02,1.04,0,0
ICD_PB,D,20100929,000000,1.02,1.02,0.97,1.02,0,0
ICD_PB,D,20100930,000000,0.96,1.02,0.96,1.02,0,0
ICD_PB,D,20101004,000000,0.98,0.99,0.98,0.99,0,0
ICD_PB,D,20101005,000000,1.02,1.02,0.93,0.93,0,0
ICD_PB,D,20101006,000000,1.02,1.02,1.02,1.02,0,0
ICD_PB,D,20101019,000000,0.94,0.94,0.94,0.94,0,0
ICD_PB,D,20101102,000000,0.94,0.94,0.91,0.91,0,0
ICD_PB,D,20101104,000000,0.85,0.85,0.74,0.74,0,0
ICD_PB,D,20101105,000000,0.82,0.82,0.82,0.82,0,0
ICD_PB,D,20101108,000000,0.82,0.82,0.82,0.82,0,0
ICD_PB,D,20101109,000000,0.81,0.81,0.81,0.81,0,0
ICD_PB,D,20101112,000000,0.74,0.74,0.74,0.74,0,0
ICD_PB,D,20101116,000000,0.68,0.68,0.59,0.67,0,0
ICD_PB,D,20101118,000000,0.59,0.59,0.53,0.53,0,0
ICD_PB,D,20101119,000000,0.57,0.59,0.57,0.59,0,0
ICD_PB,D,20101122,000000,0.59,0.71,0.59,0.71,0,0
ICD_PB,D,20101123,000000,0.74,0.78,0.64,0.64,0,0
ICD_PB,D,20101124,000000,0.56,0.73,0.49,0.49,0,0
ICD_PB,D,20101125,000000,0.58,0.58,0.57,0.58,0,0
ICD_PB,D,20101129,000000,0.52,0.52,0.52,0.52,0,0
ICD_PB,D,20101130,000000,0.58,0.58,0.54,0.56,0,0
ICD_PB,D,20101201,000000,0.56,0.56,0.48,0.48,0,0
ICD_PB,D,20101202,000000,0.47,0.57,0.47,0.57,0,0
ICD_PB,D,20101203,000000,0.57,0.57,0.57,0.57,0,0
ICD_PB,D,20101206,000000,0.49,0.57,0.49,0.57,0,0
ICD_PB,D,20101207,000000,0.48,0.52,0.48,0.52,0,0
ICD_PB,D,20101208,000000,0.52,0.52,0.49,0.52,0,0
ICD_PB,D,20101209,000000,0.48,0.52,0.48,0.52,0,0
ICD_PB,D,20101213,000000,0.52,0.52,0.52,0.52,0,0
ICD_PB,D,20101215,000000,0.47,0.49,0.47,0.49,0,0
ICD_PB,D,20101216,000000,0.49,0.52,0.47,0.51,0,0
ICD_PB,D,20101217,000000,0.52,0.52,0.45,0.45,0,0
ICD_PB,D,20101220,000000,0.51,0.51,0.45,0.45,0,0
ICD_PB,D,20101221,000000,0.48,0.48,0.48,0.48,0,0
ICD_PB,D,20101222,000000,0.49,0.49,0.49,0.49,0,0
ICD_PB,D,20101227,000000,0.52,0.52,0.52,0.52,0,0
ICD_PB,D,20101229,000000,0.52,0.52,0.52,0.52,0,0
ICD_PB,D,20101230,000000,0.5,0.57,0.5,0.57,0,0
ICD_PB,D,20101231,000000,0.57,0.6,0.52,0.6,0,0
ICD_PB,D,20110105,000000,0.56,0.56,0.49,0.49,0,0
ICD_PB,D,20110107,000000,0.54,0.54,0.54,0.54,0,0
ICD_PB,D,20110111,000000,0.46,0.49,0.46,0.49,0,0
ICD_PB,D,20110112,000000,0.43,0.43,0.43,0.43,0,0
ICD_PB,D,20110118,000000,0.44,0.5,0.43,0.5,0,0
ICD_PB,D,20110119,000000,0.51,0.51,0.51,0.51,0,0
ICD_PB,D,20110120,000000,0.47,0.47,0.44,0.44,0,0
ICD_PB,D,20110121,000000,0.44,0.44,0.44,0.44,0,0
ICD_PB,D,20110126,000000,0.48,0.48,0.48,0.48,0,0
ICD_PB,D,20110127,000000,0.5,0.5,0.5,0.5,0,0
ICD_PB,D,20110202,000000,0.5,0.5,0.5,0.5,0,0
ICD_PB,D,20110210,000000,0.45,0.45,0.43,0.43,0,0
ICD_PB,D,20110211,000000,0.46,0.46,0.46,0.46,0,0
ICD_PB,D,20110216,000000,0.46,0.48,0.46,0.48,0,0
