<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGN_PB,D,20110208,000000,28.1,28.1,28.1,28.1,0,0
IGN_PB,D,20110209,000000,46.05,55.25,46.05,55.25,0,0
IGN_PB,D,20110210,000000,66.23,66.7,57.03,60.68,0,0
IGN_PB,D,20110211,000000,60.68,60.68,48.88,49.7,0,0
IGN_PB,D,20110214,000000,51.35,51.35,15.47,15.47,0,0
IGN_PB,D,20110215,000000,15.36,15.36,14.59,15.16,0,0
IGN_PB,D,20110216,000000,15.16,15.47,13.44,15.43,0,0
IGN_PB,D,20110217,000000,15.43,15.43,14.32,15.4,0,0
IGN_PB,D,20110218,000000,15.36,15.47,14.02,15.47,0,0
IGN_PB,D,20110221,000000,15.36,15.36,14.59,15.36,0,0
IGN_PB,D,20110222,000000,15.36,15.36,13.59,13.63,0,0
IGN_PB,D,20110223,000000,13.59,14.2,13.59,14.2,0,0
IGN_PB,D,20110224,000000,14.2,14.2,14.2,14.2,0,0
IGN_PB,D,20110225,000000,15.36,15.36,13.44,14.05,0,0
IGN_PB,D,20110228,000000,14.05,14.05,14.05,14.05,0,0
IGN_PB,D,20110301,000000,13.82,13.82,13.82,13.82,0,0
IGN_PB,D,20110302,000000,13.82,13.82,13.82,13.82,0,0
IGN_PB,D,20110303,000000,13.82,13.82,12.24,12.28,0,0
IGN_PB,D,20110304,000000,11.75,13.55,11.21,13.24,0,0
IGN_PB,D,20110307,000000,13.24,13.24,12.78,12.78,0,0
IGN_PB,D,20110308,000000,13.05,13.05,12.67,12.67,0,0
IGN_PB,D,20110309,000000,11.9,13.05,11.9,12.67,0,0
IGN_PB,D,20110310,000000,12.67,12.67,11.94,11.94,0,0
IGN_PB,D,20110311,000000,12.06,12.24,12.06,12.24,0,0
IGN_PB,D,20110314,000000,12.28,12.28,11.9,12.24,0,0
IGN_PB,D,20110315,000000,12.28,14.82,12.28,14.82,0,0
IGN_PB,D,20110316,000000,15.36,16.5,15.36,15.81,0,0
IGN_PB,D,20110317,000000,13.05,15.67,13.05,14.05,0,0
IGN_PB,D,20110318,000000,14.13,14.13,11.98,12.67,0,0
IGN_PB,D,20110321,000000,13.98,13.98,12.67,13.63,0,0
IGN_PB,D,20110322,000000,13.67,13.67,12.51,13.59,0,0
IGN_PB,D,20110323,000000,13.74,13.74,12.02,12.02,0,0
IGN_PB,D,20110324,000000,12.17,13.33,12.13,13.05,0,0
IGN_PB,D,20110325,000000,12.09,12.86,12.06,12.86,0,0
IGN_PB,D,20110328,000000,13.44,13.44,13.44,13.44,0,0
IGN_PB,D,20110329,000000,12.28,13.28,12.28,13.28,0,0
IGN_PB,D,20110330,000000,12.28,13.33,12.28,13.24,0,0
IGN_PB,D,20110331,000000,13.86,14.2,13.59,14.2,0,0
IGN_PB,D,20110401,000000,14.2,14.2,12.09,13.02,0,0
IGN_PB,D,20110404,000000,12.98,12.98,12.82,12.82,0,0
IGN_PB,D,20110405,000000,12.82,12.82,12.13,12.63,0,0
IGN_PB,D,20110406,000000,12.9,12.9,12.06,12.71,0,0
IGN_PB,D,20110407,000000,11.9,12.17,11.52,12.17,0,0
IGN_PB,D,20110408,000000,12.28,12.28,11.52,12.13,0,0
IGN_PB,D,20110411,000000,12.13,12.13,11.59,11.59,0,0
IGN_PB,D,20110412,000000,11.37,11.71,11.37,11.71,0,0
IGN_PB,D,20110413,000000,12.13,12.13,12.13,12.13,0,0
IGN_PB,D,20110414,000000,12.09,12.09,12.09,12.09,0,0
IGN_PB,D,20110415,000000,12.28,13.51,11.44,13.51,0,0
IGN_PB,D,20110418,000000,12.75,13.74,12.51,13.2,0,0
IGN_PB,D,20110419,000000,12.06,12.24,11.71,11.71,0,0
IGN_PB,D,20110420,000000,11.82,12.86,11.82,12.86,0,0
IGN_PB,D,20110421,000000,12.86,12.86,11.82,12.82,0,0
IGN_PB,D,20110426,000000,12.86,12.86,11.82,12.55,0,0
IGN_PB,D,20110427,000000,12.55,12.55,12.55,12.55,0,0
IGN_PB,D,20110428,000000,12.75,12.75,12.75,12.75,0,0
