<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LET_MV,D,20090520,000000,8.25,8.25,8.25,8.25,0,0
LET_MV,D,20090521,000000,8.56,8.56,7.52,7.83,0,0
LET_MV,D,20090522,000000,7.52,7.52,6.86,7.28,0,0
LET_MV,D,20090525,000000,7.04,7.04,6.13,6.43,0,0
LET_MV,D,20090526,000000,6.25,7.52,6.25,6.61,0,0
LET_MV,D,20090527,000000,7.22,7.22,6.31,6.61,0,0
LET_MV,D,20090528,000000,6.61,6.74,6.19,6.31,0,0
LET_MV,D,20090529,000000,6.8,6.86,6.25,6.49,0,0
LET_MV,D,20090601,000000,6.98,6.98,6.98,6.98,0,0
LET_MV,D,20090602,000000,6.43,6.8,6.25,6.55,0,0
LET_MV,D,20090603,000000,6.74,6.8,6.13,6.74,0,0
LET_MV,D,20090604,000000,6.31,6.68,6.25,6.68,0,0
LET_MV,D,20090605,000000,6.74,6.74,6.37,6.37,0,0
LET_MV,D,20090608,000000,6.37,6.55,6.37,6.55,0,0
LET_MV,D,20090609,000000,6.37,7.04,6.37,7.04,0,0
LET_MV,D,20090610,000000,6.55,7.22,6.55,7.22,0,0
LET_MV,D,20090612,000000,7.1,7.46,6.61,6.98,0,0
LET_MV,D,20090615,000000,6.98,7.28,6.92,7.16,0,0
LET_MV,D,20090616,000000,6.8,6.8,6.8,6.8,0,0
LET_MV,D,20090617,000000,6.8,6.8,6.8,6.8,0,0
LET_MV,D,20090618,000000,6.55,7.1,6.55,7.1,0,0
LET_MV,D,20090619,000000,7.28,7.28,7.28,7.28,0,0
LET_MV,D,20090622,000000,6.55,6.55,6.49,6.49,0,0
LET_MV,D,20090623,000000,6.37,6.43,6.19,6.19,0,0
LET_MV,D,20090624,000000,6.43,6.61,6.25,6.61,0,0
LET_MV,D,20090625,000000,6.49,6.49,6.43,6.43,0,0
LET_MV,D,20090626,000000,6.43,6.43,6.43,6.43,0,0
LET_MV,D,20090629,000000,6.43,6.86,6.43,6.49,0,0
LET_MV,D,20090630,000000,6.55,6.55,6.55,6.55,0,0
LET_MV,D,20090701,000000,6.19,6.19,6.19,6.19,0,0
LET_MV,D,20090702,000000,6.55,6.86,6.55,6.86,0,0
LET_MV,D,20090703,000000,6.37,6.86,6.37,6.86,0,0
LET_MV,D,20090707,000000,6.8,6.8,6.8,6.8,0,0
LET_MV,D,20090709,000000,6.13,6.37,6.13,6.37,0,0
LET_MV,D,20090710,000000,6.61,6.61,6.01,6.31,0,0
LET_MV,D,20090713,000000,6.07,6.07,6.07,6.07,0,0
