<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPS_PB,D,20100416,000000,27.3,27.3,27.3,27.3,0,0
LPS_PB,D,20100419,000000,27.3,27.3,23.77,26.41,0,0
LPS_PB,D,20100420,000000,25.54,25.54,23.77,23.77,0,0
LPS_PB,D,20100421,000000,24.65,24.65,20.25,20.25,0,0
LPS_PB,D,20100422,000000,20.25,21.13,18.49,20.25,0,0
LPS_PB,D,20100423,000000,21.13,21.13,20.25,20.25,0,0
LPS_PB,D,20100426,000000,20.25,20.25,18.49,19.37,0,0
LPS_PB,D,20100427,000000,18.49,24.65,17.61,24.65,0,0
LPS_PB,D,20100428,000000,24.65,24.65,21.13,22.89,0,0
LPS_PB,D,20100429,000000,22.89,23.77,22.89,23.77,0,0
LPS_PB,D,20100430,000000,23.77,23.77,22.01,22.89,0,0
LPS_PB,D,20100504,000000,22.89,22.89,22.89,22.89,0,0
LPS_PB,D,20100505,000000,22.89,22.89,21.13,21.13,0,0
LPS_PB,D,20100506,000000,19.37,20.25,19.37,20.25,0,0
LPS_PB,D,20100510,000000,18.49,18.49,18.49,18.49,0,0
LPS_PB,D,20100511,000000,18.49,20.25,18.49,20.25,0,0
LPS_PB,D,20100512,000000,20.25,20.25,19.37,19.37,0,0
LPS_PB,D,20100513,000000,19.37,19.37,19.37,19.37,0,0
LPS_PB,D,20100514,000000,19.37,20.25,19.37,20.25,0,0
LPS_PB,D,20100517,000000,18.49,18.49,17.61,17.61,0,0
LPS_PB,D,20100518,000000,17.61,17.61,17.61,17.61,0,0
LPS_PB,D,20100519,000000,19.37,19.37,10.18,10.18,0,0
LPS_PB,D,20100520,000000,10.18,10.18,10.18,10.18,0,0
LPS_PB,D,20100521,000000,10.18,10.18,10.18,10.18,0,0
LPS_PB,D,20100524,000000,10.66,10.66,10.66,10.66,0,0
LPS_PB,D,20100525,000000,10.66,11.15,10.66,11.15,0,0
LPS_PB,D,20100526,000000,10.66,11.15,10.66,10.66,0,0
LPS_PB,D,20100527,000000,10.66,11.15,10.66,11.15,0,0
LPS_PB,D,20100528,000000,11.15,11.15,11.15,11.15,0,0
LPS_PB,D,20100531,000000,11.15,11.15,10.66,11.15,0,0
LPS_PB,D,20100601,000000,10.18,10.18,9.69,10.18,0,0
LPS_PB,D,20100602,000000,9.69,9.69,9.69,9.69,0,0
LPS_PB,D,20100604,000000,10.18,10.18,9.69,9.69,0,0
LPS_PB,D,20100607,000000,9.21,9.69,9.21,9.69,0,0
LPS_PB,D,20100608,000000,9.69,10.18,9.69,9.69,0,0
LPS_PB,D,20100609,000000,9.21,9.21,8.72,8.72,0,0
LPS_PB,D,20100610,000000,8.72,8.72,8.72,8.72,0,0
LPS_PB,D,20100611,000000,8.72,8.72,8.24,8.24,0,0
LPS_PB,D,20100614,000000,8.24,9.69,8.24,9.21,0,0
LPS_PB,D,20100615,000000,9.21,9.21,8.72,8.72,0,0
LPS_PB,D,20100616,000000,8.72,8.72,8.72,8.72,0,0
LPS_PB,D,20100617,000000,8.72,8.72,8.72,8.72,0,0
LPS_PB,D,20100618,000000,8.72,8.72,8.72,8.72,0,0
LPS_PB,D,20100621,000000,8.72,9.21,7.75,9.21,0,0
LPS_PB,D,20100622,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100623,000000,9.21,9.21,8.72,8.72,0,0
LPS_PB,D,20100624,000000,8.72,8.72,8.24,8.24,0,0
LPS_PB,D,20100625,000000,7.75,7.75,7.75,7.75,0,0
LPS_PB,D,20100628,000000,7.75,7.75,7.75,7.75,0,0
LPS_PB,D,20100629,000000,7.75,7.75,7.27,7.27,0,0
LPS_PB,D,20100630,000000,7.75,8.24,7.75,8.24,0,0
LPS_PB,D,20100701,000000,7.75,8.24,7.75,8.24,0,0
LPS_PB,D,20100702,000000,8.24,9.21,8.24,8.72,0,0
LPS_PB,D,20100705,000000,8.72,8.72,8.24,8.72,0,0
LPS_PB,D,20100706,000000,8.72,8.72,8.72,8.72,0,0
LPS_PB,D,20100707,000000,9.21,9.21,8.72,8.72,0,0
LPS_PB,D,20100708,000000,8.72,8.72,8.24,8.72,0,0
LPS_PB,D,20100709,000000,8.72,8.72,8.72,8.72,0,0
LPS_PB,D,20100712,000000,9.21,9.21,7.75,8.72,0,0
LPS_PB,D,20100713,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100714,000000,9.21,9.21,8.72,9.21,0,0
LPS_PB,D,20100715,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100716,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100719,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100720,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100721,000000,9.21,9.21,9.21,9.21,0,0
LPS_PB,D,20100722,000000,8.72,9.69,8.72,9.69,0,0
LPS_PB,D,20100723,000000,9.69,11.63,9.69,10.66,0,0
LPS_PB,D,20100726,000000,11.63,11.63,10.18,10.66,0,0
LPS_PB,D,20100727,000000,10.66,10.66,10.18,10.66,0,0
LPS_PB,D,20100728,000000,10.18,10.66,10.18,10.18,0,0
LPS_PB,D,20100729,000000,10.66,11.63,10.18,11.15,0,0
LPS_PB,D,20100730,000000,11.15,12.12,11.15,12.12,0,0
LPS_PB,D,20100802,000000,12.12,14.53,10.18,10.18,0,0
LPS_PB,D,20100803,000000,13.57,14.05,10.18,10.18,0,0
LPS_PB,D,20100804,000000,14.05,14.05,10.18,10.18,0,0
LPS_PB,D,20100805,000000,10.18,10.66,10.18,10.66,0,0
LPS_PB,D,20100806,000000,9.69,10.66,9.69,10.66,0,0
LPS_PB,D,20100809,000000,10.66,10.66,10.66,10.66,0,0
LPS_PB,D,20100810,000000,10.66,10.66,10.66,10.66,0,0
LPS_PB,D,20100811,000000,10.66,10.66,10.18,10.66,0,0
LPS_PB,D,20100812,000000,10.66,10.66,10.66,10.66,0,0
LPS_PB,D,20100813,000000,10.66,10.66,10.18,10.66,0,0
LPS_PB,D,20100816,000000,10.66,10.66,10.66,10.66,0,0
LPS_PB,D,20100817,000000,10.66,13.4,10.18,13.4,0,0
LPS_PB,D,20100818,000000,14.03,15.95,14.03,15.95,0,0
LPS_PB,D,20100819,000000,16.58,23.6,16.58,21.05,0,0
LPS_PB,D,20100820,000000,21.05,21.68,19.13,19.13,0,0
LPS_PB,D,20100823,000000,20.41,22.33,18.5,21.05,0,0
LPS_PB,D,20100824,000000,21.05,22.96,19.78,22.33,0,0
LPS_PB,D,20100825,000000,22.33,23.6,21.68,23.6,0,0
LPS_PB,D,20100826,000000,23.6,23.6,19.13,21.05,0,0
LPS_PB,D,20100827,000000,20.41,21.05,17.86,18.5,0,0
LPS_PB,D,20100830,000000,18.5,19.78,18.5,19.78,0,0
LPS_PB,D,20100831,000000,19.78,19.78,19.13,19.13,0,0
