<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUG_PE,D,20071221,000000,36.755,36.755,36.755,36.755,0,0
LUG_PE,D,20071227,000000,36.755,37.534,36.668,37.448,0,0
LUG_PE,D,20071228,000000,37.534,37.708,37.448,37.448,0,0
LUG_PE,D,20080102,000000,37.795,38.748,37.795,38.402,0,0
LUG_PE,D,20080103,000000,37.882,37.882,34.674,37.448,0,0
LUG_PE,D,20080104,000000,37.188,37.448,35.714,35.714,0,0
LUG_PE,D,20080107,000000,34.501,35.628,33.287,35.628,0,0
LUG_PE,D,20080108,000000,34.848,35.195,33.201,33.893,0,0
LUG_PE,D,20080109,000000,33.893,35.368,29.906,33.201,0,0
LUG_PE,D,20080110,000000,32.593,32.593,32.593,32.593,0,0
LUG_PE,D,20080111,000000,30.6,31.64,30.167,31.64,0,0
LUG_PE,D,20080114,000000,31.207,31.207,31.207,31.207,0,0
LUG_PE,D,20080115,000000,30.427,30.513,29.473,29.473,0,0
LUG_PE,D,20080116,000000,28.952,28.952,28.519,28.519,0,0
LUG_PE,D,20080117,000000,28,29.473,26.526,29.473,0,0
LUG_PE,D,20080118,000000,27.22,30.253,27.22,30.253,0,0
LUG_PE,D,20080121,000000,30.253,31.207,28.432,28.432,0,0
LUG_PE,D,20080122,000000,30.34,30.6,30.253,30.253,0,0
LUG_PE,D,20080123,000000,29.906,30.686,29.906,30.513,0,0
LUG_PE,D,20080124,000000,30.513,30.513,30.513,30.513,0,0
LUG_PE,D,20080125,000000,30.513,30.773,30.513,30.773,0,0
LUG_PE,D,20080128,000000,30.513,30.513,30.513,30.513,0,0
LUG_PE,D,20080129,000000,30.253,30.513,30.08,30.513,0,0
LUG_PE,D,20080131,000000,30.167,30.253,29.3,29.387,0,0
LUG_PE,D,20080201,000000,29.387,30.08,29.213,29.992,0,0
LUG_PE,D,20080204,000000,30.427,30.427,29.646,30.427,0,0
LUG_PE,D,20080205,000000,29.646,29.646,29.473,29.473,0,0
LUG_PE,D,20080206,000000,28.432,29.473,28.432,29.127,0,0
LUG_PE,D,20080207,000000,27.392,28.693,27.392,28.693,0,0
LUG_PE,D,20080208,000000,28.952,29.127,28.952,29.127,0,0
LUG_PE,D,20080211,000000,29.127,29.387,27.653,29.127,0,0
LUG_PE,D,20080212,000000,28.607,28.693,27.825,28.693,0,0
LUG_PE,D,20080214,000000,28.693,28.693,27.912,27.912,0,0
LUG_PE,D,20080215,000000,27.739,29.3,27.739,29.127,0,0
LUG_PE,D,20080218,000000,28.952,28.952,28.952,28.952,0,0
LUG_PE,D,20080219,000000,28.952,28.952,28.952,28.952,0,0
LUG_PE,D,20080220,000000,28.952,29.04,28.952,28.952,0,0
LUG_PE,D,20080221,000000,28.952,29.127,28.952,29.127,0,0
LUG_PE,D,20080222,000000,28.952,28.952,28.952,28.952,0,0
LUG_PE,D,20080225,000000,28.952,29.733,28.952,29.473,0,0
LUG_PE,D,20080226,000000,29.473,29.473,29.473,29.473,0,0
LUG_PE,D,20080227,000000,28.172,28.172,28,28.172,0,0
LUG_PE,D,20080228,000000,28.172,28.172,27.912,27.912,0,0
LUG_PE,D,20080229,000000,28.866,28.866,28,28,0,0
LUG_PE,D,20080304,000000,27.306,28.693,27.306,28.693,0,0
LUG_PE,D,20080305,000000,27.22,27.739,26.526,27.739,0,0
LUG_PE,D,20080306,000000,26.526,27.739,26.526,27.739,0,0
LUG_PE,D,20080307,000000,26.526,26.526,26.265,26.526,0,0
LUG_PE,D,20080310,000000,26.526,26.872,25.225,26.872,0,0
LUG_PE,D,20080311,000000,25.4,27.48,25.4,27.48,0,0
LUG_PE,D,20080312,000000,26.526,26.526,26.44,26.44,0,0
LUG_PE,D,20080313,000000,26.092,26.092,26.005,26.005,0,0
LUG_PE,D,20080314,000000,25.919,26.005,25.919,26.005,0,0
LUG_PE,D,20080317,000000,25.312,26.265,25.225,26.265,0,0
LUG_PE,D,20080318,000000,25.746,25.746,25.746,25.746,0,0
LUG_PE,D,20080319,000000,25.659,26.44,25.659,25.659,0,0
LUG_PE,D,20080320,000000,25.486,27.22,25.486,27.22,0,0
LUG_PE,D,20080325,000000,25.052,26.44,25.052,25.919,0,0
LUG_PE,D,20080326,000000,24.705,24.966,22.538,22.538,0,0
LUG_PE,D,20080327,000000,23.058,26.265,23.058,26.005,0,0
LUG_PE,D,20080328,000000,24.185,24.531,23.491,24.531,0,0
