<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDP_PB,D,20071116,000000,3.38,3.38,3.38,3.38,0,0
MDP_PB,D,20071119,000000,3.64,4.34,3.64,4.23,0,0
MDP_PB,D,20071120,000000,4.28,4.28,3.67,4.03,0,0
MDP_PB,D,20071121,000000,3.97,3.97,3.67,3.87,0,0
MDP_PB,D,20071122,000000,3.87,3.96,3.71,3.96,0,0
MDP_PB,D,20071123,000000,3.96,4.03,3.96,3.97,0,0
MDP_PB,D,20071126,000000,3.97,4.12,3.94,3.94,0,0
MDP_PB,D,20071127,000000,3.94,3.94,3.79,3.79,0,0
MDP_PB,D,20071128,000000,3.79,3.79,3.76,3.76,0,0
MDP_PB,D,20071129,000000,3.76,3.85,3.76,3.77,0,0
MDP_PB,D,20071130,000000,3.9,3.9,3.57,3.57,0,0
MDP_PB,D,20071203,000000,3.48,3.51,3.42,3.48,0,0
MDP_PB,D,20071204,000000,3.45,3.94,3.45,3.64,0,0
MDP_PB,D,20071205,000000,3.67,3.67,3.64,3.64,0,0
MDP_PB,D,20071206,000000,3.76,3.76,3.73,3.73,0,0
MDP_PB,D,20071207,000000,3.79,3.8,3.79,3.79,0,0
MDP_PB,D,20071210,000000,3.8,3.82,3.74,3.74,0,0
MDP_PB,D,20071211,000000,3.8,3.8,3.67,3.67,0,0
MDP_PB,D,20071212,000000,3.73,3.74,3.73,3.74,0,0
MDP_PB,D,20071213,000000,3.76,3.76,3.76,3.76,0,0
MDP_PB,D,20071214,000000,3.67,3.93,3.61,3.93,0,0
MDP_PB,D,20071217,000000,3.97,3.97,3.68,3.93,0,0
MDP_PB,D,20071218,000000,3.97,3.97,3.67,3.95,0,0
MDP_PB,D,20071219,000000,3.97,5.93,3.97,5.44,0,0
MDP_PB,D,20071220,000000,5.25,5.25,4.63,4.96,0,0
MDP_PB,D,20071221,000000,5.07,5.5,4.87,5.19,0,0
MDP_PB,D,20071227,000000,5.04,5.16,4.98,5.1,0,0
MDP_PB,D,20071228,000000,5.41,5.41,5.06,5.32,0,0
MDP_PB,D,20080102,000000,5.35,5.35,5.19,5.34,0,0
MDP_PB,D,20080103,000000,5.09,5.09,4.92,5.06,0,0
MDP_PB,D,20080104,000000,4.94,4.94,4.67,4.85,0,0
MDP_PB,D,20080107,000000,4.85,4.85,4.43,4.43,0,0
MDP_PB,D,20080108,000000,4.37,4.37,4.09,4.28,0,0
MDP_PB,D,20080109,000000,4.05,4.25,3.99,3.99,0,0
MDP_PB,D,20080110,000000,3.99,3.99,3.88,3.88,0,0
MDP_PB,D,20080111,000000,3.97,4.03,3.82,3.85,0,0
MDP_PB,D,20080114,000000,4.03,4.03,4.03,4.03,0,0
MDP_PB,D,20080115,000000,4.03,4.03,4.03,4.03,0,0
MDP_PB,D,20080117,000000,3.91,4.03,3.91,4.03,0,0
MDP_PB,D,20080118,000000,3.91,4.55,3.91,4.34,0,0
MDP_PB,D,20080121,000000,4.28,4.46,4.28,4.46,0,0
MDP_PB,D,20080122,000000,4.25,4.41,4.25,4.32,0,0
MDP_PB,D,20080123,000000,4.32,4.34,4.32,4.32,0,0
MDP_PB,D,20080124,000000,4.28,4.64,4.28,4.58,0,0
MDP_PB,D,20080125,000000,4.58,4.58,4.34,4.34,0,0
MDP_PB,D,20080128,000000,4.34,4.34,4.25,4.28,0,0
MDP_PB,D,20080129,000000,4.31,4.43,4.28,4.28,0,0
MDP_PB,D,20080130,000000,4.28,4.28,4.28,4.28,0,0
MDP_PB,D,20080131,000000,4.35,4.37,4.34,4.34,0,0
MDP_PB,D,20080201,000000,4.34,4.34,3.99,4.19,0,0
MDP_PB,D,20080204,000000,4.12,4.19,4.12,4.19,0,0
MDP_PB,D,20080205,000000,4.12,4.12,4.12,4.12,0,0
MDP_PB,D,20080206,000000,4.12,4.12,4.12,4.12,0,0
MDP_PB,D,20080207,000000,4.02,4.06,4.02,4.06,0,0
MDP_PB,D,20080208,000000,4.08,4.19,4.08,4.19,0,0
MDP_PB,D,20080211,000000,4.12,4.2,4.12,4.2,0,0
MDP_PB,D,20080213,000000,4.06,4.09,4.06,4.09,0,0
MDP_PB,D,20080214,000000,4.03,4.09,4.03,4.03,0,0
MDP_PB,D,20080215,000000,4.03,4.03,4.03,4.03,0,0
MDP_PB,D,20080218,000000,4.04,4.04,4.03,4.03,0,0
MDP_PB,D,20080219,000000,3.97,4.09,3.97,4.09,0,0
MDP_PB,D,20080220,000000,3.97,3.97,3.97,3.97,0,0
MDP_PB,D,20080221,000000,3.97,3.97,3.97,3.97,0,0
MDP_PB,D,20080222,000000,3.97,3.97,3.82,3.82,0,0
MDP_PB,D,20080225,000000,4,4,3.79,3.79,0,0
MDP_PB,D,20080226,000000,3.79,3.94,3.79,3.94,0,0
MDP_PB,D,20080228,000000,3.79,3.79,3.7,3.7,0,0
MDP_PB,D,20080303,000000,3.82,3.85,3.82,3.85,0,0
MDP_PB,D,20080304,000000,3.71,3.71,3.7,3.7,0,0
MDP_PB,D,20080305,000000,3.76,3.76,3.76,3.76,0,0
MDP_PB,D,20080306,000000,3.76,3.76,3.76,3.76,0,0
MDP_PB,D,20080307,000000,3.91,3.91,3.91,3.91,0,0
MDP_PB,D,20080310,000000,3.76,3.76,3.76,3.76,0,0
MDP_PB,D,20080311,000000,3.76,3.76,3.67,3.67,0,0
MDP_PB,D,20080312,000000,3.75,3.76,3.75,3.76,0,0
MDP_PB,D,20080318,000000,3.68,3.68,3.68,3.68,0,0
MDP_PB,D,20080319,000000,3.68,3.68,3.68,3.68,0,0
MDP_PB,D,20080325,000000,3.76,3.8,3.66,3.8,0,0
MDP_PB,D,20080326,000000,3.8,3.8,3.8,3.8,0,0
MDP_PB,D,20080328,000000,3.63,3.63,3.62,3.62,0,0
MDP_PB,D,20080402,000000,3.36,3.36,3.36,3.36,0,0
MDP_PB,D,20080403,000000,3.27,3.27,2.99,3.06,0,0
MDP_PB,D,20080404,000000,3.06,3.06,3.04,3.04,0,0
MDP_PB,D,20080408,000000,3.04,3.04,3.04,3.04,0,0
MDP_PB,D,20080409,000000,3.04,3.04,3.04,3.04,0,0
MDP_PB,D,20080410,000000,3.12,3.42,3.12,3.27,0,0
MDP_PB,D,20080411,000000,3.36,3.54,3.36,3.54,0,0
MDP_PB,D,20080414,000000,3.57,3.61,3.45,3.61,0,0
MDP_PB,D,20080415,000000,3.64,3.88,3.64,3.88,0,0
MDP_PB,D,20080416,000000,3.73,3.85,3.73,3.85,0,0
MDP_PB,D,20080417,000000,3.82,3.9,3.76,3.76,0,0
MDP_PB,D,20080418,000000,3.73,3.73,3.55,3.55,0,0
MDP_PB,D,20080421,000000,3.52,3.52,3.51,3.51,0,0
MDP_PB,D,20080423,000000,3.35,3.35,3.35,3.35,0,0
MDP_PB,D,20080424,000000,3.29,3.29,3.29,3.29,0,0
MDP_PB,D,20080425,000000,3.29,3.4,3.29,3.36,0,0
MDP_PB,D,20080428,000000,3.36,3.36,3.36,3.36,0,0
MDP_PB,D,20080505,000000,3.42,3.94,3.42,3.7,0,0
MDP_PB,D,20080506,000000,3.55,3.55,3.55,3.55,0,0
MDP_PB,D,20080507,000000,3.55,3.55,3.33,3.33,0,0
MDP_PB,D,20080508,000000,3.49,3.73,3.33,3.33,0,0
MDP_PB,D,20080512,000000,3.2,3.2,3.2,3.2,0,0
MDP_PB,D,20080513,000000,3.21,3.36,3.2,3.2,0,0
MDP_PB,D,20080514,000000,3.2,3.2,3.2,3.2,0,0
MDP_PB,D,20080515,000000,3.15,3.15,2.86,2.86,0,0
MDP_PB,D,20080516,000000,2.9,2.9,2.38,2.56,0,0
MDP_PB,D,20080519,000000,2.44,2.75,2.33,2.75,0,0
MDP_PB,D,20080520,000000,2.66,2.69,2.66,2.69,0,0
MDP_PB,D,20080521,000000,2.66,2.66,2.44,2.51,0,0
MDP_PB,D,20080523,000000,2.51,2.53,2.29,2.45,0,0
MDP_PB,D,20080526,000000,2.46,2.46,2.44,2.44,0,0
MDP_PB,D,20080529,000000,2.33,2.33,2.33,2.33,0,0
MDP_PB,D,20080530,000000,2.33,2.33,2.33,2.33,0,0
MDP_PB,D,20080603,000000,2.33,2.35,2.33,2.35,0,0
MDP_PB,D,20080604,000000,2.33,2.33,2.33,2.33,0,0
MDP_PB,D,20080605,000000,2.35,2.35,2.35,2.35,0,0
MDP_PB,D,20080609,000000,2.29,2.29,2.29,2.29,0,0
MDP_PB,D,20080610,000000,2.29,2.35,2.29,2.35,0,0
MDP_PB,D,20080612,000000,2.29,2.29,2.25,2.25,0,0
MDP_PB,D,20080613,000000,2.25,2.25,2.24,2.24,0,0
MDP_PB,D,20080616,000000,2.24,2.24,2.24,2.24,0,0
MDP_PB,D,20080617,000000,2.28,2.28,2.28,2.28,0,0
MDP_PB,D,20080618,000000,2.17,2.17,2.17,2.17,0,0
MDP_PB,D,20080619,000000,2.17,2.28,2.17,2.28,0,0
MDP_PB,D,20080620,000000,2.32,2.32,2.32,2.32,0,0
MDP_PB,D,20080623,000000,2.29,2.29,2.29,2.29,0,0
MDP_PB,D,20080625,000000,2.33,2.47,2.33,2.37,0,0
