<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMS_PB,D,20210908,000000,8.09,8.09,8.09,8.09,0,0
MMS_PB,D,20210909,000000,9.03,9.03,6.32,6.71,0,0
MMS_PB,D,20210910,000000,6.39,7.28,6.39,7.15,0,0
MMS_PB,D,20210913,000000,7.22,7.71,7.22,7.43,0,0
MMS_PB,D,20210914,000000,7.52,7.52,7,7.07,0,0
MMS_PB,D,20210915,000000,6.92,7.15,6.68,6.88,0,0
MMS_PB,D,20210916,000000,6.89,7.71,6.89,7.71,0,0
MMS_PB,D,20210917,000000,7.77,9.31,7.77,9.2,0,0
MMS_PB,D,20210920,000000,9.21,10.08,8.46,9.78,0,0
MMS_PB,D,20210921,000000,9.82,12.6,9.82,12.2,0,0
MMS_PB,D,20210922,000000,12.98,13.28,11.28,12.22,0,0
MMS_PB,D,20210923,000000,12.6,12.6,11.47,12.37,0,0
MMS_PB,D,20210924,000000,12.5,13.24,11.66,13.07,0,0
MMS_PB,D,20210927,000000,13.3,14.29,12.41,12.62,0,0
MMS_PB,D,20210928,000000,13.16,13.16,11.43,11.64,0,0
MMS_PB,D,20210929,000000,11.58,11.81,10.42,11.81,0,0
MMS_PB,D,20210930,000000,12,12,10.72,10.8,0,0
MMS_PB,D,20211001,000000,10.95,11.94,10.8,11.72,0,0
MMS_PB,D,20211004,000000,11.66,11.66,10.57,11.08,0,0
MMS_PB,D,20211005,000000,11.08,11.74,10.76,10.91,0,0
MMS_PB,D,20211006,000000,8.09,8.78,7.88,8.76,0,0
MMS_PB,D,20211007,000000,8.27,8.27,7.15,7.38,0,0
MMS_PB,D,20211008,000000,7,8.27,6.96,8.14,0,0
MMS_PB,D,20211011,000000,7.79,7.88,7.32,7.32,0,0
MMS_PB,D,20211012,000000,7.28,7.28,6.51,6.51,0,0
MMS_PB,D,20211013,000000,6.42,7.03,6.42,6.43,0,0
MMS_PB,D,20211014,000000,6.42,6.58,6.02,6.57,0,0
MMS_PB,D,20211015,000000,6.57,6.57,6.19,6.39,0,0
MMS_PB,D,20211018,000000,6.57,7.26,6.27,6.64,0,0
MMS_PB,D,20211019,000000,6.64,7.05,6.41,6.79,0,0
MMS_PB,D,20211020,000000,6.68,6.79,6.24,6.56,0,0
MMS_PB,D,20211021,000000,6.3,6.58,6.02,6.3,0,0
MMS_PB,D,20211022,000000,6.32,6.47,5.98,6.44,0,0
MMS_PB,D,20211025,000000,6.39,6.49,6.17,6.48,0,0
MMS_PB,D,20211026,000000,6.32,6.39,6.02,6.32,0,0
MMS_PB,D,20211027,000000,6.32,6.55,6.02,6.48,0,0
MMS_PB,D,20211028,000000,6.48,6.48,6.11,6.11,0,0
MMS_PB,D,20211029,000000,6.04,6.21,5.83,6.21,0,0
MMS_PB,D,20211102,000000,6.02,6.47,6.02,6.19,0,0
MMS_PB,D,20211103,000000,5.98,6.13,5.64,6.07,0,0
MMS_PB,D,20211104,000000,5.92,6.3,5.74,6.15,0,0
MMS_PB,D,20211105,000000,6.15,6.3,5.92,6.09,0,0
MMS_PB,D,20211108,000000,6.05,6.27,5.86,6.02,0,0
MMS_PB,D,20211109,000000,5.92,6.05,5.87,6.05,0,0
MMS_PB,D,20211110,000000,5.87,6.39,5.87,6.39,0,0
MMS_PB,D,20211112,000000,6.39,7.3,6.39,6.84,0,0
MMS_PB,D,20211115,000000,6.94,6.94,6.39,6.42,0,0
MMS_PB,D,20211116,000000,6.42,6.58,6.21,6.53,0,0
MMS_PB,D,20211117,000000,6.53,6.86,6.32,6.86,0,0
MMS_PB,D,20211118,000000,6.63,6.84,6.31,6.31,0,0
MMS_PB,D,20211119,000000,6.66,6.66,6.31,6.47,0,0
MMS_PB,D,20211122,000000,6.35,6.51,6.27,6.47,0,0
MMS_PB,D,20211123,000000,6.47,6.51,6.37,6.5,0,0
MMS_PB,D,20211124,000000,6.51,6.84,6.45,6.82,0,0
MMS_PB,D,20211125,000000,6.82,7.35,6.82,7.25,0,0
MMS_PB,D,20211126,000000,7.42,7.61,7.04,7.45,0,0
MMS_PB,D,20211129,000000,7.47,7.47,6.9,7.35,0,0
MMS_PB,D,20211130,000000,7.35,7.57,7.25,7.57,0,0
MMS_PB,D,20211201,000000,7.56,8.21,7.53,8.21,0,0
MMS_PB,D,20211202,000000,8.21,8.21,7.76,8.17,0,0
MMS_PB,D,20211203,000000,8.17,8.17,7.82,8.12,0,0
MMS_PB,D,20211206,000000,8.27,8.27,7.84,8.12,0,0
MMS_PB,D,20211207,000000,7.84,8.12,7.71,7.84,0,0
MMS_PB,D,20211208,000000,7.84,8.1,7.65,8.04,0,0
MMS_PB,D,20211209,000000,8.04,8.23,8.04,8.19,0,0
MMS_PB,D,20211210,000000,8.1,8.53,7.84,8.51,0,0
MMS_PB,D,20211213,000000,8.55,8.98,8.43,8.53,0,0
MMS_PB,D,20211214,000000,8.76,8.86,7.96,8.04,0,0
MMS_PB,D,20211215,000000,7.84,7.94,7.61,7.74,0,0
MMS_PB,D,20211216,000000,7.69,7.88,7.67,7.84,0,0
MMS_PB,D,20211217,000000,7.61,7.8,7.38,7.45,0,0
MMS_PB,D,20211220,000000,7.38,7.45,7.23,7.43,0,0
MMS_PB,D,20211221,000000,7.43,7.84,7.25,7.76,0,0
MMS_PB,D,20211222,000000,7.72,7.76,7.65,7.65,0,0
MMS_PB,D,20211223,000000,7.76,7.76,7.39,7.64,0,0
MMS_PB,D,20211227,000000,7.63,7.63,7.06,7.55,0,0
MMS_PB,D,20211228,000000,7.61,7.61,7.03,7.08,0,0
MMS_PB,D,20211229,000000,6.96,7.35,6.96,7.21,0,0
MMS_PB,D,20211230,000000,7.18,7.84,7.18,7.65,0,0
MMS_PB,D,20220103,000000,7.84,7.84,7.42,7.84,0,0
MMS_PB,D,20220104,000000,7.84,7.84,7.47,7.61,0,0
MMS_PB,D,20220105,000000,7.65,7.84,7.32,7.82,0,0
MMS_PB,D,20220107,000000,7.83,8.04,7.83,7.9,0,0
MMS_PB,D,20220110,000000,7.92,8.04,7.67,7.7,0,0
MMS_PB,D,20220111,000000,7.84,7.84,7.61,7.8,0,0
MMS_PB,D,20220112,000000,7.68,7.84,7.68,7.69,0,0
MMS_PB,D,20220113,000000,7.84,7.9,7.49,7.9,0,0
MMS_PB,D,20220114,000000,7.84,8.27,7.76,8.19,0,0
MMS_PB,D,20220117,000000,8.02,8.23,7.96,8.19,0,0
MMS_PB,D,20220118,000000,7.98,8.21,7.77,7.84,0,0
MMS_PB,D,20220119,000000,7.84,8.16,7.74,8.11,0,0
MMS_PB,D,20220120,000000,7.78,7.9,7.76,7.9,0,0
MMS_PB,D,20220121,000000,7.84,8.04,7.63,7.98,0,0
MMS_PB,D,20220124,000000,7.74,7.94,7.45,7.65,0,0
MMS_PB,D,20220125,000000,7.55,7.92,7.12,7.76,0,0
MMS_PB,D,20220126,000000,7.76,7.76,7.31,7.63,0,0
MMS_PB,D,20220127,000000,7.53,7.53,7.08,7.39,0,0
MMS_PB,D,20220128,000000,7.16,7.25,6.96,7.21,0,0
MMS_PB,D,20220131,000000,7.21,7.23,7.02,7.22,0,0
MMS_PB,D,20220201,000000,7.25,7.29,6.9,7.27,0,0
MMS_PB,D,20220202,000000,7.27,7.55,7.22,7.55,0,0
MMS_PB,D,20220203,000000,7.53,7.76,7.36,7.74,0,0
MMS_PB,D,20220204,000000,7.74,7.74,7.31,7.53,0,0
MMS_PB,D,20220207,000000,7.65,7.7,7.31,7.59,0,0
MMS_PB,D,20220208,000000,7.47,7.65,7.31,7.61,0,0
MMS_PB,D,20220209,000000,7.61,7.63,6.88,7.34,0,0
MMS_PB,D,20220210,000000,7.34,7.34,7.2,7.34,0,0
MMS_PB,D,20220211,000000,7.35,7.65,6.97,7.63,0,0
MMS_PB,D,20220214,000000,7.65,7.65,6.76,7.25,0,0
MMS_PB,D,20220215,000000,6.91,7.3,6.77,7.19,0,0
MMS_PB,D,20220216,000000,6.77,7.15,6.65,6.86,0,0
MMS_PB,D,20220217,000000,6.67,6.93,6.58,6.67,0,0
MMS_PB,D,20220218,000000,6.68,6.88,6.68,6.71,0,0
MMS_PB,D,20220221,000000,6.82,6.82,6.45,6.45,0,0
MMS_PB,D,20220222,000000,6.35,6.46,6.08,6.46,0,0
MMS_PB,D,20220223,000000,6.55,6.74,6.39,6.66,0,0
MMS_PB,D,20220224,000000,5.9,6.27,5.1,5.88,0,0
MMS_PB,D,20220225,000000,5.88,6.43,5.55,6.43,0,0
MMS_PB,D,20220228,000000,6.63,6.63,6.57,6.57,0,0
MMS_PB,D,20220301,000000,6.55,6.55,5.89,6.02,0,0
MMS_PB,D,20220302,000000,6.43,6.43,5.35,6.04,0,0
MMS_PB,D,20220303,000000,5.49,5.8,5.49,5.78,0,0
MMS_PB,D,20220304,000000,5.57,6.12,5.55,6.12,0,0
MMS_PB,D,20220307,000000,6.17,6.17,5.49,6.13,0,0
MMS_PB,D,20220308,000000,5.88,5.96,5.57,5.86,0,0
MMS_PB,D,20220309,000000,5.86,6.45,5.84,6.39,0,0
MMS_PB,D,20220310,000000,6.51,6.78,6.23,6.67,0,0
MMS_PB,D,20220311,000000,6.43,6.74,6.31,6.74,0,0
MMS_PB,D,20220314,000000,6.73,7.19,6.73,7.17,0,0
MMS_PB,D,20220315,000000,6.76,7.02,6.67,7.02,0,0
MMS_PB,D,20220316,000000,6.67,6.96,6.47,6.83,0,0
MMS_PB,D,20220317,000000,6.83,6.83,6.4,6.76,0,0
MMS_PB,D,20220318,000000,6.41,6.67,6.27,6.63,0,0
MMS_PB,D,20220321,000000,6.67,6.76,6.39,6.65,0,0
MMS_PB,D,20220322,000000,6.37,6.37,5.88,6.02,0,0
MMS_PB,D,20220323,000000,6.02,6.62,5.9,6.55,0,0
MMS_PB,D,20220324,000000,6.74,6.74,6.35,6.51,0,0
MMS_PB,D,20220325,000000,6.35,6.49,6.3,6.47,0,0
MMS_PB,D,20220328,000000,6.14,6.44,6.1,6.1,0,0
MMS_PB,D,20220329,000000,6.26,6.3,5.94,6.06,0,0
MMS_PB,D,20220330,000000,6.08,6.08,5.96,5.96,0,0
MMS_PB,D,20220331,000000,5.9,6.08,5.88,6.02,0,0
MMS_PB,D,20220401,000000,6.99,6.99,6.14,6.89,0,0
MMS_PB,D,20220404,000000,6.87,6.87,6.61,6.87,0,0
MMS_PB,D,20220405,000000,6.53,6.63,6.45,6.63,0,0
MMS_PB,D,20220406,000000,6.45,6.56,6.41,6.54,0,0
MMS_PB,D,20220407,000000,6.51,6.59,6.02,6.36,0,0
MMS_PB,D,20220408,000000,6.2,6.51,5.93,6.41,0,0
MMS_PB,D,20220411,000000,6.47,6.47,6.32,6.41,0,0
MMS_PB,D,20220412,000000,6.42,6.43,6.04,6.28,0,0
MMS_PB,D,20220413,000000,6.08,6.29,5.91,6.19,0,0
MMS_PB,D,20220414,000000,5.9,6.15,5.9,6.1,0,0
MMS_PB,D,20220419,000000,6.1,6.16,6.01,6.01,0,0
MMS_PB,D,20220420,000000,6.06,6.1,5.9,6.1,0,0
MMS_PB,D,20220421,000000,6.1,6.1,6.08,6.08,0,0
MMS_PB,D,20220422,000000,6.1,7.2,6.09,6.77,0,0
MMS_PB,D,20220425,000000,6.71,6.79,6.39,6.39,0,0
MMS_PB,D,20220426,000000,6.38,6.55,6,6.46,0,0
MMS_PB,D,20220427,000000,6.13,6.41,6.13,6.41,0,0
MMS_PB,D,20220428,000000,6.14,6.29,6.13,6.28,0,0
MMS_PB,D,20220429,000000,6.24,6.27,6.1,6.24,0,0
MMS_PB,D,20220502,000000,6.26,6.26,6.05,6.05,0,0
MMS_PB,D,20220504,000000,5.9,6.09,5.9,6.09,0,0
MMS_PB,D,20220505,000000,6.14,6.14,6.13,6.13,0,0
MMS_PB,D,20220506,000000,6.02,6.17,6.02,6.16,0,0
MMS_PB,D,20220509,000000,6.09,6.27,5.98,5.98,0,0
MMS_PB,D,20220510,000000,5.98,5.98,5.92,5.98,0,0
MMS_PB,D,20220511,000000,5.93,5.98,5.29,5.74,0,0
MMS_PB,D,20220512,000000,5.57,5.96,5.34,5.96,0,0
MMS_PB,D,20220513,000000,5.95,5.98,5.95,5.98,0,0
MMS_PB,D,20220516,000000,5.88,5.98,5.71,5.98,0,0
MMS_PB,D,20220517,000000,5.9,5.96,5.9,5.96,0,0
MMS_PB,D,20220518,000000,5.96,5.98,5.96,5.97,0,0
MMS_PB,D,20220519,000000,5.85,5.95,5.16,5.29,0,0
MMS_PB,D,20220520,000000,5.28,5.37,5.1,5.12,0,0
MMS_PB,D,20220523,000000,5.12,5.67,5.12,5.25,0,0
MMS_PB,D,20220524,000000,4.9,5.36,4.9,5.15,0,0
MMS_PB,D,20220525,000000,5.08,5.26,5.08,5.21,0,0
MMS_PB,D,20220526,000000,5.07,5.07,4.79,4.97,0,0
MMS_PB,D,20220527,000000,4.89,5.53,4.8,5.48,0,0
MMS_PB,D,20220530,000000,5.47,6.02,5.35,5.94,0,0
