<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPS_PB,D,20210701,000000,27.2,27.2,27.2,27.2,0,0
MPS_PB,D,20210702,000000,25.97,25.97,23.05,23.37,0,0
MPS_PB,D,20210705,000000,23.37,23.37,21.48,22.14,0,0
MPS_PB,D,20210706,000000,22.14,22.72,22.14,22.72,0,0
MPS_PB,D,20210707,000000,22.4,22.4,22.4,22.4,0,0
MPS_PB,D,20210708,000000,22.39,22.39,21.89,21.89,0,0
MPS_PB,D,20210709,000000,21.42,21.42,21.42,21.42,0,0
MPS_PB,D,20210712,000000,21.42,21.42,21.42,21.42,0,0
MPS_PB,D,20210713,000000,21.1,21.1,21.09,21.09,0,0
MPS_PB,D,20210714,000000,21.09,21.09,21.09,21.09,0,0
MPS_PB,D,20210715,000000,20.77,20.77,19.93,20.77,0,0
MPS_PB,D,20210716,000000,20.32,20.32,20.06,20.13,0,0
MPS_PB,D,20210719,000000,19.93,19.93,18.83,19.47,0,0
MPS_PB,D,20210720,000000,19.47,19.47,19.38,19.38,0,0
MPS_PB,D,20210721,000000,18.95,18.96,18.95,18.96,0,0
MPS_PB,D,20210723,000000,18.83,19.43,18.83,19.42,0,0
MPS_PB,D,20210726,000000,19.15,19.16,19.15,19.15,0,0
MPS_PB,D,20210727,000000,18.96,18.96,18.96,18.96,0,0
MPS_PB,D,20210728,000000,19.48,19.48,18.7,18.83,0,0
MPS_PB,D,20210729,000000,18.83,18.83,18.83,18.83,0,0
MPS_PB,D,20210730,000000,18.57,20.32,18.57,20.32,0,0
MPS_PB,D,20210802,000000,20.32,20.32,19.48,19.48,0,0
MPS_PB,D,20210803,000000,19.48,19.48,19.48,19.48,0,0
MPS_PB,D,20210804,000000,19.48,19.48,19.48,19.48,0,0
MPS_PB,D,20210805,000000,20.19,20.77,19.48,19.8,0,0
MPS_PB,D,20210806,000000,19.48,19.61,19.28,19.54,0,0
MPS_PB,D,20210809,000000,19.48,19.48,19.48,19.48,0,0
MPS_PB,D,20210810,000000,19.48,19.48,19.48,19.48,0,0
MPS_PB,D,20210811,000000,19.48,19.48,19.48,19.48,0,0
MPS_PB,D,20210812,000000,19.48,19.48,19.4,19.4,0,0
MPS_PB,D,20210813,000000,19.4,19.48,19.4,19.48,0,0
MPS_PB,D,20210816,000000,19.4,19.8,19.4,19.48,0,0
MPS_PB,D,20210817,000000,19.48,19.48,19.15,19.15,0,0
MPS_PB,D,20210818,000000,19.12,19.12,19.09,19.09,0,0
MPS_PB,D,20210819,000000,18.96,19.28,18.96,19.28,0,0
MPS_PB,D,20210820,000000,19.48,19.48,19.48,19.48,0,0
MPS_PB,D,20210823,000000,19.28,19.28,18.7,18.7,0,0
MPS_PB,D,20210824,000000,18.7,18.7,18.7,18.7,0,0
MPS_PB,D,20210825,000000,18.31,19.89,18.31,19.89,0,0
MPS_PB,D,20210826,000000,19.89,20.16,19.89,19.89,0,0
MPS_PB,D,20210827,000000,19.89,19.89,19.89,19.89,0,0
MPS_PB,D,20210830,000000,20.09,20.15,20.09,20.15,0,0
MPS_PB,D,20210831,000000,20.16,23.14,19.89,23.14,0,0
MPS_PB,D,20210901,000000,23.48,28.14,23.48,27.64,0,0
MPS_PB,D,20210902,000000,27.19,28.51,25.86,28.51,0,0
MPS_PB,D,20210903,000000,29.44,33.15,29.44,32.8,0,0
MPS_PB,D,20210906,000000,30.84,30.84,28.52,29.97,0,0
MPS_PB,D,20210907,000000,29.44,30.5,29.18,30.5,0,0
MPS_PB,D,20210908,000000,31.31,31.31,30.5,30.5,0,0
MPS_PB,D,20210909,000000,30.5,32.72,30.5,32.72,0,0
MPS_PB,D,20210910,000000,32.72,32.72,32.18,32.72,0,0
MPS_PB,D,20210913,000000,32.69,32.69,32.2,32.68,0,0
MPS_PB,D,20210914,000000,32.49,32.49,30.83,31.82,0,0
MPS_PB,D,20210915,000000,30.84,30.84,29.83,29.83,0,0
MPS_PB,D,20210916,000000,29.84,31.73,29.84,31.06,0,0
MPS_PB,D,20210917,000000,31.17,31.17,31.17,31.17,0,0
MPS_PB,D,20210920,000000,31.17,31.17,29.93,30.04,0,0
MPS_PB,D,20210921,000000,30.37,33.13,30.37,32.69,0,0
MPS_PB,D,20210922,000000,33.12,39.12,32.5,38.46,0,0
MPS_PB,D,20210923,000000,38.32,38.46,34.15,36.8,0,0
MPS_PB,D,20210924,000000,37.46,37.46,35.57,35.57,0,0
MPS_PB,D,20210927,000000,35.57,36.78,35.57,35.57,0,0
MPS_PB,D,20210928,000000,35.14,35.15,35.14,35.15,0,0
MPS_PB,D,20210929,000000,35.14,36.47,35.14,35.49,0,0
MPS_PB,D,20210930,000000,35.14,36.42,35.14,35.81,0,0
MPS_PB,D,20211001,000000,35.48,35.81,35.28,35.34,0,0
MPS_PB,D,20211004,000000,35.78,35.78,35.73,35.73,0,0
MPS_PB,D,20211005,000000,35.29,35.29,33.26,33.49,0,0
MPS_PB,D,20211006,000000,34.12,34.12,31.89,33.82,0,0
MPS_PB,D,20211007,000000,33.23,33.82,33.16,33.82,0,0
MPS_PB,D,20211011,000000,34.02,35.7,33.68,35.7,0,0
MPS_PB,D,20211012,000000,35.7,37.13,35.7,37.13,0,0
MPS_PB,D,20211013,000000,37.14,37.71,37.13,37.71,0,0
MPS_PB,D,20211014,000000,37.71,37.72,37.58,37.72,0,0
MPS_PB,D,20211015,000000,37.8,38.3,37.8,38.26,0,0
MPS_PB,D,20211018,000000,38.42,38.42,37.8,38.32,0,0
MPS_PB,D,20211019,000000,38.32,38.32,37.13,37.13,0,0
MPS_PB,D,20211020,000000,37.13,37.27,37,37.13,0,0
MPS_PB,D,20211021,000000,37.47,37.47,37.13,37.33,0,0
MPS_PB,D,20211022,000000,37.4,37.4,37.13,37.17,0,0
MPS_PB,D,20211025,000000,37.14,37.33,37.14,37.33,0,0
MPS_PB,D,20211026,000000,37.33,37.33,37.01,37.01,0,0
MPS_PB,D,20211027,000000,37.33,37.33,36.55,37.12,0,0
MPS_PB,D,20211028,000000,36.53,36.99,35.87,36.99,0,0
MPS_PB,D,20211029,000000,37,37,35.81,36.46,0,0
MPS_PB,D,20211102,000000,36.46,36.46,35.48,35.81,0,0
MPS_PB,D,20211103,000000,35.48,35.48,33.16,33.81,0,0
MPS_PB,D,20211104,000000,33.81,36.36,33.81,33.82,0,0
MPS_PB,D,20211105,000000,33.2,33.29,32.49,33.16,0,0
MPS_PB,D,20211108,000000,33.16,33.79,33.16,33.79,0,0
MPS_PB,D,20211109,000000,33.16,33.82,33.16,33.82,0,0
MPS_PB,D,20211110,000000,33.71,33.71,33.48,33.48,0,0
MPS_PB,D,20211112,000000,33.16,33.45,32.49,33.45,0,0
