<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPY_MV,D,20111124,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20111125,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20111129,000000,9.41,12.1,9.41,12.1,0,0
MPY_MV,D,20111130,000000,11.2,11.65,11.2,11.65,0,0
MPY_MV,D,20111201,000000,11.2,11.65,9.86,11.65,0,0
MPY_MV,D,20111202,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20111205,000000,11.65,11.65,9.86,11.65,0,0
MPY_MV,D,20111207,000000,11.65,11.65,11.65,11.65,0,0
MPY_MV,D,20111209,000000,10.75,11.65,10.75,11.65,0,0
MPY_MV,D,20111212,000000,11.65,11.65,11.65,11.65,0,0
MPY_MV,D,20111215,000000,11.65,11.65,11.65,11.65,0,0
MPY_MV,D,20111216,000000,11.65,11.65,11.65,11.65,0,0
MPY_MV,D,20111219,000000,12.1,12.1,12.1,12.1,0,0
MPY_MV,D,20111227,000000,11.65,11.65,10.75,10.75,0,0
MPY_MV,D,20111230,000000,10.75,10.75,10.75,10.75,0,0
MPY_MV,D,20120102,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20120104,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120105,000000,10.75,10.75,10.75,10.75,0,0
MPY_MV,D,20120109,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120110,000000,8.96,8.96,8.96,8.96,0,0
MPY_MV,D,20120111,000000,10.75,10.75,8.96,10.3,0,0
MPY_MV,D,20120112,000000,11.2,11.2,10.75,11.2,0,0
MPY_MV,D,20120113,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120117,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120118,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120119,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120120,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120123,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120127,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120130,000000,11.65,11.65,11.2,11.2,0,0
MPY_MV,D,20120201,000000,11.65,11.65,11.65,11.65,0,0
MPY_MV,D,20120202,000000,11.65,11.65,10.75,10.75,0,0
MPY_MV,D,20120206,000000,11.2,12.99,11.2,12.99,0,0
MPY_MV,D,20120207,000000,12.1,12.1,12.1,12.1,0,0
MPY_MV,D,20120210,000000,12.99,12.99,12.99,12.99,0,0
MPY_MV,D,20120214,000000,12.99,12.99,12.99,12.99,0,0
MPY_MV,D,20120221,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20120223,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20120224,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20120227,000000,12.99,12.99,12.99,12.99,0,0
MPY_MV,D,20120228,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20120302,000000,12.1,12.1,11.2,11.2,0,0
MPY_MV,D,20120305,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20120306,000000,11.2,11.2,9.86,9.86,0,0
MPY_MV,D,20120307,000000,10.3,10.75,10.3,10.75,0,0
MPY_MV,D,20120308,000000,10.3,10.3,10.3,10.3,0,0
MPY_MV,D,20120309,000000,10.3,10.3,10.3,10.3,0,0
MPY_MV,D,20120316,000000,10.3,10.3,10.3,10.3,0,0
MPY_MV,D,20120319,000000,10.3,10.3,10.3,10.3,0,0
MPY_MV,D,20120320,000000,10.3,10.3,10.3,10.3,0,0
MPY_MV,D,20120405,000000,9.86,10.3,9.86,10.3,0,0
MPY_MV,D,20120411,000000,11.65,11.65,10.75,10.75,0,0
MPY_MV,D,20120417,000000,10.3,10.75,10.3,10.75,0,0
MPY_MV,D,20120426,000000,10.75,10.75,10.75,10.75,0,0
MPY_MV,D,20120504,000000,10.75,11.2,10.75,11.2,0,0
MPY_MV,D,20120517,000000,9.86,11.2,8.96,11.2,0,0
MPY_MV,D,20120523,000000,10.3,12.1,10.3,12.1,0,0
MPY_MV,D,20120524,000000,12.1,12.1,12.1,12.1,0,0
MPY_MV,D,20120531,000000,10.75,10.75,10.75,10.75,0,0
MPY_MV,D,20120605,000000,10.3,10.3,8.96,8.96,0,0
MPY_MV,D,20120606,000000,8.51,8.51,8.51,8.51,0,0
MPY_MV,D,20120628,000000,9.41,9.41,9.41,9.41,0,0
MPY_MV,D,20120716,000000,9.41,9.86,9.41,9.86,0,0
MPY_MV,D,20120718,000000,8.51,8.51,8.51,8.51,0,0
MPY_MV,D,20120730,000000,10.75,10.75,10.75,10.75,0,0
MPY_MV,D,20120903,000000,9.41,9.41,9.41,9.41,0,0
MPY_MV,D,20120917,000000,8.96,8.96,8.96,8.96,0,0
MPY_MV,D,20120926,000000,7.62,9.41,7.62,9.41,0,0
MPY_MV,D,20120928,000000,8.51,8.51,8.51,8.51,0,0
MPY_MV,D,20121002,000000,8.96,9.41,8.96,9.41,0,0
MPY_MV,D,20121003,000000,9.41,9.41,9.41,9.41,0,0
MPY_MV,D,20121009,000000,9.41,9.41,9.41,9.41,0,0
MPY_MV,D,20121108,000000,9.86,9.86,9.86,9.86,0,0
MPY_MV,D,20121212,000000,8.06,8.06,8.06,8.06,0,0
MPY_MV,D,20121217,000000,9.86,9.86,9.86,9.86,0,0
MPY_MV,D,20121218,000000,8.06,9.86,8.06,9.86,0,0
MPY_MV,D,20121228,000000,12.99,12.99,12.99,12.99,0,0
MPY_MV,D,20130104,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20130109,000000,11.2,12.54,11.2,12.54,0,0
MPY_MV,D,20130117,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20130118,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20130122,000000,10.3,10.3,9.86,9.86,0,0
MPY_MV,D,20130129,000000,12.1,12.99,12.1,12.99,0,0
MPY_MV,D,20130205,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20130207,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20130211,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20130212,000000,12.54,12.54,12.54,12.54,0,0
MPY_MV,D,20130219,000000,11.65,12.99,11.65,12.99,0,0
MPY_MV,D,20130306,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20130318,000000,11.2,11.2,11.2,11.2,0,0
MPY_MV,D,20130321,000000,10.75,10.75,9.41,9.41,0,0
MPY_MV,D,20130322,000000,10.75,12.54,9.41,9.41,0,0
MPY_MV,D,20130325,000000,12.1,12.1,12.1,12.1,0,0
MPY_MV,D,20130326,000000,9.86,9.86,9.86,9.86,0,0
MPY_MV,D,20130328,000000,12.1,12.1,9.86,9.86,0,0
MPY_MV,D,20130403,000000,8.96,10.3,8.96,10.3,0,0
MPY_MV,D,20130412,000000,10.75,10.75,10.75,10.75,0,0
MPY_MV,D,20130415,000000,8.96,8.96,8.96,8.96,0,0
MPY_MV,D,20130417,000000,8.96,8.96,8.96,8.96,0,0
