<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRG_PE,D,20120621,000000,12.5,12.5,12.5,12.5,0,0
MRG_PE,D,20120622,000000,12.5,12.5,11.2,11.3,0,0
MRG_PE,D,20120625,000000,11.3,11.3,9.7,11.3,0,0
MRG_PE,D,20120626,000000,11.3,11.3,11.3,11.3,0,0
MRG_PE,D,20120627,000000,11.3,11.3,9.7,11.3,0,0
MRG_PE,D,20120628,000000,11.3,11.3,9.3,9.3,0,0
MRG_PE,D,20120629,000000,9.6,11.2,9.6,11.2,0,0
MRG_PE,D,20120702,000000,10.7,10.7,10.6,10.6,0,0
MRG_PE,D,20120703,000000,10.6,11.2,9.1,9.2,0,0
MRG_PE,D,20120704,000000,9.2,9.2,8.6,8.6,0,0
MRG_PE,D,20120705,000000,8.6,8.6,8,8,0,0
MRG_PE,D,20120710,000000,7.8,8.8,7.8,8.8,0,0
MRG_PE,D,20120711,000000,8.3,8.3,8.2,8.2,0,0
MRG_PE,D,20120712,000000,7.9,8.8,7.2,8.8,0,0
MRG_PE,D,20120713,000000,8.4,8.4,8.3,8.4,0,0
MRG_PE,D,20120716,000000,8.1,8.1,8,8,0,0
MRG_PE,D,20120717,000000,7.1,7.1,7.1,7.1,0,0
MRG_PE,D,20120724,000000,7.3,7.3,7.2,7.2,0,0
MRG_PE,D,20120726,000000,7.3,8.6,7.3,8.6,0,0
MRG_PE,D,20120727,000000,8.6,9.6,8.6,9.6,0,0
MRG_PE,D,20120730,000000,9.6,11.6,9.6,11.6,0,0
MRG_PE,D,20120731,000000,11.6,11.8,11.6,11.7,0,0
MRG_PE,D,20120801,000000,11.7,12.9,11.7,12.9,0,0
MRG_PE,D,20120802,000000,12.6,13.5,12.6,12.9,0,0
MRG_PE,D,20120803,000000,16.1,16.1,16.1,16.1,0,0
MRG_PE,D,20120809,000000,16.1,18,16.1,18,0,0
MRG_PE,D,20120810,000000,18,19,18,19,0,0
MRG_PE,D,20120813,000000,19.3,19.3,17.5,19.3,0,0
MRG_PE,D,20120814,000000,19.3,19.3,17.7,19.3,0,0
MRG_PE,D,20120816,000000,18.4,18.5,17.9,18.5,0,0
MRG_PE,D,20120817,000000,18.5,18.5,18.1,18.5,0,0
MRG_PE,D,20120820,000000,18.5,18.5,18,18.5,0,0
MRG_PE,D,20120821,000000,18.5,18.5,18.5,18.5,0,0
MRG_PE,D,20120822,000000,18.5,19,18.5,19,0,0
MRG_PE,D,20120823,000000,19,19,12.4,12.4,0,0
MRG_PE,D,20120824,000000,12.4,12.4,12.2,12.2,0,0
MRG_PE,D,20120827,000000,12.1,12.1,11.7,11.7,0,0
MRG_PE,D,20120830,000000,11.6,11.7,11.6,11.7,0,0
MRG_PE,D,20120903,000000,11.6,11.7,11.6,11.7,0,0
MRG_PE,D,20120904,000000,11.6,11.6,11.3,11.5,0,0
MRG_PE,D,20120906,000000,11.5,11.5,11.5,11.5,0,0
MRG_PE,D,20120907,000000,11.5,11.5,11.1,11.5,0,0
MRG_PE,D,20120910,000000,11.1,11.5,10.6,11.5,0,0
MRG_PE,D,20120911,000000,9.2,9.6,8.3,8.3,0,0
MRG_PE,D,20120912,000000,9.9,11.6,8.9,11.5,0,0
MRG_PE,D,20120913,000000,11.4,11.4,10.5,11.3,0,0
MRG_PE,D,20120914,000000,10.9,10.9,10.5,10.7,0,0
MRG_PE,D,20120917,000000,10.5,10.7,10.5,10.7,0,0
MRG_PE,D,20120919,000000,10,11.5,10,11.5,0,0
MRG_PE,D,20120920,000000,11.5,11.5,10.5,11.5,0,0
