<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTW_MV,D,20130408,000000,9.3832,9.3832,9.3832,9.3832,0,0
NTW_MV,D,20130409,000000,10.277,10.309,8.3063,10.309,0,0
NTW_MV,D,20130410,000000,9.75,10.397,7.7954,7.7954,0,0
NTW_MV,D,20130411,000000,6.5029,7.7156,6.5029,7.4684,0,0
NTW_MV,D,20130412,000000,7.2848,7.2848,5.9762,6.4869,0,0
NTW_MV,D,20130415,000000,5.9284,5.9284,5.6891,5.6891,0,0
NTW_MV,D,20130417,000000,6.0067,6.275,5.6085,5.6864,0,0
NTW_MV,D,20130418,000000,5.7688,6.2157,5.7688,6.0082,0,0
NTW_MV,D,20130419,000000,5.8485,6.1519,4.8912,6.088,0,0
NTW_MV,D,20130422,000000,6.088,6.088,5.6891,6.0002,0,0
NTW_MV,D,20130423,000000,5.9843,6.2955,4.8832,5.7688,0,0
NTW_MV,D,20130424,000000,5.7688,5.7688,5.6891,5.6891,0,0
NTW_MV,D,20130429,000000,5.6093,5.8485,5.6093,5.8485,0,0
NTW_MV,D,20130430,000000,5.8509,6.2923,5.8509,6.2923,0,0
NTW_MV,D,20130502,000000,6.2923,6.2923,6.2923,6.2923,0,0
NTW_MV,D,20130506,000000,6.2955,6.2955,5.6811,5.8087,0,0
NTW_MV,D,20130508,000000,5.6085,5.6085,5.6085,5.6085,0,0
NTW_MV,D,20130509,000000,5.8076,5.8076,5.5826,5.5826,0,0
NTW_MV,D,20130510,000000,5.7644,5.7644,5.7644,5.7644,0,0
NTW_MV,D,20130513,000000,5.7688,5.8087,5.6093,5.6093,0,0
NTW_MV,D,20130514,000000,5.5215,5.5215,5.4417,5.4417,0,0
NTW_MV,D,20130515,000000,5.3619,5.3619,5.2342,5.3619,0,0
NTW_MV,D,20130516,000000,5.2022,5.3619,5.2022,5.3619,0,0
NTW_MV,D,20130521,000000,5.3619,5.3619,5.3619,5.3619,0,0
NTW_MV,D,20130522,000000,5.3619,5.4417,5.2582,5.2582,0,0
NTW_MV,D,20130524,000000,5.2018,5.2018,4.9594,5.1152,0,0
NTW_MV,D,20130528,000000,5.1152,5.1152,5.1152,5.1152,0,0
NTW_MV,D,20130529,000000,5.1152,5.2018,5.1152,5.2018,0,0
NTW_MV,D,20130531,000000,4.8642,5.6432,4.8642,5.6432,0,0
NTW_MV,D,20130603,000000,5.7297,5.7297,5.7297,5.7297,0,0
NTW_MV,D,20130605,000000,5.7297,5.9028,5.6692,5.6692,0,0
NTW_MV,D,20130610,000000,5.7297,5.9894,5.7297,5.9894,0,0
NTW_MV,D,20130611,000000,6.024,6.024,6.024,6.024,0,0
NTW_MV,D,20130612,000000,6.024,6.024,6.024,6.024,0,0
NTW_MV,D,20130613,000000,6.0154,6.0154,6.0154,6.0154,0,0
NTW_MV,D,20130614,000000,6.0154,6.0154,5.7384,5.8163,0,0
