<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ONE_PB,D,20220126,000000,1.98,2.97,1.98,2.97,0,0
ONE_PB,D,20220131,000000,3.24,3.24,2.47,2.47,0,0
ONE_PB,D,20220201,000000,2.45,2.6,2.29,2.6,0,0
ONE_PB,D,20220202,000000,2.67,2.67,2.16,2.16,0,0
ONE_PB,D,20220203,000000,2.14,2.14,1.54,1.54,0,0
ONE_PB,D,20220204,000000,1.54,1.68,1.48,1.57,0,0
ONE_PB,D,20220207,000000,1.59,1.59,1.21,1.21,0,0
ONE_PB,D,20220208,000000,1.21,1.43,1.21,1.4,0,0
ONE_PB,D,20220209,000000,1.39,1.65,1.31,1.54,0,0
ONE_PB,D,20220210,000000,1.65,1.65,1.06,1.06,0,0
ONE_PB,D,20220211,000000,1.09,1.17,1.09,1.13,0,0
ONE_PB,D,20220214,000000,1.15,1.15,1.1,1.11,0,0
ONE_PB,D,20220215,000000,1.1,1.17,1.1,1.12,0,0
ONE_PB,D,20220216,000000,1.12,1.3,1.12,1.25,0,0
ONE_PB,D,20220217,000000,1.22,1.22,1.07,1.08,0,0
ONE_PB,D,20220218,000000,1.08,1.12,1.06,1.1,0,0
ONE_PB,D,20220221,000000,1.1,1.1,1.06,1.06,0,0
ONE_PB,D,20220222,000000,1.06,1.11,0.88,0.88,0,0
ONE_PB,D,20220223,000000,0.87,0.88,0.79,0.79,0,0
ONE_PB,D,20220224,000000,0.66,0.66,0.48,0.56,0,0
ONE_PB,D,20220225,000000,0.59,0.68,0.56,0.64,0,0
ONE_PB,D,20220228,000000,0.62,0.71,0.62,0.69,0,0
ONE_PB,D,20220301,000000,0.67,0.68,0.62,0.64,0,0
ONE_PB,D,20220302,000000,0.62,0.65,0.57,0.59,0,0
ONE_PB,D,20220303,000000,0.57,0.59,0.53,0.56,0,0
ONE_PB,D,20220304,000000,0.56,0.56,0.54,0.56,0,0
ONE_PB,D,20220307,000000,0.56,0.59,0.55,0.57,0,0
ONE_PB,D,20220308,000000,0.55,0.58,0.55,0.56,0,0
ONE_PB,D,20220309,000000,0.58,0.58,0.54,0.57,0,0
ONE_PB,D,20220310,000000,0.57,0.64,0.56,0.57,0,0
ONE_PB,D,20220311,000000,0.57,0.7,0.57,0.68,0,0
ONE_PB,D,20220314,000000,0.68,0.77,0.68,0.77,0,0
ONE_PB,D,20220315,000000,0.77,0.78,0.7,0.74,0,0
ONE_PB,D,20220316,000000,0.75,0.75,0.7,0.71,0,0
ONE_PB,D,20220317,000000,0.73,0.88,0.73,0.88,0,0
ONE_PB,D,20220318,000000,0.89,0.97,0.84,0.95,0,0
ONE_PB,D,20220321,000000,0.93,0.98,0.88,0.92,0,0
ONE_PB,D,20220322,000000,0.93,0.94,0.87,0.88,0,0
ONE_PB,D,20220323,000000,0.88,0.92,0.82,0.92,0,0
ONE_PB,D,20220324,000000,0.91,0.98,0.88,0.96,0,0
ONE_PB,D,20220325,000000,0.98,1,0.94,0.97,0,0
ONE_PB,D,20220328,000000,0.97,1.11,0.95,1.09,0,0
ONE_PB,D,20220329,000000,1.14,1.2,1.11,1.19,0,0
ONE_PB,D,20220330,000000,1.2,1.23,1.14,1.18,0,0
ONE_PB,D,20220331,000000,1.19,1.39,1.16,1.35,0,0
ONE_PB,D,20220401,000000,1.37,1.43,1.23,1.23,0,0
ONE_PB,D,20220404,000000,1.23,1.27,1.17,1.24,0,0
ONE_PB,D,20220405,000000,1.27,1.27,1.16,1.19,0,0
ONE_PB,D,20220406,000000,1.21,1.21,1.12,1.18,0,0
ONE_PB,D,20220407,000000,1.13,1.18,0.99,1.03,0,0
ONE_PB,D,20220408,000000,1.03,1.12,0.97,1.1,0,0
ONE_PB,D,20220411,000000,1.03,1.11,1.02,1.05,0,0
ONE_PB,D,20220412,000000,1.06,1.06,0.96,1.02,0,0
ONE_PB,D,20220413,000000,0.99,1.02,0.94,0.96,0,0
ONE_PB,D,20220414,000000,0.97,1.03,0.94,1.02,0,0
ONE_PB,D,20220419,000000,1.02,1.02,0.92,0.93,0,0
ONE_PB,D,20220420,000000,0.97,1,0.95,0.98,0,0
ONE_PB,D,20220421,000000,0.98,0.98,0.93,0.97,0,0
ONE_PB,D,20220422,000000,0.98,0.98,0.94,0.98,0,0
ONE_PB,D,20220425,000000,0.97,0.98,0.92,0.97,0,0
ONE_PB,D,20220426,000000,0.97,0.97,0.91,0.97,0,0
ONE_PB,D,20220427,000000,0.96,0.96,0.91,0.93,0,0
ONE_PB,D,20220428,000000,0.94,0.95,0.85,0.89,0,0
ONE_PB,D,20220429,000000,0.84,0.96,0.84,0.93,0,0
ONE_PB,D,20220502,000000,0.93,0.94,0.89,0.94,0,0
ONE_PB,D,20220504,000000,0.9,0.94,0.85,0.9,0,0
