<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OXY_PE,D,20110518,000000,88.6,88.6,88.6,88.6,0,0
OXY_PE,D,20110519,000000,88.1,92,77,79,0,0
OXY_PE,D,20110520,000000,76.8,97.5,72.3,97.5,0,0
OXY_PE,D,20110523,000000,97,115.2,97,105.4,0,0
OXY_PE,D,20110524,000000,107.9,109.1,96.9,96.9,0,0
OXY_PE,D,20110525,000000,97.6,98.2,92.7,93.9,0,0
OXY_PE,D,20110526,000000,94.5,135.8,94.5,135.7,0,0
OXY_PE,D,20110527,000000,163.6,196.4,152.7,196.2,0,0
OXY_PE,D,20110530,000000,216.4,249.1,216.4,238.6,0,0
OXY_PE,D,20110531,000000,224.2,224.2,197.6,209.6,0,0
OXY_PE,D,20110601,000000,200,206.1,163.6,164.7,0,0
OXY_PE,D,20110602,000000,163.6,230.3,163.6,208.3,0,0
OXY_PE,D,20110603,000000,221.2,221.2,177,179.3,0,0
OXY_PE,D,20110606,000000,179.4,193.3,164.8,180.5,0,0
OXY_PE,D,20110607,000000,172.1,180,165.5,168.4,0,0
OXY_PE,D,20110608,000000,167.9,167.9,157.6,163.5,0,0
OXY_PE,D,20110609,000000,166.1,166.1,151.5,156.3,0,0
OXY_PE,D,20110610,000000,161.2,169.1,148.5,159.9,0,0
OXY_PE,D,20110613,000000,166.1,169.1,157.6,169,0,0
OXY_PE,D,20110614,000000,164.2,171.5,157.6,166.6,0,0
OXY_PE,D,20110615,000000,167.9,169.1,159.4,166.6,0,0
OXY_PE,D,20110616,000000,167.9,167.9,141.7,141.7,0,0
OXY_PE,D,20110617,000000,144.8,144.8,125.7,133.5,0,0
OXY_PE,D,20110620,000000,135.3,135.3,119.6,123.7,0,0
OXY_PE,D,20110621,000000,125,126.6,114.1,119.9,0,0
OXY_PE,D,20110622,000000,121.9,121.9,109.8,116.1,0,0
OXY_PE,D,20110624,000000,116.4,125.1,111.5,113.9,0,0
OXY_PE,D,20110627,000000,113.7,113.7,103.3,105.7,0,0
OXY_PE,D,20110628,000000,103.3,103.3,95.1,99.8,0,0
OXY_PE,D,20110629,000000,96.7,100,94,97.6,0,0
OXY_PE,D,20110630,000000,98.4,103.3,95.1,98.7,0,0
OXY_PE,D,20110701,000000,98.9,137.7,98.9,134.6,0,0
OXY_PE,D,20110704,000000,130.4,154.3,125.5,134.1,0,0
OXY_PE,D,20110705,000000,126.8,142.1,124,130.8,0,0
OXY_PE,D,20110706,000000,124.6,131.1,120.8,127,0,0
OXY_PE,D,20110707,000000,109.8,125.7,109.8,120.5,0,0
OXY_PE,D,20110708,000000,122.4,122.4,112,112.3,0,0
OXY_PE,D,20110711,000000,113.7,131.1,113.7,117.2,0,0
OXY_PE,D,20110712,000000,117.5,125.4,112.6,125.4,0,0
OXY_PE,D,20110713,000000,125.7,131.1,120.2,125.9,0,0
OXY_PE,D,20110714,000000,121.3,125.7,120.2,121.6,0,0
OXY_PE,D,20110715,000000,119.7,119.7,111.5,117.7,0,0
OXY_PE,D,20110718,000000,110.9,114.1,103.8,106.3,0,0
OXY_PE,D,20110719,000000,107.1,117.5,107.1,109,0,0
OXY_PE,D,20110720,000000,109.8,112.6,104.9,106.8,0,0
OXY_PE,D,20110721,000000,108.2,108.2,102.7,103,0,0
OXY_PE,D,20110722,000000,103.8,105.5,100.5,102.5,0,0
OXY_PE,D,20110725,000000,100.5,109.8,100.5,103.6,0,0
OXY_PE,D,20110726,000000,102.7,105.7,101.6,105.7,0,0
OXY_PE,D,20110727,000000,102.2,104.7,100,104.7,0,0
OXY_PE,D,20110728,000000,100.5,101.1,99.5,100.3,0,0
OXY_PE,D,20110729,000000,100.5,111.5,100.5,100.8,0,0
OXY_PE,D,20110801,000000,100.5,104.1,98.4,104.1,0,0
OXY_PE,D,20110802,000000,101.1,103.3,96.2,96.5,0,0
OXY_PE,D,20110803,000000,96.2,96.2,89.6,93.2,0,0
OXY_PE,D,20110804,000000,86.9,87.4,82.3,82.3,0,0
OXY_PE,D,20110805,000000,80,87.4,65.7,72.5,0,0
OXY_PE,D,20110808,000000,71.6,71.6,65.6,68.7,0,0
OXY_PE,D,20110809,000000,63.9,63.9,55.2,61.6,0,0
OXY_PE,D,20110810,000000,65.6,68.9,64.5,67,0,0
OXY_PE,D,20110811,000000,69,69,60.3,65.4,0,0
OXY_PE,D,20110812,000000,68.3,76,68.3,70.3,0,0
OXY_PE,D,20110816,000000,71,75.4,68.9,72,0,0
OXY_PE,D,20110817,000000,69.9,757.7,68.3,757.7,0,0
OXY_PE,D,20110818,000000,772.2,772.2,694.4,746.8,0,0
OXY_PE,D,20110819,000000,755.6,755.6,683.3,741.3,0,0
OXY_PE,D,20110822,000000,750,750,735.9,735.9,0,0
OXY_PE,D,20110823,000000,750,750,688.9,735.9,0,0
OXY_PE,D,20110824,000000,750,750,708.6,708.6,0,0
OXY_PE,D,20110825,000000,711.1,711.1,705.6,708.6,0,0
OXY_PE,D,20110826,000000,722.2,730.4,722.2,730.4,0,0
OXY_PE,D,20110829,000000,744.4,744.4,681.4,681.4,0,0
OXY_PE,D,20110830,000000,694.4,722.2,694.4,714.1,0,0
OXY_PE,D,20110831,000000,755.6,755.6,686.8,686.8,0,0
OXY_PE,D,20110901,000000,705.6,733.3,705.6,719.5,0,0
OXY_PE,D,20110902,000000,733.3,733.3,700,703.2,0,0
OXY_PE,D,20110905,000000,711.1,711.1,644.4,665,0,0
OXY_PE,D,20110906,000000,694.4,694.4,605,605,0,0
OXY_PE,D,20110907,000000,583.3,638.9,583.3,626.8,0,0
OXY_PE,D,20110908,000000,611.1,633.3,611.1,621.4,0,0
OXY_PE,D,20110909,000000,605.6,605.6,577.8,577.8,0,0
OXY_PE,D,20110912,000000,583.3,583.3,483.3,506.9,0,0
OXY_PE,D,20110913,000000,477.8,488.9,477.8,479.7,0,0
OXY_PE,D,20110914,000000,488.9,488.9,450,463.3,0,0
OXY_PE,D,20110915,000000,477.8,527.8,477.8,496,0,0
OXY_PE,D,20110916,000000,505.6,627.8,505.6,588.7,0,0
OXY_PE,D,20110919,000000,544.4,583.3,533.3,545.1,0,0
OXY_PE,D,20110920,000000,566.7,566.7,512.4,512.4,0,0
OXY_PE,D,20110921,000000,522.2,600,522.2,545.1,0,0
OXY_PE,D,20110922,000000,555.6,572.2,501.5,501.5,0,0
OXY_PE,D,20110923,000000,527.8,527.8,490.6,490.6,0,0
OXY_PE,D,20110926,000000,533.3,555.6,533.3,545.1,0,0
OXY_PE,D,20110927,000000,566.7,566.7,533.3,556,0,0
OXY_PE,D,20110928,000000,538.9,555.6,527.8,534.2,0,0
OXY_PE,D,20110929,000000,561.1,566.7,512.4,512.4,0,0
OXY_PE,D,20110930,000000,550,572.2,488.9,561.4,0,0
OXY_PE,D,20111003,000000,572.2,572.2,528.7,528.7,0,0
OXY_PE,D,20111004,000000,538.9,538.9,472.2,512.4,0,0
OXY_PE,D,20111005,000000,522.2,533.3,494.4,523.3,0,0
OXY_PE,D,20111006,000000,544.4,544.4,457.9,457.9,0,0
OXY_PE,D,20111007,000000,477.8,522.2,477.8,512.4,0,0
OXY_PE,D,20111010,000000,583.3,600,516.7,556,0,0
OXY_PE,D,20111011,000000,566.7,566.7,534.2,534.2,0,0
OXY_PE,D,20111012,000000,544.4,566.7,533.3,534.2,0,0
OXY_PE,D,20111013,000000,538.9,556,522.2,556,0,0
OXY_PE,D,20111014,000000,522.2,533.3,522.2,523.3,0,0
OXY_PE,D,20111017,000000,533.3,550,512.4,512.4,0,0
OXY_PE,D,20111018,000000,522.2,522.2,506.9,506.9,0,0
OXY_PE,D,20111019,000000,516.7,522.2,490.6,490.6,0,0
OXY_PE,D,20111020,000000,500,500,485.1,485.1,0,0
OXY_PE,D,20111021,000000,500,505.6,490.6,490.6,0,0
OXY_PE,D,20111024,000000,500,555.6,500,539.6,0,0
OXY_PE,D,20111025,000000,550,550,506.9,506.9,0,0
OXY_PE,D,20111026,000000,527.8,527.8,517.8,517.8,0,0
OXY_PE,D,20111027,000000,527.8,566.7,527.8,556,0,0
OXY_PE,D,20111028,000000,566.7,622.2,555.6,588.7,0,0
OXY_PE,D,20111031,000000,572.2,572.3,555.6,572.3,0,0
OXY_PE,D,20111102,000000,555.6,555.6,528.7,528.7,0,0
OXY_PE,D,20111103,000000,555.6,566.7,538.9,556,0,0
OXY_PE,D,20111104,000000,550,550,516.7,528.7,0,0
OXY_PE,D,20111107,000000,527.8,538.9,516.7,528.7,0,0
OXY_PE,D,20111108,000000,538.9,538.9,528.7,528.7,0,0
OXY_PE,D,20111109,000000,538.9,538.9,485.1,485.1,0,0
OXY_PE,D,20111110,000000,477.8,500,477.8,490.6,0,0
OXY_PE,D,20111114,000000,488.9,516.7,463.3,463.3,0,0
OXY_PE,D,20111115,000000,461.1,461.1,452.4,452.4,0,0
OXY_PE,D,20111116,000000,461.1,505.6,461.1,496,0,0
OXY_PE,D,20111117,000000,511.1,511.1,494.4,501.5,0,0
OXY_PE,D,20111118,000000,511.1,511.1,485.1,485.1,0,0
OXY_PE,D,20111122,000000,494.4,494.4,494.4,494.4,0,0
OXY_PE,D,20120209,000000,209.3,209.3,209.3,209.3,0,0
OXY_PE,D,20120210,000000,198.4,212.6,198.4,212.6,0,0
OXY_PE,D,20120213,000000,213.1,218,201.6,212.6,0,0
OXY_PE,D,20120214,000000,204.9,204.9,198.4,199.5,0,0
OXY_PE,D,20120215,000000,198.4,245.9,198.4,210.9,0,0
OXY_PE,D,20120216,000000,221.3,223,213.1,222.4,0,0
OXY_PE,D,20120217,000000,214.8,216.4,209.8,215.9,0,0
OXY_PE,D,20120220,000000,213.1,226.2,211.5,217.5,0,0
OXY_PE,D,20120221,000000,214.8,219.7,211.5,219.1,0,0
