<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFG_MV,D,20161108,000000,5.69,5.69,5.69,5.69,0,0
PFG_MV,D,20161109,000000,6.25,7.23,5.63,5.63,0,0
PFG_MV,D,20161110,000000,6.74,6.74,6.13,6.24,0,0
PFG_MV,D,20161114,000000,5.26,5.26,5.01,5.06,0,0
PFG_MV,D,20161115,000000,5.05,5.05,4.75,4.75,0,0
PFG_MV,D,20161116,000000,4.75,5.63,4.75,5.5,0,0
PFG_MV,D,20161117,000000,5.38,5.38,5,5,0,0
PFG_MV,D,20161121,000000,4.75,6.25,4.38,5.88,0,0
PFG_MV,D,20161122,000000,5.5,6.6,5.25,5.63,0,0
PFG_MV,D,20161123,000000,6.73,7.25,6.13,7.24,0,0
PFG_MV,D,20161124,000000,7.5,9,7.5,9,0,0
PFG_MV,D,20161128,000000,10,10,10,10,0,0
PFG_MV,D,20161130,000000,12.5,15,12.5,15,0,0
PFG_MV,D,20161201,000000,15.28,21.99,15.28,19.75,0,0
PFG_MV,D,20161202,000000,21.86,21.86,19,21.85,0,0
PFG_MV,D,20161205,000000,18.75,18.75,12.5,12.5,0,0
PFG_MV,D,20161206,000000,12.5,15,12.5,13.13,0,0
PFG_MV,D,20161207,000000,13.75,13.75,10,12.5,0,0
PFG_MV,D,20161208,000000,11.88,13.74,11.25,11.25,0,0
PFG_MV,D,20161209,000000,12.5,13.13,12.5,13.13,0,0
PFG_MV,D,20161212,000000,13.13,13.13,10.5,10.5,0,0
PFG_MV,D,20161213,000000,10.5,10.5,10.49,10.49,0,0
PFG_MV,D,20161214,000000,10.5,10.5,8.75,8.75,0,0
PFG_MV,D,20161215,000000,8.75,8.75,7.14,7.14,0,0
PFG_MV,D,20161216,000000,7.49,8.98,7.48,8.98,0,0
PFG_MV,D,20161219,000000,9.5,11.25,9.5,10.5,0,0
PFG_MV,D,20161220,000000,11.13,12.44,10.13,12.44,0,0
PFG_MV,D,20161221,000000,12.5,13,10.56,10.56,0,0
PFG_MV,D,20161222,000000,9,10.75,9,9.38,0,0
PFG_MV,D,20161223,000000,9.13,9.43,7.5,8.88,0,0
PFG_MV,D,20161227,000000,9.25,10,8.39,8.39,0,0
PFG_MV,D,20161228,000000,8.75,8.75,8.11,8.13,0,0
PFG_MV,D,20161229,000000,7.56,7.63,6.89,7.63,0,0
PFG_MV,D,20161230,000000,6.88,8.13,6.88,8.13,0,0
PFG_MV,D,20170102,000000,7.88,7.88,6.63,6.63,0,0
PFG_MV,D,20170103,000000,7.31,7.31,7.03,7.03,0,0
PFG_MV,D,20170104,000000,7.38,7.5,7.38,7.5,0,0
PFG_MV,D,20170105,000000,7.19,7.5,7.13,7.13,0,0
PFG_MV,D,20170109,000000,7.5,7.5,7.5,7.5,0,0
PFG_MV,D,20170110,000000,7.15,7.91,7.15,7.46,0,0
PFG_MV,D,20170112,000000,7.5,7.94,7.5,7.94,0,0
PFG_MV,D,20170113,000000,7.5,7.68,7.43,7.68,0,0
PFG_MV,D,20170116,000000,7.68,7.68,7.41,7.41,0,0
PFG_MV,D,20170117,000000,7.41,7.41,7.16,7.36,0,0
PFG_MV,D,20170118,000000,7.5,7.5,7.5,7.5,0,0
