<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIG_MV,D,20120807,000000,6,6,6,6,0,0
PIG_MV,D,20120808,000000,5.61,6.15,4.74,4.74,0,0
PIG_MV,D,20120809,000000,3.99,6.84,3.99,6.78,0,0
PIG_MV,D,20120810,000000,5.91,6.42,5.7,6,0,0
PIG_MV,D,20120813,000000,5.97,5.97,5.13,5.31,0,0
PIG_MV,D,20120814,000000,5.61,5.61,4.26,5.1,0,0
PIG_MV,D,20120816,000000,5.28,5.28,3.9,3.9,0,0
PIG_MV,D,20120817,000000,4.32,4.44,4.02,4.44,0,0
PIG_MV,D,20120820,000000,4.41,4.41,3.99,4.14,0,0
PIG_MV,D,20120821,000000,4.17,4.35,3.96,4.35,0,0
PIG_MV,D,20120822,000000,4.5,4.5,4.11,4.29,0,0
PIG_MV,D,20120823,000000,4.23,4.23,3.42,3.81,0,0
PIG_MV,D,20120824,000000,3.99,4.17,3.63,4.05,0,0
PIG_MV,D,20120827,000000,3.9,3.9,3.42,3.81,0,0
PIG_MV,D,20120828,000000,3.9,4.11,3.87,3.93,0,0
PIG_MV,D,20120829,000000,3.9,3.9,3.42,3.75,0,0
PIG_MV,D,20120830,000000,3.78,3.81,3.18,3.3,0,0
PIG_MV,D,20120831,000000,3.27,3.57,3.15,3.57,0,0
PIG_MV,D,20120903,000000,4.11,4.56,3.78,4.56,0,0
PIG_MV,D,20120904,000000,4.32,6,4.2,6,0,0
PIG_MV,D,20120905,000000,5.22,5.76,5.22,5.28,0,0
PIG_MV,D,20120906,000000,5.1,5.1,4.5,4.8,0,0
PIG_MV,D,20120907,000000,4.35,4.56,4.2,4.53,0,0
PIG_MV,D,20120910,000000,3.99,3.99,3.63,3.84,0,0
PIG_MV,D,20120911,000000,3.66,3.9,3.48,3.54,0,0
PIG_MV,D,20120912,000000,3.51,3.81,3.45,3.81,0,0
PIG_MV,D,20120913,000000,4.02,4.2,4.02,4.2,0,0
PIG_MV,D,20120914,000000,4.47,4.8,4.47,4.47,0,0
PIG_MV,D,20120917,000000,4.5,4.8,3.9,4.65,0,0
PIG_MV,D,20120918,000000,4.2,4.47,4.05,4.14,0,0
PIG_MV,D,20120919,000000,4.17,4.26,3.96,4.08,0,0
PIG_MV,D,20120920,000000,3.75,3.75,3.12,3.24,0,0
PIG_MV,D,20120921,000000,2.7,3.6,2.7,3.6,0,0
PIG_MV,D,20120924,000000,3.36,3.57,3.27,3.57,0,0
PIG_MV,D,20120925,000000,3.3,3.48,3.09,3.3,0,0
PIG_MV,D,20120926,000000,3.03,3.51,2.88,3.33,0,0
PIG_MV,D,20120927,000000,2.94,3.18,2.94,2.94,0,0
