<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIG_PB,D,20120807,000000,6.98,6.98,6.98,6.98,0,0
PIG_PB,D,20120808,000000,6.52,7.15,5.51,5.51,0,0
PIG_PB,D,20120809,000000,4.64,7.95,4.64,7.88,0,0
PIG_PB,D,20120810,000000,6.87,7.47,6.63,6.98,0,0
PIG_PB,D,20120813,000000,6.94,6.94,5.97,6.17,0,0
PIG_PB,D,20120814,000000,6.52,6.52,4.95,5.93,0,0
PIG_PB,D,20120816,000000,6.14,6.14,4.53,4.53,0,0
PIG_PB,D,20120817,000000,5.02,5.16,4.67,5.16,0,0
PIG_PB,D,20120820,000000,5.13,5.13,4.64,4.81,0,0
PIG_PB,D,20120821,000000,4.85,5.06,4.6,5.06,0,0
PIG_PB,D,20120822,000000,5.23,5.23,4.78,4.99,0,0
PIG_PB,D,20120823,000000,4.92,4.92,3.98,4.43,0,0
PIG_PB,D,20120824,000000,4.64,4.85,4.22,4.71,0,0
PIG_PB,D,20120827,000000,4.53,5.95,3.98,5.95,0,0
PIG_PB,D,20120828,000000,6.09,6.42,6.05,6.14,0,0
PIG_PB,D,20120829,000000,6.09,6.09,5.34,5.86,0,0
PIG_PB,D,20120830,000000,5.91,5.95,4.97,5.16,0,0
PIG_PB,D,20120831,000000,5.11,5.58,4.92,5.58,0,0
PIG_PB,D,20120903,000000,6.42,7.13,5.91,7.13,0,0
PIG_PB,D,20120904,000000,6.75,9.38,6.56,9.38,0,0
PIG_PB,D,20120905,000000,8.16,9,8.16,8.25,0,0
PIG_PB,D,20120906,000000,7.97,7.97,7.03,7.5,0,0
PIG_PB,D,20120907,000000,6.8,7.13,6.56,7.08,0,0
PIG_PB,D,20120910,000000,6.23,6.23,5.67,6,0,0
PIG_PB,D,20120911,000000,5.72,6.09,5.44,5.53,0,0
PIG_PB,D,20120912,000000,5.48,5.95,5.39,5.95,0,0
PIG_PB,D,20120913,000000,6.28,6.56,6.28,6.56,0,0
PIG_PB,D,20120914,000000,6.98,7.5,6.98,6.98,0,0
