<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIX_MV,D,20120928,000000,0.95,0.95,0.95,0.95,0,0
PIX_MV,D,20121001,000000,0.95,0.98,0.79,0.83,0,0
PIX_MV,D,20121002,000000,0.83,0.83,0.83,0.83,0,0
PIX_MV,D,20121003,000000,0.83,0.83,0.76,0.76,0,0
PIX_MV,D,20121004,000000,0.76,1.06,0.76,1.06,0,0
PIX_MV,D,20121005,000000,1.44,1.44,1.44,1.44,0,0
PIX_MV,D,20121008,000000,1.36,1.63,1.29,1.51,0,0
PIX_MV,D,20121009,000000,1.63,2.16,1.63,2.04,0,0
PIX_MV,D,20121010,000000,2,2.31,1.63,1.63,0,0
PIX_MV,D,20121011,000000,1.85,1.85,1.51,1.51,0,0
PIX_MV,D,20121012,000000,1.4,1.66,1.4,1.51,0,0
PIX_MV,D,20121015,000000,1.44,1.44,1.21,1.32,0,0
PIX_MV,D,20121016,000000,1.4,1.4,1.13,1.36,0,0
PIX_MV,D,20121017,000000,1.13,1.36,1.13,1.36,0,0
PIX_MV,D,20121018,000000,1.4,1.44,1.4,1.44,0,0
PIX_MV,D,20121023,000000,1.17,1.25,0.98,0.98,0,0
PIX_MV,D,20121024,000000,0.79,1.02,0.79,0.95,0,0
PIX_MV,D,20121025,000000,1.06,1.06,0.87,0.87,0,0
PIX_MV,D,20121026,000000,0.83,0.83,0.79,0.79,0,0
PIX_MV,D,20121029,000000,0.79,0.83,0.72,0.83,0,0
PIX_MV,D,20121030,000000,0.87,0.98,0.83,0.98,0,0
PIX_MV,D,20121031,000000,0.98,1.02,0.98,1.02,0,0
PIX_MV,D,20121102,000000,1.02,1.17,1.02,1.17,0,0
PIX_MV,D,20121105,000000,1.25,1.66,1.25,1.29,0,0
PIX_MV,D,20121106,000000,1.29,1.29,1.1,1.21,0,0
PIX_MV,D,20121107,000000,0.95,1.1,0.95,1.1,0,0
PIX_MV,D,20121108,000000,1.06,1.06,0.95,0.95,0,0
PIX_MV,D,20121109,000000,0.95,0.98,0.76,0.95,0,0
PIX_MV,D,20121112,000000,0.91,1.13,0.91,1.06,0,0
PIX_MV,D,20121113,000000,1.13,1.21,1.06,1.21,0,0
