<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRN_MV,D,20120320,000000,6.6,6.6,6.6,6.6,0,0
PRN_MV,D,20120321,000000,6,6.6,5.4,5.4,0,0
PRN_MV,D,20120322,000000,6,8.4,6,7.2,0,0
PRN_MV,D,20120323,000000,7.8,8.4,6.6,7.2,0,0
PRN_MV,D,20120326,000000,6.6,6.6,6,6.6,0,0
PRN_MV,D,20120327,000000,6.6,6.6,6,6,0,0
PRN_MV,D,20120328,000000,6,6.6,6,6.6,0,0
PRN_MV,D,20120329,000000,6,6,5.4,5.4,0,0
PRN_MV,D,20120330,000000,6,7.8,6,7.8,0,0
PRN_MV,D,20120402,000000,7.2,7.8,6.6,7.2,0,0
PRN_MV,D,20120403,000000,7.8,7.8,6.6,6.6,0,0
PRN_MV,D,20120404,000000,7.2,7.8,6.6,7.2,0,0
PRN_MV,D,20120405,000000,6.6,6.6,6,6.6,0,0
PRN_MV,D,20120410,000000,6,6.6,5.4,6,0,0
PRN_MV,D,20120411,000000,6,6,5.4,6,0,0
PRN_MV,D,20120412,000000,5.4,6,5.4,6,0,0
PRN_MV,D,20120413,000000,6,7.2,5.4,7.2,0,0
PRN_MV,D,20120416,000000,6.6,7.2,6,6.6,0,0
PRN_MV,D,20120417,000000,6,6.6,6,6,0,0
PRN_MV,D,20120418,000000,6,6,6,6,0,0
PRN_MV,D,20120419,000000,6,6,6,6,0,0
PRN_MV,D,20120420,000000,6,6,5.4,6,0,0
PRN_MV,D,20120423,000000,6,6,5.4,6,0,0
PRN_MV,D,20120424,000000,5.4,5.4,4.8,5.4,0,0
PRN_MV,D,20120425,000000,5.4,6.6,5.4,6.6,0,0
PRN_MV,D,20120426,000000,6,6,4.8,5.4,0,0
PRN_MV,D,20120427,000000,5.4,6,4.8,6,0,0
PRN_MV,D,20120430,000000,5.4,6,5.4,6,0,0
PRN_MV,D,20120502,000000,5.4,5.4,4.8,5.4,0,0
PRN_MV,D,20120504,000000,5.4,5.4,4.8,5.4,0,0
PRN_MV,D,20120507,000000,5.4,5.4,4.8,5.4,0,0
PRN_MV,D,20120508,000000,5.4,5.4,4.8,5.4,0,0
PRN_MV,D,20120509,000000,5.4,5.4,5.4,5.4,0,0
PRN_MV,D,20120510,000000,4.8,6.6,4.8,5.4,0,0
PRN_MV,D,20120511,000000,5.4,6,4.8,5.4,0,0
