<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRN_PE,D,20120320,000000,34.2,34.2,34.2,34.2,0,0
PRN_PE,D,20120321,000000,31.3,34.4,28,28,0,0
PRN_PE,D,20120322,000000,31.3,43.8,31.3,37.3,0,0
PRN_PE,D,20120323,000000,40.6,43.8,34.4,37.3,0,0
PRN_PE,D,20120326,000000,34.4,34.4,31.3,34.2,0,0
PRN_PE,D,20120327,000000,34.4,34.4,31.1,31.1,0,0
PRN_PE,D,20120328,000000,31.3,34.4,31.3,34.2,0,0
PRN_PE,D,20120329,000000,31.3,31.3,28,28,0,0
PRN_PE,D,20120330,000000,31.3,40.6,31.3,40.4,0,0
PRN_PE,D,20120402,000000,37.5,40.6,34.4,37.3,0,0
PRN_PE,D,20120403,000000,40.6,40.6,34.2,34.2,0,0
PRN_PE,D,20120404,000000,37.5,40.6,34.4,37.3,0,0
PRN_PE,D,20120405,000000,34.4,34.4,31.3,34.2,0,0
PRN_PE,D,20120410,000000,31.3,34.4,28.1,31.1,0,0
PRN_PE,D,20120411,000000,31.3,31.3,28.1,31.1,0,0
PRN_PE,D,20120412,000000,28.1,31.3,28.1,31.1,0,0
PRN_PE,D,20120413,000000,31.3,37.5,28.1,37.3,0,0
PRN_PE,D,20120416,000000,34.4,37.5,31.3,34.2,0,0
PRN_PE,D,20120417,000000,31.3,34.4,31.1,31.1,0,0
PRN_PE,D,20120418,000000,31.3,31.3,31.1,31.1,0,0
PRN_PE,D,20120419,000000,31.3,31.3,31.1,31.1,0,0
PRN_PE,D,20120420,000000,31.3,31.3,28.1,31.1,0,0
PRN_PE,D,20120423,000000,31.3,31.3,28.1,31.1,0,0
PRN_PE,D,20120424,000000,28.1,28.1,25,28,0,0
PRN_PE,D,20120425,000000,28.1,34.4,28.1,34.2,0,0
PRN_PE,D,20120426,000000,31.3,31.3,25,28,0,0
PRN_PE,D,20120427,000000,28.1,31.3,25,31.1,0,0
PRN_PE,D,20120430,000000,28.1,31.3,28.1,31.1,0,0
PRN_PE,D,20120502,000000,28.1,28.1,25,28,0,0
PRN_PE,D,20120504,000000,28.1,28.1,25,28,0,0
PRN_PE,D,20120507,000000,28.1,28.1,25,28,0,0
PRN_PE,D,20120508,000000,28.1,28.1,25,28,0,0
PRN_PE,D,20120509,000000,28.1,28.1,28,28,0,0
PRN_PE,D,20120510,000000,25,34.4,25,28,0,0
PRN_PE,D,20120511,000000,28.1,31.3,25,28,0,0
PRN_PE,D,20120514,000000,28.1,28.1,28,28,0,0
PRN_PE,D,20120515,000000,28.1,28.1,25,28,0,0
PRN_PE,D,20120516,000000,28.1,28.1,28,28,0,0
PRN_PE,D,20120517,000000,25,25,21.9,24.9,0,0
PRN_PE,D,20120518,000000,21.9,21.9,21.8,21.8,0,0
PRN_PE,D,20120521,000000,21.9,25,21.9,24.9,0,0
PRN_PE,D,20120522,000000,25,25,24.9,24.9,0,0
PRN_PE,D,20120523,000000,25,25.3,25,25.3,0,0
PRN_PE,D,20120524,000000,25,25.4,21.9,25.4,0,0
PRN_PE,D,20120525,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120528,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120529,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120530,000000,25.8,25.8,22.6,25.4,0,0
PRN_PE,D,20120531,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120601,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120604,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120605,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120606,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120608,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120611,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120612,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120613,000000,25.8,25.8,22.6,25.4,0,0
PRN_PE,D,20120614,000000,25.8,25.8,25.4,25.4,0,0
PRN_PE,D,20120615,000000,25.8,25.8,25.4,25.4,0,0
