<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTW_PE,D,20130527,000000,11.3955,11.3955,11.3955,11.3955,0,0
PTW_PE,D,20130528,000000,12.0545,12.0545,12.0545,12.0545,0,0
PTW_PE,D,20130531,000000,11.725,13.3774,11.725,13.3774,0,0
PTW_PE,D,20130604,000000,12.4683,13.3774,10.7345,10.7345,0,0
PTW_PE,D,20130701,000000,10.404,10.404,10.404,10.404,0,0
PTW_PE,D,20130702,000000,10.404,10.404,10.404,10.404,0,0
PTW_PE,D,20130715,000000,10.404,10.4864,10.404,10.4864,0,0
PTW_PE,D,20130716,000000,10.4864,10.4864,10.4864,10.4864,0,0
PTW_PE,D,20130717,000000,10.4864,10.4864,10.4864,10.4864,0,0
PTW_PE,D,20130718,000000,10.4864,10.4864,10.4864,10.4864,0,0
PTW_PE,D,20130722,000000,9.41447,10.4864,9.41447,10.4864,0,0
PTW_PE,D,20130723,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130724,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130726,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130729,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130730,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130731,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130801,000000,10.9835,10.9835,10.9835,10.9835,0,0
PTW_PE,D,20130802,000000,10.9835,11.2307,10.9835,10.9835,0,0
PTW_PE,D,20130805,000000,11.2307,11.2307,11.1474,11.1474,0,0
PTW_PE,D,20130806,000000,11.1474,11.1474,11.1474,11.1474,0,0
PTW_PE,D,20130807,000000,11.1474,11.1474,11.1474,11.1474,0,0
PTW_PE,D,20130808,000000,11.1474,11.1474,11.1474,11.1474,0,0
PTW_PE,D,20130809,000000,11.1474,11.1474,11.1474,11.1474,0,0
PTW_PE,D,20130812,000000,11.1474,11.1474,11.1474,11.1474,0,0
PTW_PE,D,20130813,000000,11.1474,11.725,11.1474,11.725,0,0
PTW_PE,D,20131004,000000,18.1651,20.1471,18.1651,20.1471,0,0
PTW_PE,D,20131104,000000,22.2123,22.2123,22.2123,22.2123,0,0
PTW_PE,D,20131115,000000,22.2123,22.2123,22.2123,22.2123,0,0
PTW_PE,D,20131218,000000,23.3686,23.3686,23.3686,23.3686,0,0
PTW_PE,D,20131219,000000,25.1848,25.1848,21.6347,21.6347,0,0
PTW_PE,D,20131220,000000,20.8914,20.8914,20.8914,20.8914,0,0
PTW_PE,D,20131230,000000,20.1471,20.1471,20.1471,20.1471,0,0
PTW_PE,D,20140117,000000,20.1471,20.1471,20.1471,20.1471,0,0
PTW_PE,D,20140120,000000,20.8914,20.8914,20.8914,20.8914,0,0
PTW_PE,D,20140131,000000,24.0286,27.8277,24.0286,27.8277,0,0
PTW_PE,D,20140205,000000,27.8277,28.2415,27.8277,28.2415,0,0
PTW_PE,D,20140206,000000,23.9471,28.2415,23.9471,28.2415,0,0
PTW_PE,D,20140207,000000,28.2415,28.2415,28.2415,28.2415,0,0
PTW_PE,D,20140306,000000,26.3419,29.3968,26.3419,29.3968,0,0
PTW_PE,D,20140307,000000,29.3968,29.3968,29.3968,29.3968,0,0
PTW_PE,D,20140310,000000,29.3968,35.2593,29.3968,34.7631,0,0
PTW_PE,D,20140311,000000,34.7631,41.7003,34.7631,34.7631,0,0
PTW_PE,D,20140312,000000,34.0216,40.7913,34.0216,40.7913,0,0
PTW_PE,D,20140313,000000,48.8014,52.5996,46.4066,50.2881,0,0
PTW_PE,D,20140314,000000,40.2136,40.2136,32.534,39.4712,0,0
PTW_PE,D,20140319,000000,36.5793,36.5793,36.4979,36.4979,0,0
PTW_PE,D,20140325,000000,35.2593,35.2593,35.2593,35.2593,0,0
PTW_PE,D,20140331,000000,35.2593,35.2593,35.2593,35.2593,0,0
PTW_PE,D,20140415,000000,32.8645,32.8645,32.8645,32.8645,0,0
PTW_PE,D,20140416,000000,30.9658,30.9658,30.9658,30.9658,0,0
PTW_PE,D,20140516,000000,21.6347,21.6347,21.5523,21.5523,0,0
PTW_PE,D,20140519,000000,20.8914,20.8914,20.8914,20.8914,0,0
PTW_PE,D,20140521,000000,20.5609,20.5609,19.2408,19.2408,0,0
PTW_PE,D,20140602,000000,21.6347,21.6347,21.6347,21.6347,0,0
PTW_PE,D,20140604,000000,18.5789,21.6347,18.4975,18.4975,0,0
PTW_PE,D,20140606,000000,18.827,18.9104,18.827,18.9104,0,0
PTW_PE,D,20140623,000000,17.5875,17.5875,17.5875,17.5875,0,0
PTW_PE,D,20140624,000000,17.5061,17.5875,17.5061,17.5875,0,0
PTW_PE,D,20140626,000000,16.3498,16.3498,16.3498,16.3498,0,0
PTW_PE,D,20140701,000000,13.7069,13.7069,13.1293,13.1293,0,0
PTW_PE,D,20140702,000000,12.4683,12.5517,12.4683,12.5517,0,0
PTW_PE,D,20140703,000000,12.3026,12.3026,12.2212,12.2212,0,0
PTW_PE,D,20140725,000000,14.0374,16.846,14.0374,16.846,0,0
PTW_PE,D,20140728,000000,18.2494,18.2494,18.2494,18.2494,0,0
PTW_PE,D,20140731,000000,21.5523,21.5523,21.5523,21.5523,0,0
PTW_PE,D,20140801,000000,22.4595,22.4595,16.7627,16.7627,0,0
PTW_PE,D,20140804,000000,15.6065,15.6065,15.6065,15.6065,0,0
PTW_PE,D,20140805,000000,14.5336,14.5336,14.5336,14.5336,0,0
PTW_PE,D,20140807,000000,15.3593,15.3593,15.3593,15.3593,0,0
PTW_PE,D,20140814,000000,12.3026,12.3026,12.3026,12.3026,0,0
PTW_PE,D,20140818,000000,13.2941,13.2941,13.2941,13.2941,0,0
PTW_PE,D,20140822,000000,11.4778,11.4778,11.4778,11.4778,0,0
PTW_PE,D,20140826,000000,10.8178,15.6065,10.8178,15.5241,0,0
PTW_PE,D,20140827,000000,13.3774,13.3774,12.5517,12.5517,0,0
PTW_PE,D,20140828,000000,12.5517,12.5517,12.5517,12.5517,0,0
PTW_PE,D,20140829,000000,12.5517,12.5517,10.0735,10.0735,0,0
PTW_PE,D,20140901,000000,11.2307,11.2307,11.1474,11.1474,0,0
PTW_PE,D,20140902,000000,12.5517,12.5517,12.5517,12.5517,0,0
PTW_PE,D,20140905,000000,12.5517,12.5517,12.5517,12.5517,0,0
PTW_PE,D,20140909,000000,11.065,11.065,11.065,11.065,0,0
PTW_PE,D,20140910,000000,10.404,10.404,10.3226,10.3226,0,0
PTW_PE,D,20140911,000000,10.4864,10.4864,9.744,10.1569,0,0
PTW_PE,D,20140912,000000,10.4864,10.4864,10.4864,10.4864,0,0
PTW_PE,D,20140915,000000,10.4864,10.4864,10.4864,10.4864,0,0
PTW_PE,D,20140917,000000,10.4864,10.4864,10.4864,10.4864,0,0
PTW_PE,D,20140918,000000,10.6531,11.065,10.6531,11.065,0,0
PTW_PE,D,20140923,000000,11.1474,11.1474,11.1474,11.1474,0,0
PTW_PE,D,20140924,000000,11.1474,13.2117,11.1474,11.8907,0,0
PTW_PE,D,20140925,000000,13.4607,13.4607,11.1474,11.1474,0,0
PTW_PE,D,20140926,000000,11.8093,11.8907,11.8093,11.8907,0,0
PTW_PE,D,20141003,000000,11.2307,11.2307,11.1474,11.1474,0,0
PTW_PE,D,20141008,000000,11.8093,11.8907,11.8093,11.8907,0,0
PTW_PE,D,20141027,000000,11.065,11.3955,11.065,11.3955,0,0
PTW_PE,D,20141029,000000,10.404,10.404,9.08398,9.08398,0,0
PTW_PE,D,20141106,000000,9.08398,9.08398,9.08398,9.08398,0,0
PTW_PE,D,20141120,000000,9.41447,9.41447,9.41447,9.41447,0,0
PTW_PE,D,20150102,000000,12.3026,12.385,12.3026,12.385,0,0
PTW_PE,D,20150303,000000,16.3498,16.3498,16.2665,16.2665,0,0
PTW_PE,D,20150305,000000,16.3498,16.3498,16.3498,16.3498,0,0
