<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCA_MV,D,20081007,000000,20.9,20.9,20.9,20.9,0,0
RCA_MV,D,20081008,000000,18.62,21.21,18.62,21.21,0,0
RCA_MV,D,20081009,000000,21.11,21.11,21.1,21.1,0,0
RCA_MV,D,20081010,000000,21.1,21.1,21.1,21.1,0,0
RCA_MV,D,20081013,000000,21.1,21.1,21.1,21.1,0,0
RCA_MV,D,20081014,000000,21.1,21.1,21.1,21.1,0,0
RCA_MV,D,20081015,000000,21.93,21.93,21.93,21.93,0,0
RCA_MV,D,20081016,000000,21.93,21.93,21.93,21.93,0,0
RCA_MV,D,20081017,000000,21.93,21.93,21.93,21.93,0,0
RCA_MV,D,20081020,000000,21.93,21.93,21.93,21.93,0,0
RCA_MV,D,20081021,000000,21.93,21.93,21.93,21.93,0,0
RCA_MV,D,20081022,000000,21.93,22.24,21.93,22.24,0,0
RCA_MV,D,20081029,000000,18.62,22.76,18.62,22.76,0,0
RCA_MV,D,20081030,000000,23.59,23.59,23.59,23.59,0,0
RCA_MV,D,20081118,000000,23.8,23.8,23.79,23.79,0,0
RCA_MV,D,20081124,000000,23.79,23.79,23.79,23.79,0,0
RCA_MV,D,20081204,000000,24.82,28.55,24.82,28.55,0,0
RCA_MV,D,20081205,000000,29.48,37.24,29.48,37.24,0,0
RCA_MV,D,20081208,000000,39.31,39.31,31.45,38.28,0,0
RCA_MV,D,20081215,000000,38.28,43.45,38.28,42.93,0,0
RCA_MV,D,20081217,000000,37.24,37.24,37.24,37.24,0,0
RCA_MV,D,20081229,000000,35.17,37.24,33.1,37.24,0,0
RCA_MV,D,20090105,000000,38.27,40.35,38.27,40.35,0,0
RCA_MV,D,20090121,000000,40.35,43.45,40.35,43.45,0,0
RCA_MV,D,20090122,000000,43.45,43.45,43.45,43.45,0,0
RCA_MV,D,20090129,000000,43.55,43.55,43.55,43.55,0,0
RCA_MV,D,20090206,000000,43.65,43.66,43.65,43.66,0,0
RCA_MV,D,20090211,000000,39.31,39.31,38.28,38.28,0,0
RCA_MV,D,20090217,000000,39.31,40.87,39.31,40.86,0,0
RCA_MV,D,20090220,000000,40.86,40.86,40.86,40.86,0,0
RCA_MV,D,20090305,000000,36.21,36.21,33.1,33.1,0,0
RCA_MV,D,20090414,000000,33.1,33.1,33.1,33.1,0,0
RCA_MV,D,20090420,000000,33,33,33,33,0,0
RCA_MV,D,20090427,000000,31.04,31.04,28.97,28.97,0,0
RCA_MV,D,20090602,000000,28.97,28.97,28.97,28.97,0,0
RCA_MV,D,20090604,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090605,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090608,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090609,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090610,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090612,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090615,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090616,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090617,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090618,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090619,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090622,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090623,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090624,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090625,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090626,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090629,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090630,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090701,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090702,000000,29.38,29.38,29.38,29.38,0,0
RCA_MV,D,20090707,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090708,000000,29.48,29.48,29.48,29.48,0,0
RCA_MV,D,20090709,000000,29.48,33.1,29.48,33.1,0,0
RCA_MV,D,20090710,000000,33.1,36.21,33.1,36.21,0,0
RCA_MV,D,20090713,000000,38.28,43.45,38.28,43.45,0,0
RCA_MV,D,20090714,000000,39.31,39.31,34.76,34.76,0,0
RCA_MV,D,20090715,000000,36.21,36.21,36.21,36.21,0,0
RCA_MV,D,20090716,000000,36.21,37.24,36.21,37.24,0,0
RCA_MV,D,20090717,000000,37.24,44.69,37.24,44.69,0,0
RCA_MV,D,20090720,000000,53.59,64.24,53.59,64.24,0,0
RCA_MV,D,20090721,000000,72.42,77.07,72.31,72.31,0,0
RCA_MV,D,20090722,000000,57.93,62.07,51.73,62.07,0,0
RCA_MV,D,20090723,000000,60.83,60.83,60.83,60.83,0,0
RCA_MV,D,20090724,000000,62.07,67.24,62.07,67.24,0,0
RCA_MV,D,20090727,000000,62.59,62.59,62.59,62.59,0,0
RCA_MV,D,20090728,000000,62.59,62.59,50.69,50.69,0,0
RCA_MV,D,20090729,000000,51.73,60.83,51.73,60.83,0,0
RCA_MV,D,20090731,000000,54.83,54.83,54.83,54.83,0,0
RCA_MV,D,20090804,000000,51.73,51.73,49.66,49.66,0,0
RCA_MV,D,20090805,000000,44.48,44.48,41.38,41.38,0,0
RCA_MV,D,20090820,000000,41.38,41.38,41.38,41.38,0,0
RCA_MV,D,20090824,000000,41.38,41.38,41.38,41.38,0,0
RCA_MV,D,20090901,000000,41.38,41.38,41.38,41.38,0,0
