<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCA_PB,D,20081007,000000,3.4,3.4,3.4,3.4,0,0
RCA_PB,D,20081008,000000,3.03,3.45,3.03,3.45,0,0
RCA_PB,D,20081009,000000,3.44,3.44,3.44,3.44,0,0
RCA_PB,D,20081010,000000,3.44,3.44,3.44,3.44,0,0
RCA_PB,D,20081013,000000,3.44,3.44,3.44,3.44,0,0
RCA_PB,D,20081014,000000,3.44,3.44,3.44,3.44,0,0
RCA_PB,D,20081015,000000,3.57,3.57,3.57,3.57,0,0
RCA_PB,D,20081016,000000,3.57,3.57,3.57,3.57,0,0
RCA_PB,D,20081017,000000,3.57,3.57,3.57,3.57,0,0
RCA_PB,D,20081020,000000,3.57,3.57,3.57,3.57,0,0
RCA_PB,D,20081021,000000,3.57,3.57,3.57,3.57,0,0
RCA_PB,D,20081022,000000,3.57,3.62,3.57,3.62,0,0
RCA_PB,D,20081029,000000,3.03,3.71,3.03,3.71,0,0
RCA_PB,D,20081030,000000,3.84,3.84,3.84,3.84,0,0
RCA_PB,D,20081118,000000,3.88,3.88,3.87,3.87,0,0
RCA_PB,D,20081124,000000,3.87,3.87,3.87,3.87,0,0
RCA_PB,D,20081204,000000,4.04,4.65,4.04,4.65,0,0
RCA_PB,D,20081205,000000,4.8,6.07,4.8,6.07,0,0
RCA_PB,D,20081208,000000,6.4,6.4,5.12,6.23,0,0
RCA_PB,D,20081215,000000,6.23,7.08,6.23,6.99,0,0
RCA_PB,D,20081217,000000,6.07,6.07,6.07,6.07,0,0
RCA_PB,D,20081229,000000,5.73,6.07,5.39,6.07,0,0
RCA_PB,D,20090105,000000,6.23,6.57,6.23,6.57,0,0
RCA_PB,D,20090121,000000,6.57,7.08,6.57,7.08,0,0
RCA_PB,D,20090122,000000,7.08,7.08,7.08,7.08,0,0
RCA_PB,D,20090129,000000,7.09,7.09,7.09,7.09,0,0
RCA_PB,D,20090206,000000,7.11,7.11,7.11,7.11,0,0
RCA_PB,D,20090211,000000,6.4,6.4,6.23,6.23,0,0
RCA_PB,D,20090217,000000,6.4,6.66,6.4,6.65,0,0
