<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCA_PE,D,20120515,000000,53.4,53.4,53.4,53.4,0,0
RCA_PE,D,20120516,000000,53.4,53.4,53.4,53.4,0,0
RCA_PE,D,20120530,000000,53.1,53.1,53.1,53.1,0,0
RCA_PE,D,20160223,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160224,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160225,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160226,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160229,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160301,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160302,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160303,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160304,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160307,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160308,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160309,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160310,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160311,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160314,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160315,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160316,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160317,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160318,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160321,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160322,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160323,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160324,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160329,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160330,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160331,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160401,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160404,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160405,000000,27.6,27.6,27.6,27.6,0,0
RCA_PE,D,20160406,000000,27.6,27.6,27.6,27.6,0,0
