<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCW_PB,D,20120515,000000,31.84,31.84,31.84,31.84,0,0
RCW_PB,D,20120516,000000,31.84,31.84,31.84,31.84,0,0
RCW_PB,D,20120517,000000,31.84,33,31.84,32.61,0,0
RCW_PB,D,20120518,000000,32.61,36.49,32.61,36.49,0,0
RCW_PB,D,20120521,000000,37.07,38.82,33.39,37.85,0,0
RCW_PB,D,20120522,000000,37.85,40.56,34.74,37.33,0,0
RCW_PB,D,20120523,000000,37.33,37.33,33.78,33.78,0,0
RCW_PB,D,20120524,000000,34.38,34.38,34.38,34.38,0,0
RCW_PB,D,20120525,000000,32,33.58,32,33.58,0,0
RCW_PB,D,20120528,000000,33.58,35.95,33.58,35.95,0,0
RCW_PB,D,20120529,000000,35.95,35.95,33.78,34.96,0,0
RCW_PB,D,20120530,000000,35.16,35.16,32.2,33.39,0,0
RCW_PB,D,20120531,000000,33.19,33.19,27.66,27.85,0,0
RCW_PB,D,20120601,000000,27.85,27.85,22.72,24.09,0,0
RCW_PB,D,20120604,000000,24.89,26.67,23.71,25.48,0,0
RCW_PB,D,20120605,000000,25.48,25.48,23.71,25.28,0,0
RCW_PB,D,20120606,000000,25.08,26.47,23.71,26.47,0,0
RCW_PB,D,20120608,000000,26.47,26.47,21.73,21.73,0,0
RCW_PB,D,20120611,000000,22.72,23.71,22.72,22.92,0,0
RCW_PB,D,20120612,000000,21.73,23.71,21.73,21.73,0,0
RCW_PB,D,20120613,000000,21.53,22.13,21.33,22.13,0,0
RCW_PB,D,20120614,000000,22.13,23.12,22.13,23.12,0,0
RCW_PB,D,20120615,000000,20.94,23.12,20.94,21.73,0,0
RCW_PB,D,20120618,000000,21.73,22.72,20.34,21.53,0,0
RCW_PB,D,20120619,000000,21.53,21.53,20.74,21.53,0,0
RCW_PB,D,20120620,000000,21.53,21.53,21.53,21.53,0,0
RCW_PB,D,20120621,000000,21.73,25.48,21.73,25.48,0,0
RCW_PB,D,20120622,000000,25.48,25.48,25.48,25.48,0,0
RCW_PB,D,20120625,000000,25.28,25.28,21.73,21.73,0,0
RCW_PB,D,20120626,000000,20.15,21.73,19.75,19.95,0,0
RCW_PB,D,20120627,000000,20.15,22.72,20.15,22.13,0,0
RCW_PB,D,20120628,000000,20.94,21.14,19.75,21.14,0,0
RCW_PB,D,20120629,000000,20.74,20.74,20.74,20.74,0,0
RCW_PB,D,20120702,000000,20.54,20.74,19.95,20.74,0,0
RCW_PB,D,20120703,000000,20.74,20.74,19.75,19.75,0,0
RCW_PB,D,20120704,000000,19.75,19.75,19.35,19.35,0,0
RCW_PB,D,20120705,000000,19.35,19.35,15.6,15.6,0,0
RCW_PB,D,20120706,000000,15.6,18.18,14.81,18.18,0,0
