<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDG_PE,D,20090715,000000,978.3,978.3,978.3,978.3,0,0
RDG_PE,D,20090716,000000,975,997.5,975,978.3,0,0
RDG_PE,D,20090717,000000,975,978.3,925,978.3,0,0
RDG_PE,D,20090720,000000,985,1000.9,985,1000.9,0,0
RDG_PE,D,20090721,000000,1000,1003.4,1000,1003.4,0,0
RDG_PE,D,20090722,000000,1000,1003.4,1000,1003.4,0,0
RDG_PE,D,20090723,000000,1000,1003.4,1000,1003.4,0,0
RDG_PE,D,20090724,000000,1002.5,1005.9,1002.5,1005.9,0,0
RDG_PE,D,20090727,000000,1015,1028.5,1015,1028.5,0,0
RDG_PE,D,20090728,000000,1000,1053.6,1000,1053.6,0,0
RDG_PE,D,20090729,000000,1045,1045,1000,1003.4,0,0
RDG_PE,D,20090730,000000,1057.5,1095,1000,1003.4,0,0
RDG_PE,D,20090731,000000,1000,1003.4,1000,1003.4,0,0
RDG_PE,D,20090803,000000,1045,1045,1000,1003.4,0,0
RDG_PE,D,20090804,000000,1037.5,1150,1000,1123.8,0,0
RDG_PE,D,20090805,000000,1147.5,1162.5,1070,1078.7,0,0
RDG_PE,D,20090806,000000,1075,1098.7,1075,1098.7,0,0
RDG_PE,D,20090807,000000,1095,1147.5,150.6,150.6,0,0
RDG_PE,D,20090810,000000,151.8,151.8,151.5,151.6,0,0
RDG_PE,D,20090811,000000,148.5,153.5,138.9,150.9,0,0
RDG_PE,D,20090812,000000,148.2,161.5,148.2,161.5,0,0
RDG_PE,D,20090813,000000,162,176.2,154.5,154.6,0,0
RDG_PE,D,20090814,000000,155.1,174.9,155.1,165.1,0,0
RDG_PE,D,20090817,000000,164.7,165.1,164.7,165.1,0,0
RDG_PE,D,20090818,000000,164.7,170.6,158.4,165.5,0,0
RDG_PE,D,20090819,000000,165,166.1,165,166.1,0,0
RDG_PE,D,20090820,000000,168,173.6,166.7,170.1,0,0
RDG_PE,D,20090821,000000,174.6,174.6,158.7,174,0,0
RDG_PE,D,20090824,000000,174.3,174.4,171.6,174.4,0,0
RDG_PE,D,20090825,000000,173.9,173.9,161.7,166.8,0,0
RDG_PE,D,20090826,000000,166.3,166.7,160.1,160.2,0,0
RDG_PE,D,20090827,000000,160.1,165.1,160.1,165.1,0,0
RDG_PE,D,20090828,000000,165,165.8,165,165.8,0,0
RDG_PE,D,20090831,000000,166.7,180.9,166.7,171.6,0,0
RDG_PE,D,20090901,000000,177.9,177.9,165,171.7,0,0
RDG_PE,D,20090902,000000,168,168,163.4,165.1,0,0
RDG_PE,D,20090903,000000,163,165.1,163,165.1,0,0
RDG_PE,D,20090904,000000,166.7,166.8,166.7,166.8,0,0
RDG_PE,D,20090907,000000,164,164,151.8,156.9,0,0
RDG_PE,D,20090908,000000,156.8,156.8,151.8,151.9,0,0
RDG_PE,D,20090909,000000,156.8,156.9,156.8,156.9,0,0
RDG_PE,D,20090910,000000,163,163,159.7,159.8,0,0
RDG_PE,D,20090911,000000,158.7,158.9,158.7,158.9,0,0
RDG_PE,D,20090914,000000,155.1,159.7,150.8,159.2,0,0
RDG_PE,D,20090915,000000,158.7,158.7,150.8,150.9,0,0
RDG_PE,D,20090916,000000,150.8,155.2,150.8,155.2,0,0
RDG_PE,D,20090917,000000,155.1,155.8,151.2,151.3,0,0
RDG_PE,D,20090918,000000,156.4,156.5,156.4,156.5,0,0
RDG_PE,D,20090921,000000,158.4,158.4,150.8,150.9,0,0
RDG_PE,D,20090922,000000,157.8,157.8,151.2,155.2,0,0
RDG_PE,D,20090923,000000,155.1,155.2,155.1,155.2,0,0
RDG_PE,D,20090924,000000,155.1,155.2,155.1,155.2,0,0
RDG_PE,D,20090925,000000,154.8,154.9,154.8,154.9,0,0
RDG_PE,D,20090928,000000,154.8,154.9,154.8,154.9,0,0
RDG_PE,D,20090929,000000,154.8,154.8,151.8,151.9,0,0
RDG_PE,D,20090930,000000,151.8,151.8,148.5,148.6,0,0
RDG_PE,D,20091001,000000,151.8,151.9,151.8,151.9,0,0
