<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S4E_PB,D,20070830,000000,7.3943,7.3943,7.3943,7.3943,0,0
S4E_PB,D,20070831,000000,7.3871,7.3871,7.3871,7.3871,0,0
S4E_PB,D,20070903,000000,7.294,7.294,7.294,7.294,0,0
S4E_PB,D,20070904,000000,6.6635,6.6635,6.6635,6.6635,0,0
S4E_PB,D,20070905,000000,5.9254,5.9254,5.9254,5.9254,0,0
S4E_PB,D,20070906,000000,5.9685,5.9685,5.9685,5.9685,0,0
S4E_PB,D,20070907,000000,6.5345,6.5345,6.5345,6.5345,0,0
S4E_PB,D,20070910,000000,6.7781,6.7781,6.7781,6.7781,0,0
S4E_PB,D,20070911,000000,6.728,6.728,6.728,6.728,0,0
S4E_PB,D,20070912,000000,6.3841,6.3841,6.3841,6.3841,0,0
S4E_PB,D,20070913,000000,6.5632,6.5632,6.5632,6.5632,0,0
S4E_PB,D,20070914,000000,6.3912,6.3912,6.3912,6.3912,0,0
S4E_PB,D,20070917,000000,6.556,6.556,6.556,6.556,0,0
S4E_PB,D,20070918,000000,6.4342,6.4342,6.4342,6.4342,0,0
S4E_PB,D,20070919,000000,6.7494,6.7494,6.7494,6.7494,0,0
S4E_PB,D,20070920,000000,6.6205,6.6205,6.6205,6.6205,0,0
S4E_PB,D,20070921,000000,6.4127,6.4127,6.4127,6.4127,0,0
S4E_PB,D,20070924,000000,6.3052,6.3052,6.3052,6.3052,0,0
S4E_PB,D,20070925,000000,5.9112,5.9112,5.9112,5.9112,0,0
S4E_PB,D,20070926,000000,5.9326,5.9326,5.9326,5.9326,0,0
S4E_PB,D,20070927,000000,5.8037,5.8037,5.8037,5.8037,0,0
S4E_PB,D,20070928,000000,5.5673,5.5673,5.5673,5.5673,0,0
S4E_PB,D,20071001,000000,5.4669,5.4669,5.4669,5.4669,0,0
S4E_PB,D,20071002,000000,5.2734,5.2734,5.2734,5.2734,0,0
S4E_PB,D,20071003,000000,5.381,5.381,5.381,5.381,0,0
S4E_PB,D,20071004,000000,5.5099,5.5099,5.5099,5.5099,0,0
S4E_PB,D,20071005,000000,5.5744,5.5744,5.5744,5.5744,0,0
S4E_PB,D,20071008,000000,5.8897,5.8897,5.8897,5.8897,0,0
S4E_PB,D,20071009,000000,5.7965,5.7965,5.7965,5.7965,0,0
S4E_PB,D,20071010,000000,5.8968,5.8968,5.8968,5.8968,0,0
S4E_PB,D,20071011,000000,5.8037,5.8037,5.8037,5.8037,0,0
S4E_PB,D,20071012,000000,5.8037,5.8037,5.8037,5.8037,0,0
S4E_PB,D,20071015,000000,5.646,5.646,5.646,5.646,0,0
S4E_PB,D,20071016,000000,5.5958,5.5958,5.5958,5.5958,0,0
S4E_PB,D,20071017,000000,5.4597,5.4597,5.4597,5.4597,0,0
S4E_PB,D,20071018,000000,5.4168,5.4168,5.4168,5.4168,0,0
S4E_PB,D,20071019,000000,5.4168,5.4168,5.4168,5.4168,0,0
S4E_PB,D,20071022,000000,5.4597,5.4597,5.4597,5.4597,0,0
S4E_PB,D,20071023,000000,5.2806,5.2806,5.2806,5.2806,0,0
S4E_PB,D,20071024,000000,5.3021,5.3021,5.3021,5.3021,0,0
S4E_PB,D,20071025,000000,5.4168,5.4168,5.4168,5.4168,0,0
S4E_PB,D,20071026,000000,5.2305,5.2305,5.2305,5.2305,0,0
S4E_PB,D,20071029,000000,5.6174,5.6174,5.6174,5.6174,0,0
S4E_PB,D,20071030,000000,5.6675,5.6675,5.6675,5.6675,0,0
S4E_PB,D,20071031,000000,5.689,5.689,5.689,5.689,0,0
S4E_PB,D,20071102,000000,5.603,5.603,5.603,5.603,0,0
S4E_PB,D,20071105,000000,5.4096,5.4096,5.4096,5.4096,0,0
S4E_PB,D,20071106,000000,5.3738,5.3738,5.3738,5.3738,0,0
S4E_PB,D,20071107,000000,5.2233,5.2233,5.2233,5.2233,0,0
S4E_PB,D,20071108,000000,5.1087,5.1087,5.1087,5.1087,0,0
S4E_PB,D,20071109,000000,4.8005,4.8005,4.8005,4.8005,0,0
S4E_PB,D,20071112,000000,4.8005,4.8005,4.7719,4.7719,0,0
S4E_PB,D,20071113,000000,4.7719,4.7719,4.4781,4.5355,0,0
S4E_PB,D,20071114,000000,4.3133,4.5355,4.3133,4.5355,0,0
S4E_PB,D,20071115,000000,4.4853,4.5355,3.9551,4.3492,0,0
S4E_PB,D,20071116,000000,4.3277,4.3277,3.5897,4.2059,0,0
S4E_PB,D,20071119,000000,4.2059,4.4853,4.0626,4.4853,0,0
S4E_PB,D,20071120,000000,4.4638,4.4638,3.7545,4.0841,0,0
