<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCP_MV,D,20170816,000000,41.31,41.31,41.31,41.31,0,0
SCP_MV,D,20170817,000000,41.2,41.2,34.96,36.09,0,0
SCP_MV,D,20170818,000000,36.05,36.05,34.07,36.05,0,0
SCP_MV,D,20170821,000000,36.09,38.36,36.09,38.25,0,0
SCP_MV,D,20170822,000000,38.59,38.59,31.78,35.75,0,0
SCP_MV,D,20170823,000000,35.75,35.75,35.75,35.75,0,0
SCP_MV,D,20170824,000000,35.75,35.75,29.51,32.03,0,0
SCP_MV,D,20170825,000000,33.21,35.14,30.65,32.05,0,0
SCP_MV,D,20170828,000000,32.89,32.89,31.37,31.78,0,0
SCP_MV,D,20170829,000000,31.76,31.76,30.28,31.37,0,0
SCP_MV,D,20170830,000000,31.76,31.76,29.53,31.76,0,0
SCP_MV,D,20170831,000000,31.76,34.03,29.51,34.03,0,0
SCP_MV,D,20170901,000000,32.28,32.87,32.28,32.87,0,0
SCP_MV,D,20170904,000000,32.87,33.14,32.87,33.14,0,0
SCP_MV,D,20170905,000000,33.14,33.14,33.14,33.14,0,0
SCP_MV,D,20170906,000000,33.14,33.14,32.92,32.92,0,0
SCP_MV,D,20170907,000000,34,34,34,34,0,0
SCP_MV,D,20170908,000000,34,34.05,33.6,33.6,0,0
SCP_MV,D,20170911,000000,33.6,33.6,32.05,33.6,0,0
SCP_MV,D,20170912,000000,33.6,33.6,33.6,33.6,0,0
SCP_MV,D,20170913,000000,33.6,38.59,32.05,38.59,0,0
SCP_MV,D,20170914,000000,38.57,38.57,38.52,38.57,0,0
SCP_MV,D,20170915,000000,38.57,38.57,38.57,38.57,0,0
SCP_MV,D,20170918,000000,38.54,38.54,36.77,36.77,0,0
SCP_MV,D,20170919,000000,38.54,38.54,38.54,38.54,0,0
SCP_MV,D,20170920,000000,38.54,38.54,38.54,38.54,0,0
SCP_MV,D,20170921,000000,38.54,38.54,35.37,38.54,0,0
