<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SED_PE,D,20150709,000000,130.33,130.33,130.33,130.33,0,0
SED_PE,D,20150716,000000,203.28,242.79,203.28,242.53,0,0
SED_PE,D,20150717,000000,285.21,285.21,185.06,190.96,0,0
SED_PE,D,20150720,000000,212.43,215.42,212.17,212.17,0,0
SED_PE,D,20150721,000000,209.35,218.5,182.07,218.24,0,0
SED_PE,D,20150722,000000,227.57,242.79,227.57,242.53,0,0
SED_PE,D,20150723,000000,248.86,297.35,245.78,297.09,0,0
SED_PE,D,20150724,000000,354.99,424.86,354.99,403.13,0,0
SED_PE,D,20150727,000000,440,467.28,364.14,364.14,0,0
SED_PE,D,20150728,000000,336.86,400.58,270.07,400.14,0,0
SED_PE,D,20150729,000000,406.65,409.64,327.71,348.57,0,0
SED_PE,D,20150730,000000,349.01,376.29,297.35,339.5,0,0
SED_PE,D,20150731,000000,300.43,339.86,288.29,324.37,0,0
SED_PE,D,20150803,000000,291.28,300.43,264,272.8,0,0
SED_PE,D,20150804,000000,291.28,291.28,287.94,287.94,0,0
SED_PE,D,20150805,000000,288.29,288.29,272.8,272.8,0,0
SED_PE,D,20150806,000000,270.07,333.78,270.07,333.43,0,0
SED_PE,D,20150807,000000,333.78,349.01,303.16,303.16,0,0
SED_PE,D,20150810,000000,303.42,318.65,303.16,303.16,0,0
SED_PE,D,20150811,000000,273.06,315.57,273.06,315.3,0,0
SED_PE,D,20150812,000000,300.43,300.43,275.88,275.88,0,0
SED_PE,D,20150813,000000,276.14,315.57,276.14,315.3,0,0
SED_PE,D,20150814,000000,303.42,333.78,303.42,333.43,0,0
SED_PE,D,20150817,000000,358.07,358.07,357.72,357.72,0,0
SED_PE,D,20150818,000000,297.35,297.35,297.09,297.09,0,0
SED_PE,D,20150819,000000,303.42,330.79,303.42,330.44,0,0
SED_PE,D,20150820,000000,330.79,333.78,330.79,333.43,0,0
SED_PE,D,20150821,000000,330.79,364.14,303.42,354.64,0,0
SED_PE,D,20150824,000000,294.36,333.78,288.29,333.43,0,0
SED_PE,D,20150825,000000,324.72,333.78,324.72,333.43,0,0
SED_PE,D,20150826,000000,330.79,333.78,330.79,333.43,0,0
SED_PE,D,20150827,000000,364.14,373.21,364.14,369.86,0,0
SED_PE,D,20150828,000000,394.5,470.36,379.28,439.56,0,0
SED_PE,D,20150831,000000,464.29,552.29,464.29,545.69,0,0
SED_PE,D,20150901,000000,652.43,652.43,14.168,14.168,0,0
SED_PE,D,20150902,000000,14.168,16.984,14.168,16.984,0,0
