<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEV_PE,D,20110818,000000,8.3961,8.3961,8.3961,8.3961,0,0
SEV_PE,D,20110819,000000,8.5607,8.5607,7.9846,7.9846,0,0
SEV_PE,D,20110822,000000,8.5607,8.5607,7.7376,7.8199,0,0
SEV_PE,D,20110823,000000,8.5607,8.5607,8.0668,8.3138,0,0
SEV_PE,D,20110824,000000,8.5607,8.5607,8.3138,8.3138,0,0
SEV_PE,D,20110825,000000,8.5607,9.631,8.5607,8.8897,0,0
SEV_PE,D,20110826,000000,9.631,9.631,9.1374,9.1374,0,0
SEV_PE,D,20110829,000000,9.631,9.631,9.549,9.549,0,0
SEV_PE,D,20110830,000000,9.631,9.631,9.3841,9.3841,0,0
SEV_PE,D,20110831,000000,9.631,9.631,8.5607,8.5607,0,0
SEV_PE,D,20110901,000000,8.3138,8.3138,6.7498,8.2315,0,0
SEV_PE,D,20110902,000000,7.9022,7.9846,7.9022,7.9022,0,0
SEV_PE,D,20110905,000000,8.3961,8.4785,8.3961,8.4785,0,0
SEV_PE,D,20110906,000000,8.4785,8.4785,7.8199,7.8199,0,0
SEV_PE,D,20110907,000000,8.0668,8.0668,7.4907,7.4907,0,0
SEV_PE,D,20110908,000000,8.3138,8.3138,6.9967,6.9967,0,0
SEV_PE,D,20110909,000000,8.3138,8.3138,6.7498,6.9967,0,0
SEV_PE,D,20110912,000000,7.9846,7.9846,7.4907,7.4907,0,0
SEV_PE,D,20110913,000000,7.9846,7.9846,6.9967,7.8199,0,0
SEV_PE,D,20110914,000000,7.8199,7.8199,7.8199,7.8199,0,0
SEV_PE,D,20110915,000000,7.8199,7.8199,7.8199,7.8199,0,0
SEV_PE,D,20110916,000000,7.8199,7.8199,6.7498,7.8199,0,0
SEV_PE,D,20110919,000000,7.8199,7.8199,7.8199,7.8199,0,0
SEV_PE,D,20110920,000000,7.8199,7.8199,6.1736,6.1736,0,0
SEV_PE,D,20110921,000000,7.4083,7.4083,5.5974,5.9266,0,0
SEV_PE,D,20110922,000000,7.0791,7.0791,6.9967,6.9967,0,0
SEV_PE,D,20110923,000000,7.8199,7.8199,6.4206,6.7498,0,0
SEV_PE,D,20110926,000000,7.8199,7.8199,7.8199,7.8199,0,0
SEV_PE,D,20110927,000000,7.8199,7.8199,7.8199,7.8199,0,0
SEV_PE,D,20110928,000000,6.9967,7.8199,5.9266,7.7376,0,0
SEV_PE,D,20110929,000000,7.4907,7.4907,7.4907,7.4907,0,0
SEV_PE,D,20110930,000000,7.4907,7.4907,6.1736,7.4083,0,0
SEV_PE,D,20111003,000000,7.4907,7.4907,7.4907,7.4907,0,0
SEV_PE,D,20111004,000000,7.326,7.326,7.326,7.326,0,0
SEV_PE,D,20111005,000000,7.4907,7.4907,7.4907,7.4907,0,0
SEV_PE,D,20111006,000000,7.326,7.326,7.326,7.326,0,0
SEV_PE,D,20111007,000000,7.326,7.326,7.326,7.326,0,0
SEV_PE,D,20111010,000000,6.9145,6.9145,6.9145,6.9145,0,0
SEV_PE,D,20111011,000000,7.4083,8.8075,5.7621,8.8075,0,0
SEV_PE,D,20111012,000000,8.4785,8.4785,8.4785,8.4785,0,0
SEV_PE,D,20111013,000000,9.713,9.713,9.1374,9.1374,0,0
SEV_PE,D,20111014,000000,9.713,9.713,8.3961,9.0551,0,0
SEV_PE,D,20111017,000000,9.0551,9.0551,9.0551,9.0551,0,0
SEV_PE,D,20111018,000000,8.3138,8.3138,7.0791,7.8199,0,0
SEV_PE,D,20111019,000000,7.0791,9.1374,7.0791,9.1374,0,0
SEV_PE,D,20111020,000000,8.8897,8.8897,8.8897,8.8897,0,0
SEV_PE,D,20111021,000000,8.8897,8.8897,7.0791,8.3961,0,0
SEV_PE,D,20111024,000000,8.7252,8.7252,6.9967,6.9967,0,0
SEV_PE,D,20111025,000000,6.7498,8.1492,6.6675,6.6675,0,0
