<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLT_PB,D,20071214,000000,15.34,15.34,15.34,15.34,0,0
SLT_PB,D,20071217,000000,16.74,27.15,16.74,27.15,0,0
SLT_PB,D,20071218,000000,30,30,22.52,24.13,0,0
SLT_PB,D,20071219,000000,24.15,25.95,23.97,25.82,0,0
SLT_PB,D,20071220,000000,25.5,29.33,25.5,28.5,0,0
SLT_PB,D,20071221,000000,28.5,41.28,28.5,36.38,0,0
SLT_PB,D,20071227,000000,33,39.28,33,39.26,0,0
SLT_PB,D,20071228,000000,40.5,43.73,36.87,43.73,0,0
SLT_PB,D,20080102,000000,44.93,44.93,39,43.73,0,0
SLT_PB,D,20080103,000000,40.88,43.5,37.5,39,0,0
SLT_PB,D,20080104,000000,37.52,39,35.21,35.21,0,0
SLT_PB,D,20080107,000000,34.5,35.78,30.75,30.75,0,0
SLT_PB,D,20080108,000000,33,34.2,30.45,33.45,0,0
SLT_PB,D,20080109,000000,34.5,34.5,30,30,0,0
SLT_PB,D,20080110,000000,31.5,31.5,28.65,30.75,0,0
SLT_PB,D,20080111,000000,32.25,33,31.5,33,0,0
SLT_PB,D,20080114,000000,32.51,32.51,32.51,32.51,0,0
SLT_PB,D,20080115,000000,31.22,32.24,31.22,32.18,0,0
SLT_PB,D,20080116,000000,32.07,32.23,30,30.38,0,0
SLT_PB,D,20080117,000000,30,31.5,30,30.9,0,0
SLT_PB,D,20080118,000000,30.6,32.1,27.78,32.1,0,0
SLT_PB,D,20080121,000000,31.5,32.78,30,30.75,0,0
SLT_PB,D,20080122,000000,29.4,30,28.5,29.98,0,0
SLT_PB,D,20080123,000000,30,31.47,29.98,31.47,0,0
SLT_PB,D,20080124,000000,31.47,31.5,30.3,31.5,0,0
SLT_PB,D,20080125,000000,31.35,32.25,28.5,30,0,0
SLT_PB,D,20080128,000000,31.46,32.78,30,31.5,0,0
SLT_PB,D,20080129,000000,32.53,32.68,29.57,29.57,0,0
SLT_PB,D,20080130,000000,31.5,31.5,26.57,29.85,0,0
SLT_PB,D,20080131,000000,28.5,31.5,27,31.46,0,0
SLT_PB,D,20080201,000000,31.58,31.58,30,31.35,0,0
SLT_PB,D,20080204,000000,31.5,32.22,31.5,31.95,0,0
SLT_PB,D,20080205,000000,30,31.95,30,31.05,0,0
SLT_PB,D,20080206,000000,30.75,32.98,30.75,31.5,0,0
SLT_PB,D,20080207,000000,33,34.35,31.5,34.35,0,0
SLT_PB,D,20080208,000000,31.2,32.55,31.2,32.55,0,0
SLT_PB,D,20080211,000000,32.4,33,31.5,32.93,0,0
SLT_PB,D,20080212,000000,31.68,33,30.75,33,0,0
SLT_PB,D,20080213,000000,32.83,32.83,31.43,31.73,0,0
SLT_PB,D,20080214,000000,30.75,31.8,30.75,31.8,0,0
SLT_PB,D,20080215,000000,31.5,32.1,31.01,32.1,0,0
SLT_PB,D,20080218,000000,31.5,31.5,30.77,30.77,0,0
SLT_PB,D,20080219,000000,31.5,31.5,31.5,31.5,0,0
SLT_PB,D,20080220,000000,30.78,30.78,30.77,30.77,0,0
SLT_PB,D,20080221,000000,31.43,31.43,30,30,0,0
SLT_PB,D,20080222,000000,30,30.53,29.4,30.53,0,0
SLT_PB,D,20080225,000000,30.53,30.53,30.53,30.53,0,0
SLT_PB,D,20080226,000000,30.75,30.75,29.7,29.7,0,0
SLT_PB,D,20080227,000000,30,30,29.85,30,0,0
SLT_PB,D,20080228,000000,29.85,29.85,28.35,28.48,0,0
SLT_PB,D,20080229,000000,27,27.08,26.98,26.98,0,0
SLT_PB,D,20080303,000000,27.23,27.23,25.67,27,0,0
SLT_PB,D,20080305,000000,26.85,27.68,26.85,27.23,0,0
SLT_PB,D,20080306,000000,27,27.45,25.59,26.98,0,0
SLT_PB,D,20080307,000000,26.85,26.85,25.5,26.85,0,0
SLT_PB,D,20080310,000000,25.5,26.25,25.5,26.25,0,0
SLT_PB,D,20080311,000000,26.25,27.68,24.77,25.52,0,0
SLT_PB,D,20080312,000000,27.68,27.68,25.58,27,0,0
SLT_PB,D,20080313,000000,27.28,27.28,25.61,26.97,0,0
SLT_PB,D,20080314,000000,27,27,25.5,26.82,0,0
SLT_PB,D,20080317,000000,25.5,25.5,21.83,21.92,0,0
SLT_PB,D,20080318,000000,19.83,21.45,19.74,21.45,0,0
SLT_PB,D,20080319,000000,23.85,23.85,19.5,21.98,0,0
SLT_PB,D,20080325,000000,22.5,24.3,20.98,24.3,0,0
SLT_PB,D,20080326,000000,22.5,22.5,19.31,20.85,0,0
SLT_PB,D,20080327,000000,20.25,21.15,19.5,21.15,0,0
SLT_PB,D,20080328,000000,21.21,21.35,20.53,21.29,0,0
SLT_PB,D,20080402,000000,11.08,11.08,11.08,11.08,0,0
SLT_PB,D,20080404,000000,9.9,10.11,9.85,9.92,0,0
SLT_PB,D,20080407,000000,10.03,10.03,7.95,8.66,0,0
SLT_PB,D,20080408,000000,8.48,8.48,7.55,8.01,0,0
SLT_PB,D,20080409,000000,7.47,8.37,6.47,8.37,0,0
SLT_PB,D,20080410,000000,9.21,10.8,9.21,9.75,0,0
SLT_PB,D,20080411,000000,11.08,12.6,10.77,12.53,0,0
SLT_PB,D,20080414,000000,12.58,16.13,12,14.98,0,0
SLT_PB,D,20080415,000000,15.15,17.18,15.15,16.35,0,0
SLT_PB,D,20080416,000000,16.59,16.59,13.28,13.5,0,0
SLT_PB,D,20080417,000000,14.25,14.25,13.44,13.47,0,0
SLT_PB,D,20080418,000000,12,14.61,12,14.52,0,0
SLT_PB,D,20080421,000000,13.5,14.05,12.15,13.35,0,0
SLT_PB,D,20080422,000000,10.68,12.28,10.68,12.28,0,0
SLT_PB,D,20080423,000000,10.52,11.85,10.52,10.95,0,0
SLT_PB,D,20080424,000000,10.5,11.98,10.5,11.64,0,0
SLT_PB,D,20080425,000000,11.98,12,11.98,12,0,0
SLT_PB,D,20080428,000000,14.04,14.04,11.98,13.38,0,0
SLT_PB,D,20080429,000000,13.64,13.65,13.5,13.5,0,0
SLT_PB,D,20080430,000000,11.28,12.68,10.88,12.68,0,0
SLT_PB,D,20080505,000000,13.47,13.47,12,12.58,0,0
SLT_PB,D,20080506,000000,12.98,12.98,12.98,12.98,0,0
SLT_PB,D,20080507,000000,11.7,12.21,11.27,12,0,0
SLT_PB,D,20080508,000000,10.8,11.76,10.8,11.76,0,0
SLT_PB,D,20080509,000000,10.8,11.25,10.8,11.25,0,0
SLT_PB,D,20080512,000000,11.25,11.66,9.78,11.38,0,0
SLT_PB,D,20080514,000000,9.54,9.54,9.12,9.12,0,0
SLT_PB,D,20080515,000000,9.6,10.18,9.58,10.18,0,0
SLT_PB,D,20080516,000000,10.5,10.8,10.17,10.17,0,0
SLT_PB,D,20080519,000000,8.38,10.33,8.38,10.33,0,0
SLT_PB,D,20080520,000000,9.15,9.15,9.15,9.15,0,0
SLT_PB,D,20080521,000000,8.42,8.42,8.42,8.42,0,0
SLT_PB,D,20080523,000000,8.48,9.45,8.42,9.45,0,0
SLT_PB,D,20080526,000000,9.17,9.17,8.06,8.98,0,0
SLT_PB,D,20080527,000000,8.25,8.94,8.25,8.7,0,0
SLT_PB,D,20080528,000000,8.1,9.11,8.1,9.11,0,0
SLT_PB,D,20080529,000000,8.36,8.97,2.15,2.15,0,0
SLT_PB,D,20080530,000000,2,2.12,1.93,2.12,0,0
SLT_PB,D,20080602,000000,1.92,2.16,1.92,2.16,0,0
SLT_PB,D,20080603,000000,2.16,2.16,1.93,2.12,0,0
SLT_PB,D,20080604,000000,2.09,2.12,2.09,2.12,0,0
SLT_PB,D,20080605,000000,2.12,2.12,1.91,1.91,0,0
SLT_PB,D,20080606,000000,2.05,2.05,2.05,2.05,0,0
SLT_PB,D,20080609,000000,1.8,1.8,1.8,1.8,0,0
SLT_PB,D,20080610,000000,1.8,1.87,1.8,1.87,0,0
SLT_PB,D,20080611,000000,1.79,1.8,1.79,1.8,0,0
SLT_PB,D,20080612,000000,1.65,1.83,1.65,1.83,0,0
SLT_PB,D,20080613,000000,1.65,1.76,1.54,1.76,0,0
SLT_PB,D,20080616,000000,1.54,1.75,1.54,1.65,0,0
