<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUN_PE,D,20081002,000000,34.5929,34.5929,34.5929,34.5929,0,0
SUN_PE,D,20081003,000000,34.5929,40.375,34.5929,37.783,0,0
SUN_PE,D,20081006,000000,33.9948,33.9948,29.3093,29.409,0,0
SUN_PE,D,20081007,000000,31.8015,31.8015,27.6145,27.6145,0,0
SUN_PE,D,20081008,000000,27.6145,27.6145,24.7235,27.6145,0,0
SUN_PE,D,20081009,000000,27.6145,27.6145,24.7235,24.7235,0,0
SUN_PE,D,20081010,000000,26.1191,26.1191,24.7235,24.7235,0,0
SUN_PE,D,20081013,000000,29.1099,29.1099,29.1099,29.1099,0,0
SUN_PE,D,20081014,000000,29.1099,30.3062,25.3216,27.6145,0,0
SUN_PE,D,20081015,000000,27.6145,27.6145,22.6299,22.7296,0,0
SUN_PE,D,20081020,000000,23.3278,23.3278,23.2281,23.2281,0,0
SUN_PE,D,20081021,000000,24.4244,24.4244,21.2343,21.2343,0,0
SUN_PE,D,20081022,000000,22.6299,22.6299,18.9414,19.4398,0,0
SUN_PE,D,20081023,000000,18.8417,18.8417,17.3463,17.446,0,0
SUN_PE,D,20081024,000000,20.337,20.9352,19.1407,20.337,0,0
SUN_PE,D,20081027,000000,21.8324,22.1315,17.446,20.337,0,0
SUN_PE,D,20081028,000000,20.337,21.2343,20.337,20.337,0,0
SUN_PE,D,20081029,000000,20.9352,20.9352,20.6361,20.9352,0,0
SUN_PE,D,20081030,000000,18.9414,20.6361,17.446,20.6361,0,0
SUN_PE,D,20081103,000000,20.9352,20.9352,20.9352,20.9352,0,0
SUN_PE,D,20081104,000000,17.446,20.9352,17.446,20.9352,0,0
SUN_PE,D,20081105,000000,20.9352,20.9352,20.9352,20.9352,0,0
SUN_PE,D,20081106,000000,20.038,20.038,18.6423,20.038,0,0
SUN_PE,D,20081110,000000,20.6361,20.6361,20.6361,20.6361,0,0
SUN_PE,D,20081112,000000,20.038,20.9352,20.038,20.9352,0,0
SUN_PE,D,20081113,000000,20.337,20.337,20.337,20.337,0,0
SUN_PE,D,20081114,000000,18.0441,18.0441,18.0441,18.0441,0,0
SUN_PE,D,20081117,000000,20.337,20.337,20.337,20.337,0,0
SUN_PE,D,20081118,000000,20.038,20.038,20.038,20.038,0,0
SUN_PE,D,20081119,000000,20.038,21.8324,16.5488,21.2343,0,0
SUN_PE,D,20081120,000000,17.7451,17.7451,17.7451,17.7451,0,0
SUN_PE,D,20081121,000000,18.3432,18.3432,18.3432,18.3432,0,0
SUN_PE,D,20081124,000000,19.2404,19.2404,19.2404,19.2404,0,0
SUN_PE,D,20081126,000000,19.5395,19.5395,19.4398,19.4398,0,0
SUN_PE,D,20081127,000000,20.038,20.038,17.9444,20.038,0,0
SUN_PE,D,20081128,000000,20.038,20.038,20.038,20.038,0,0
SUN_PE,D,20081201,000000,18.6423,18.6423,18.6423,18.6423,0,0
SUN_PE,D,20081202,000000,18.9414,18.9414,17.7451,17.7451,0,0
SUN_PE,D,20081203,000000,17.7451,17.7451,17.7451,17.7451,0,0
SUN_PE,D,20081204,000000,17.7451,17.7451,17.7451,17.7451,0,0
SUN_PE,D,20081205,000000,18.9414,18.9414,18.9414,18.9414,0,0
SUN_PE,D,20081209,000000,17.2466,17.446,14.2559,14.854,0,0
SUN_PE,D,20081210,000000,15.4522,16.6485,15.1531,15.1531,0,0
SUN_PE,D,20081211,000000,16.3494,16.3494,16.2497,16.2497,0,0
SUN_PE,D,20081212,000000,15.6515,15.7512,15.6515,15.7512,0,0
SUN_PE,D,20081215,000000,15.7512,15.7512,15.7512,15.7512,0,0
SUN_PE,D,20081216,000000,15.7512,15.7512,15.7512,15.7512,0,0
